genus	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	FRM-C	FRM-WMR	WMC-C	WMC-WMR	M1-C	M1-WMR	1RM1-C	1RM1-WMR	CWM-WM	RM-WM	RM-CWM	FRM-WM	FRM-CWM	FRM-RM	WMC-WM	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1
Acetatifactor	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.7828359248402367	0.22935780929018584	0.22935780929018584	0.7828359248402367	0.47033905221854544	0.7828359248402367	0.2651369560126344	0.7828359248402367	0.43886862145624805	0.8917558535067943	0.7828359248402367	0.7828359248402367	0.43886862145624805	0.7828359248402367	0.43886862145624805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akkermansia	Kruskal-Wallis rank sum test	0	0.001	0.15	0.002	0.001	0	0.006	0	5e-4	0.7963174079254973	0.06459232899181916	0.06459232899181916	0.8057420017389912	0.2217579741256803	0.8057420017389912	0.06459232899181916	0.28003724385230894	0.06459232899181916	0.7963174079254973	0.44237561357691724	0.2217579741256803	0.06459232899181916	0.8057420017389912	0.08325786332122267	0.742090790512869	0.9497230356146465	0.7271858775266844	0.7271858775266844	0.2044507277300721	0.4339608911982618	0.7613207809311583	0.9226968329855729	0.742090790512869	0.39250430183764945	0.6784143511854842	0.08441563769109085	0.28003724385230894	0.9497230356146465	0.28003724385230894	1	0.7613207809311583	0.9226968329855729	0.742090790512869	0.8489692396345457	0.742090790512869
Alistipes	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.001	0	0	0.684036070921899	0.8389267585514918	0.9241326648705172	0.06494045043814875	0.14101531771371625	0.432626468322219	0.4954752818427429	0.5860960062286107	0.6112130550767124	0.03500310553628011	0.06309979284248934	0.5860960062286107	0.6112130550767124	0.3962377767029301	0.49162255165347696	0.06309979284248934	0.5860960062286107	0.043636577673924454	0.6579775979518809	0.13253319717461448	NA	0.03500310553628011	0.5869338451102198	0.018138123704437095	0.06309979284248934	0.6579775979518809	0.13253319717461448	NA	NA	0.06309979284248934	0.3302154817629764	0.5869338451102198	0.13253319717461448	0.35204841793190256	0.35204841793190256	0.35204841793190256
Anaerostipes	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022204584806605657	0.14520187889991473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10630515418527492	0.2521958421941106	0.12851703968447464	0.23192668906654534	0.5083315735521454	NA	NA	NA	NA	NA	0.23192668906654534
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	5e-4	0	0	0.670997677088832	NA	0.7129201688694287	0.031814067417654905	0.08734388300596983	0.7129201688694287	0.6169706876643886	0.515351493085684	0.5058861159139689	0.16038093663870454	0.18614866416578896	0.515351493085684	0.5058861159139689	0.7392423684185323	NA	0.031814067417654905	0.515351493085684	0.17427513696886548	0.446744019536297	0.44887133616016395	0.734323201175299	0.08734388300596983	1	0.44887133616016395	0.670997677088832	0.446744019536297	0.44887133616016395	0.734323201175299	1	0.670997677088832	NA	0.18614866416578896	0.7052985799743162	0.6169706876643886	0.446744019536297	0.6169706876643886
Bacteroides	Kruskal-Wallis rank sum test	0.586	0.001	0.515	0.011	0.003	0.002	0.012	0.722	0.5275000000000001	4.622487206646868e-6	0.016155538231005098	1.0302015662039191e-4	0.016155538231005098	0.006241121301687621	0.7571451814493686	0.0011168240556266493	0.8319764527534321	0.003778318950595224	1	0.045454545454545456	0.0010260087296960028	0.0023820909754039728	0.0010260087296960028	0.6978883185779738	0.0036557757293886207	1.82519055341691e-4	0.07858468238534681	0.0023820909754039728	0.013583222082813085	0.8319764527534321	0.023017902813299233	1	1	1	0.003618672349322504	0.013583222082813085	0.0029737954007833934	0.010584264208409919	0.09523809523809523	0.12192771845580339	0.013583222082813085	0.0029737954007833934	0.010584264208409919	0.09523809523809523	0.005565862708719852
Bifidobacterium	Kruskal-Wallis rank sum test	0	0.002	0	0.004	0.002	0	5e-4	0.008	0.007	0.19941114798609844	0.43173106782480924	0.07070784981848383	0.2945418321265651	0.05182856411285094	0.45380520469112057	0.22358347970965156	0.07070784981848383	0.6581240011098229	0.43173106782480924	0.8551080640941632	0.4155062096690689	0.0640541377247504	0.44493919853713576	0.05182856411285094	0.10938588914555032	0.6099978882625745	0.19941114798609844	0.2945418321265651	0.05182856411285094	0.17320841139573073	0.8551080640941632	0.22358347970965156	0.567896068766947	0.6099978882625745	0.07070784981848383	0.9270990616387901	0.17320841139573073	0.07070784981848383	0.2945418321265651	0.05182856411285094	0.9270990616387901	0.19941114798609844	0.05182856411285094	0.19941114798609844	0.7720999603779853
Blautia	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0325	0	0	0.292406782096672	0.568588555885951	0.047989947300952476	0.8007916407400223	0.3407353539748342	0.6377556716987519	0.13950858725561147	0.7902246007232587	0.3012374819583085	5.299373695215433e-4	0.4236204649690454	0.47473109248048867	0.48851287562862267	0.47473109248048867	0.48851287562862267	0.48851287562862267	0.32371069518673284	NA	0.48138107795773377	NA	NA	0.3012374819583085	0.14725553130109062	0.009419623156798729	0.135112793817333	0.8007916407400223	0.568588555885951	0.4236204649690454	0.5564030476500184	0.14725553130109062	0.8007916407400223	0.568588555885951	0.4236204649690454	0.5564030476500184	0.14725553130109062	1
Butyricicoccus	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	0	0.8075570593088758	0.0028422653739907143	2.6209128064962056e-4	0.8075570593088758	0.07177753044187998	0.8075570593088758	0.017543370774923985	0.8075570593088758	0.04996932133527058	0.8917558535067943	0.3875169292543082	0.8075570593088758	0.04996932133527058	0.8075570593088758	0.04996932133527058	NA	0.6923408947514744	0.8075570593088758	NA	NA	0.8075570593088758	NA	NA	0.8801693107051176	NA	NA	NA	0.8075570593088758	NA	NA	NA	NA	0.8075570593088758	NA	NA	NA
Chitinophagaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00322350607410049	0.08834268981688524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.042348549336227795	0.20590321073206835	0.0659857921237305	0.17018819791858933	NA	NA	NA	NA	0.17018819791858933	NA	NA	NA	NA	0.17018819791858933	NA
