otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Ruminococcaceae (OTU 37)	32.55941491159084	3.988993893733839e-7	3	Kruskal-Wallis rank sum test	0	0.0125	0	0	8.376887176841062e-5
Lachnospiraceae (OTU 33)	28.237159506708224	3.2386574606906e-6	3	Kruskal-Wallis rank sum test	0	0.007	0	0	2.833878732289071e-4
Ruminococcaceae (OTU 65)	27.775414647014166	4.048398188984388e-6	3	Kruskal-Wallis rank sum test	0	0.0025	0	0	2.833878732289071e-4
Ruminococcaceae (OTU 92)	25.050916496945028	1.5066593386783331e-5	3	Kruskal-Wallis rank sum test	0	0.001	0	0	7.909961528061249e-4
Clostridium (OTU 22)	24.205177787269253	2.2633394952427254e-5	3	Kruskal-Wallis rank sum test	0	0.004	0	0	9.506025880019447e-4
Lachnospiraceae (OTU 32)	23.08107225635559	3.8841791114521436e-5	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.0013594626890082503
Lachnospiraceae (OTU 30)	22.2305761079291	5.8407497280630646e-5	3	Kruskal-Wallis rank sum test	0	5e-4	0.006	0	0.0017522249184189194
Bifidobacterium (OTU 28)	21.8042323007933	7.164421035828469e-5	3	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.001880660521904973
Lachnospiraceae (OTU 46)	21.38690429013006	8.748821066869549e-5	3	Kruskal-Wallis rank sum test	0	0	0.004	0	0.002041391582269561
Lachnospiraceae (OTU 20)	20.538274777099303	1.3127244915265491e-4	3	Kruskal-Wallis rank sum test	0	0	0.007	0	0.002756721432205753
Enterobacteriaceae (OTU 2)	20.105517897252273	1.6140625330611662e-4	3	Kruskal-Wallis rank sum test	0.166	0.0795	0	0.505	0.002824609432857041
Lachnospiraceae (OTU 4)	20.23678399685955	1.5160259335262645e-4	3	Kruskal-Wallis rank sum test	0	0.046	0.033	0	0.002824609432857041
Clostridium (OTU 51)	19.864333105270763	1.8109309068469262e-4	3	Kruskal-Wallis rank sum test	0	0.006	0	0	0.0029253499264450347
Lachnospiraceae (OTU 29)	19.01777394305433	2.7109508040444873e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.00334882158146672
Ruminococcaceae (OTU 50)	19.050648228176293	2.668847927864637e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.00334882158146672
Ruminococcaceae (OTU 98)	19.093555093555064	2.614873343410549e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.00334882158146672
Lachnospiraceae (OTU 111)	19.060532687651307	2.6563163517013383e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.00334882158146672
Porphyromonadaceae (OTU 10)	17.808080808080742	4.8180994524885915e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.0056211160279033565
Butyricicoccus (OTU 56)	17.63355983493442	5.234100240066531e-4	3	Kruskal-Wallis rank sum test	0	0.0015	0.002	0	0.005785058160073534
Lachnospiraceae (OTU 31)	17.025158001299317	6.98372127414371e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.007332907337850895
Lachnospiraceae (OTU 26)	16.81645555702163	7.709016269212876e-4	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.007709016269212876
Alistipes (OTU 18)	16.68015873015879	8.22259411854775e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.007848839840431943
Lachnospiraceae (OTU 24)	16.457099966570574	9.137418175587116e-4	3	Kruskal-Wallis rank sum test	0	0.0035	0.002	0	0.008342860073362149
Ruminococcaceae (OTU 54)	16.229659549913467	0.0010174309653636973	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.008546420109055057
Lachnospiraceae (OTU 95)	16.286045165026078	9.906839854279474e-4	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.008546420109055057
Pseudoflavonifractor (OTU 69)	16.0652192716893	0.0010995993760392743	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.00888137957570183
Lachnospiraceae (OTU 66)	15.550208571228858	0.0014020135476451592	3	Kruskal-Wallis rank sum test	0	0	0	0	0.010904549815017905
Lachnospiraceae (OTU 49)	14.833342308789755	0.0019647525723615407	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.014735644292711556
Clostridiales (OTU 91)	14.68889467922379	0.0021027672038190417	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.015226934924206853
Bacteroides (OTU 1)	14.517276535111975	0.0022792856904217413	3	Kruskal-Wallis rank sum test	0.6080000000000001	0.004	0.55	0.454	0.01595499983295219
Peptostreptococcaceae (OTU 12)	14.179678102419318	0.0026705067854034784	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0.005	0	0	0.01809052983660421
