otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.044	0.2635	0.0465	0.112	8.229420330645261e-4	0.5824144895352327	2.4229371382420247e-4	0.5824144895352327	0.014460166147587038	0.1226567550096962
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.035	0	0.0145	0.044	3.568599927069878e-4	0.3384747700028653	3.568599927069878e-4	0.1974025974025974	0.0015062978377994277	0.06760442033719063
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.0055	0.035500000000000004	0.0195	0.001	0.016251408521903418	0.07682652153963232	0.07682652153963232	0.422229427292559	0.016251408521903418	0.07682652153963232
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.034	0.005	0.008	0.053	0.007662107982709519	0.010678168653536116	0.35313670485600407	0.35313670485600407	0.007662107982709519	0.010678168653536116
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.006500000000000001	0	0.0035	0.051	0.0012217958726173249	0.17129666588453435	0.0025809517182650886	0.05150897210506843	6.492908333028113e-4	0.0025809517182650886
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.0025	0.028499999999999998	0.001	0.001	0.027376176595173895	0.21716152582633289	0.027376176595173895	0.18104504347488243	0.027376176595173895	0.7442938151660694
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	NA	NA	NA	0.04921932450939127	0.04567104518993364	0.04567104518993364
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.008	0	0.003	0.016	0.002313946346886369	0.3501607545289411	4.628762217941779e-4	0.0877688432116701	4.628762217941779e-4	0.03350706090274609
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0	0	0	0.002	0.019663320494053078	0.7916010043791624	0.01877636417664211	0.056268539572439616	2.209415370549108e-4	0.016189886261042074
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.0015	0	0	0.002	0.0012157239399379744	0.08895565979860734	0.01930014684689108	0.7560619022073438	2.238574418129765e-4	0.024303502343345322
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.0055	0	0.007	0.004	9.328120282839353e-5	0.8011176721581819	6.580286346938304e-4	0.8011176721581819	8.249155312248228e-4	0.9157936477441648
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0.002	0	0.002	0.006	0.008136547331214359	0.6880022720855419	0.008136547331214359	0.09863634525448753	0.008136547331214359	0.06270598993240167
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	NA	NA	NA	0.04921932450939127	0.04567104518993364	0.04567104518993364
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.0015	0	0.001	0	0.0012102445010085622	0.6593288341747734	8.515137107339681e-4	0.5604530003825258	0.03811070608578763	0.5718840683323171
