day	statistic	p.value	parameter	method	1RM1	C	M1	p.value.adj
1	13.400345423143346	0.0012306993283017348	2	Kruskal-Wallis rank sum test	1500	61066666.66666667	1625000	0.005282203022319811
2	13.259412780656309	0.0013205507555799528	2	Kruskal-Wallis rank sum test	3666.6666666666665	112000000	5600000	0.005282203022319811
5	9.638629283489095	0.00807231767324251	2	Kruskal-Wallis rank sum test	0	74750	0	0.021526180461980023
3	6.449704142011837	0.03976166304400789	2	Kruskal-Wallis rank sum test	263666.6666666667	17000000	4895000	0.05376393009524924
6	6.4216691068814065	0.04032294757143693	2	Kruskal-Wallis rank sum test	0	6166.666666666665	0	0.05376393009524924
7	6.733496332518343	0.034501648749050436	2	Kruskal-Wallis rank sum test	0	500	0	0.05376393009524924
8	4.23529411764706	0.1203143884008992	2	Kruskal-Wallis rank sum test	0	0	0	0.13750215817245623
4	3.009483667017912	0.22207461865700517	2	Kruskal-Wallis rank sum test	0	44000	8833.333333333336	0.22207461865700517
0	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
