day	statistic	p.value	parameter	method	C	WM	WMC	WMR	p.value.adj
4	39.418364621767346	1.4152273476934042e-8	3	Kruskal-Wallis rank sum test	681250	7600000	29900000	0	1.8397955520014254e-7
1	32.761494698191314	3.6161820983341726e-7	3	Kruskal-Wallis rank sum test	43300000	1400000	8000000	0	1.175259181958606e-6
3	33.64354123398222	2.3559479414016125e-7	3	Kruskal-Wallis rank sum test	9200000	9000000	59999999.99999999	0	1.175259181958606e-6
5	32.939476306967464	3.3167500791112307e-7	3	Kruskal-Wallis rank sum test	8266.666666666666	14400000	29400000	0	1.175259181958606e-6
6	31.926356833274152	5.423869747475769e-7	3	Kruskal-Wallis rank sum test	10266.66666666667	8200000	38500000	3400	1.4102061343437e-6
2	23.58338864832371	3.0516928026038825e-5	3	Kruskal-Wallis rank sum test	29200000	37250000	41200000	0	6.612001072308412e-5
9	13.431631382316306	0.001211597319523387	2	Kruskal-Wallis rank sum test	0	5553333.333333335	NA	759500	0.0020498044996220674
20	13.351037344398334	0.0012614181536135798	2	Kruskal-Wallis rank sum test	0	5113333.333333335	NA	955000	0.0020498044996220674
8	12.543185947910365	0.0018892167119128021	2	Kruskal-Wallis rank sum test	0	2693333.33333333	NA	244900	0.0022536896097962583
10	12.786721991701237	0.0016726250576863332	2	Kruskal-Wallis rank sum test	0	3550000	NA	555000	0.0022536896097962583
15	12.524481327800833	0.0019069681313660647	2	Kruskal-Wallis rank sum test	0	3273333.333333333	NA	835000	0.0022536896097962583
30	9.63541666666666	0.008085294724802282	2	Kruskal-Wallis rank sum test	0	3790000	NA	2769266.6666666665	0.008759069285202472
25	9.282718120805358	0.0096445811481739	2	Kruskal-Wallis rank sum test	0	7313333.333333335	NA	1460000	0.0096445811481739
0	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
