otu	statistic	p.value	parameter	method	WM	WMR	WMC	p.value.adj
Ruminococcaceae (OTU 1688)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Faecalibacterium (OTU 1826)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Prevotella (OTU 2008)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Barnesiella (OTU 2117)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Ruminococcaceae (OTU 2450)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Ruminococcaceae (OTU 3307)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Veillonella (OTU 4748)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Clostridiales (OTU 5508)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Clostridiales (OTU 5660)	4.3999999999999035	0.11080315836233923	2	Kruskal-Wallis rank sum test	0	0	0	0.41329578069152534
Clostridium (OTU 51)	4.285914702581368	0.11730741031341613	2	Kruskal-Wallis rank sum test	0	0	0.001	0.4309358873917414
Porphyromonadaceae (OTU 175)	4.276803118908386	0.11784305767817056	2	Kruskal-Wallis rank sum test	0	0	0.001	0.4309358873917414
Anaeroplasma (OTU 89)	4.1408246225319445	0.12613376460999032	2	Kruskal-Wallis rank sum test	0	0	0.002	0.45238359807236916
Lachnospiraceae (OTU 110)	4.144037780401417	0.12593128345533972	2	Kruskal-Wallis rank sum test	0	0	0	0.45238359807236916
Oscillibacter (OTU 45)	4.110070257611241	0.1280883359082441	2	Kruskal-Wallis rank sum test	0	0	0	0.4550185647026195
Porphyromonadaceae (OTU 15)	4.076655052264809	0.13024636245696186	2	Kruskal-Wallis rank sum test	0	0	0	0.45831974713629037
Porphyromonadaceae (OTU 7)	4.056624910887053	0.13155734280660256	2	Kruskal-Wallis rank sum test	0.032	0.001	0.074	0.4586064380080631
Clostridiales (OTU 136)	3.8950667156322605	0.14262544399000085	2	Kruskal-Wallis rank sum test	0	0	0.004	0.49258602415065106
Lachnospiraceae (OTU 86)	3.70726438023226	0.15666708697726578	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5312438494774558
Lachnospiraceae (OTU 102)	3.7090172239108563	0.15652984067235423	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5312438494774558
Lachnospiraceae (OTU 30)	3.64609138003454	0.16153302145324014	2	Kruskal-Wallis rank sum test	0.002	0	0.003	0.5428091621807078
Lachnospiraceae (OTU 29)	3.5769013021324643	0.16721904972387963	2	Kruskal-Wallis rank sum test	0	0	0	0.5568991566697062
Firmicutes (OTU 96)	3.5441286462228736	0.1699817291813767	2	Kruskal-Wallis rank sum test	0	0	0	0.5610901326075531
Lachnospiraceae (OTU 16)	3.485055897786903	0.1750772543759985	2	Kruskal-Wallis rank sum test	0.001	0.002	0	0.572840490195153
Lachnospiraceae (OTU 4)	3.44687837167935	0.17845136393537536	2	Kruskal-Wallis rank sum test	0.011	0.002	0.014	0.5738134374818535
Erysipelotrichaceae (OTU 39)	3.4565850894068806	0.1775873737496284	2	Kruskal-Wallis rank sum test	0.002	0.001	0	0.5738134374818535
Ruminococcaceae (OTU 52)	3.2754348519417977	0.1944233218142904	2	Kruskal-Wallis rank sum test	0	0	0.001	0.6198281968951309
Ruminococcaceae (OTU 60)	3.0332163110991015	0.21945498317319842	2	Kruskal-Wallis rank sum test	0	0	0	0.6821392393633584
Lachnospiraceae (OTU 82)	3.0563265306122376	0.2169337513641057	2	Kruskal-Wallis rank sum test	0	0	0	0.6821392393633584
Ruminococcaceae (OTU 217)	3.0332163110991015	0.21945498317319842	2	Kruskal-Wallis rank sum test	0	0	0	0.6821392393633584
Lachnospiraceae (OTU 71)	2.9561128747795395	0.22808054670566702	2	Kruskal-Wallis rank sum test	0.001	0	0	0.7030912720761471
Lachnospiraceae (OTU 11)	2.9007182952005452	0.2344860578641813	2	Kruskal-Wallis rank sum test	0.001	0	0	0.7169122916667183
Lachnospiraceae (OTU 94)	2.5395348837209304	0.2808969390526006	2	Kruskal-Wallis rank sum test	0	0	0	0.8342698793149453
Lachnospiraceae (OTU 117)	2.5527272727272727	0.2790501856754832	2	Kruskal-Wallis rank sum test	0	0	0	0.8342698793149453
Lachnospiraceae (OTU 133)	2.5329896907216494	0.28181770722167054	2	Kruskal-Wallis rank sum test	0	0	0	0.8342698793149453
Lachnospiraceae (OTU 146)	2.5329896907216494	0.28181770722167054	2	Kruskal-Wallis rank sum test	0	0	0	0.8342698793149453
Lachnospiraceae (OTU 17)	2.1462416371507413	0.3419397186969525	2	Kruskal-Wallis rank sum test	0.002	0.002	0	0.8692082166850221
Lachnospiraceae (OTU 26)	1.8189081304070391	0.4027440360100061	2	Kruskal-Wallis rank sum test	0.004	0.001	0.002	0.8692082166850221
Lachnospiraceae (OTU 31)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 32)	1.0160098522167493	0.6016948077409774	2	Kruskal-Wallis rank sum test	0.001	0	0.003	0.8692082166850221
Lachnospiraceae (OTU 33)	0.9247658079625574	0.629781148059267	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 34)	1.6680923866552222	0.4342885112291635	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 36)	1.7352623050039986	0.41994515796598986	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 37)	1.6714285714285326	0.43356468174503593	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 46)	0.3757175849554608	0.8287317221239021	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 50)	0.9257142857143138	0.629482552164049	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Butyricicoccus (OTU 56)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 59)	1.2857142857142918	0.5257880244257781	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 62)	2.1913315005260907	0.33431696123872595	2	Kruskal-Wallis rank sum test	0.001	0	0.003	0.8692082166850221
Ruminococcaceae (OTU 65)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 67)	1.2816065723414027	0.526869027407997	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Pseudoflavonifractor (OTU 69)	0.31375600066211923	0.8548083387908347	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 70)	0.9757059314953975	0.6139431370768177	2	Kruskal-Wallis rank sum test	0	0.001	0.001	0.8692082166850221
Lachnospiraceae (OTU 75)	0.694881633851254	0.7064938251688914	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 76)	1.6883116883116491	0.4299201246592479	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Acetatifactor (OTU 78)	1.2857142857142918	0.5257880244257781	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Acetatifactor (OTU 79)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 83)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 84)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 88)	1.2857142857142918	0.5257880244257781	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 90)	0.5586213717054697	0.7563048934790796	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 91)	1.5575091575091795	0.45897727554920054	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 92)	2.09170667108093	0.35139183626063214	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 95)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 101)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 103)	0.9257142857143138	0.629482552164049	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 105)	2.080856319473017	0.35330337928845207	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 106)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 108)	2.092919254658368	0.3511788548466498	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 111)	1.6883116883116491	0.4299201246592479	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 112)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 113)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 116)	0.3522043811730868	0.8385322888521304	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 118)	1.6714285714285326	0.43356468174503593	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Oscillibacter (OTU 119)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 121)	0.3071980510829279	0.8576158341214319	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 122)	2.080856319473017	0.35330337928845207	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 123)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 124)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 125)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridium (OTU 126)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 128)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 129)	0.35240855762594075	0.8384466889474053	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 131)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Blautia (OTU 132)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Dorea (OTU 134)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 135)	2.092919254658368	0.3511788548466498	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 137)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Acetatifactor (OTU 138)	1.2857142857142918	0.5257880244257781	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Alistipes (OTU 139)	0.9247658079625574	0.629781148059267	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 140)	1.283657142857149	0.5263291131917058	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 141)	0.5172719935431895	0.7721040202546923	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Erysipelotrichaceae (OTU 142)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 144)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridium (OTU 145)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
