otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 8)	55.299331716025065	1.1327707388566791e-10	5	Kruskal-Wallis rank sum test	0	0	0	0.017	0.0475	0.0255	1.704819961979302e-8
Porphyromonadaceae (OTU 10)	55.99038857613621	8.163680539937064e-11	5	Kruskal-Wallis rank sum test	0	0	0	0.1515	0.07050000000000001	0.049	1.704819961979302e-8
Porphyromonadaceae (OTU 44)	53.09975394860914	3.208413262678193e-10	5	Kruskal-Wallis rank sum test	0	0	0	0.010499999999999999	0.02	0.012	3.219107973553787e-8
Porphyromonadaceae (OTU 48)	51.93053764507489	5.574671406197941e-10	5	Kruskal-Wallis rank sum test	0	0	0	0.003	0.010499999999999999	0.010499999999999999	4.194940233163951e-8
Porphyromonadaceae (OTU 14)	50.111983602697784	1.3145683382517134e-9	5	Kruskal-Wallis rank sum test	0	0	0	0.0405	0.08549999999999999	0.054	7.913701396275316e-8
Porphyromonadaceae (OTU 25)	48.804233842202876	2.433398021708699e-9	5	Kruskal-Wallis rank sum test	0	0	0	0.004	0.026500000000000003	0.0315	1.2207546742238639e-7
Porphyromonadaceae (OTU 6)	46.29952699729715	7.892128173869624e-9	5	Kruskal-Wallis rank sum test	0	0	0	0.154	0.2225	0.1875	2.969413225418446e-7
Ruminococcaceae (OTU 98)	46.48883696780889	7.221579441979251e-9	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0035	0	2.969413225418446e-7
Porphyromonadaceae (OTU 87)	44.40357940672243	1.9179162724830496e-8	5	Kruskal-Wallis rank sum test	0	0	0	0.0025	0.001	0.0025	6.414364422415532e-7
Bacteroidales (OTU 38)	44.17763157894739	2.131654216771258e-8	5	Kruskal-Wallis rank sum test	0	0	0	0.002	0.025	0.01	6.416279192481488e-7
Porphyromonadaceae (OTU 40)	36.562956596476134	7.327570606697681e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.0055	0.012	0	1.4859845118869086e-5
Oscillibacter (OTU 57)	36.96895058877862	6.075936918381802e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.006	1.4859845118869086e-5
Lachnospiraceae (OTU 81)	36.68635496810677	6.92218029365958e-7	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.005	1.4859845118869086e-5
Porphyromonadaceae (OTU 99)	36.540092459748166	7.40523843133011e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	0	1.4859845118869086e-5
Porphyromonadaceae (OTU 212)	36.592592592592645	7.228104583082511e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	1.4859845118869086e-5
Porphyromonadaceae (OTU 21)	34.46178411342609	1.926530347314504e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.008	0.0185	0	3.6242852158854104e-5
Porphyromonadaceae (OTU 15)	34.11077035748616	2.263107097772525e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.008	0.052500000000000005	0	4.0070308025266475e-5
Butyricicoccus (OTU 56)	33.5861042726626	2.8781597379556177e-6	5	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.001	4.8129226729146714e-5
Porphyromonadaceae (OTU 122)	32.092990414241726	5.694587059724113e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.006999999999999999	0	9.02142476303662e-5
Lachnospiraceae (OTU 30)	30.31005507410707	1.2814227014466315e-5	5	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0.001	0.004	1.8367058720735052e-4
Lachnospiraceae (OTU 47)	30.362731124539852	1.2511609555803608e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.007	0.007	1.8367058720735052e-4
Clostridiales (OTU 97)	28.395720765243368	3.0456194229120225e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.0025	4.166961119529631e-4
Porphyromonadaceae (OTU 7)	28.063208637974984	3.5377672464398365e-5	5	Kruskal-Wallis rank sum test	0.004	0	0	0	0.052500000000000005	0.059500000000000004	4.62986061381909e-4
Lachnospiraceae (OTU 20)	27.856999010951036	3.881798841435953e-5	5	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0.002	0.009	4.868422713634258e-4
Porphyromonadaceae (OTU 80)	27.646329486864733	4.2675301492587705e-5	5	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.006	0.002	5.13810629970756e-4
Enterobacteriaceae (OTU 2)	27.5397269891604	4.476963442102993e-5	5	Kruskal-Wallis rank sum test	0.0015	0.067	0.0555	0.0245	0.001	0	5.18294613874231e-4
Bacteria (OTU 43)	26.928571428571505	5.889873011544372e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	5.554143868939236e-4
Porphyromonadaceae (OTU 67)	26.92294842347054	5.904737667975268e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	5.554143868939236e-4
Bacteria (OTU 108)	26.92294842347054	5.904737667975268e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	5.554143868939236e-4
Clostridiales (OTU 173)	26.928571428571505	5.889873011544372e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	5.554143868939236e-4
Clostridiales (OTU 208)	26.945454545454627	5.8454642614701225e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	5.554143868939236e-4
Porphyromonadaceae (OTU 246)	26.945454545454627	5.8454642614701225e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	5.554143868939236e-4
Lachnospiraceae (OTU 73)	26.80118324285743	6.235906861459612e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.0035	5.687902925149525e-4
Lachnospiraceae (OTU 49)	24.720397802929433	1.57764102786276e-4	5	Kruskal-Wallis rank sum test	0.003	0.001	0	0	0	0	0.0013966763217255612
Porphyromonadaceae (OTU 190)	24.612763499855635	1.6548491388925895e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.0014231702594476269
Lachnospiraceae (OTU 62)	24.031895040725818	2.1407017927733694e-4	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0025	0.0045000000000000005	0.0017898645545132894
Porphyromonadaceae (OTU 175)	23.82051282051285	2.3505045986829893e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0.0019121672546042697
Akkermansia (OTU 3)	23.509083189672868	2.697151375325751e-4	5	Kruskal-Wallis rank sum test	0.006500000000000001	0.2565	0.11599999999999999	0.133	0.0195	0.004	0.0020817386301623204
Lachnospiraceae (OTU 84)	23.451613904407175	2.7664300733054093e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0.0020817386301623204
Lachnospiraceae (OTU 90)	23.489435630689186	2.720641246782623e-4	5	Kruskal-Wallis rank sum test	0	0	0.0015	0	0	0	0.0020817386301623204
Lachnospiraceae (OTU 70)	23.381612141927047	2.8531956790377253e-4	5	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.0025	0.0020946631692447693
Lachnospiraceae (OTU 74)	22.92300025474459	3.4920120935373893e-4	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.001	0.002	0.002502608667035129
Clostridiales (OTU 35)	22.745051883166767	3.776273065145149e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0015	0.0026433911456016043
Lachnospiraceae (OTU 46)	22.264818971704262	4.6624976361224414e-4	5	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.005	0.003118692863273011
Lachnospiraceae (OTU 110)	22.301076509035013	4.5889667438298157e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.003118692863273011
Lachnospiraceae (OTU 64)	21.634107346783434	6.144360813596363e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.006999999999999999	0.004020549141070664
Lachnospiraceae (OTU 63)	21.060806987329368	7.889085804910604e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.003	0.00505237197293211
Lachnospiraceae (OTU 31)	19.825928063089094	0.0013472908447532644	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.008448636338973595
Bacteroides (OTU 1)	19.656072772769683	0.001449693142235095	5	Kruskal-Wallis rank sum test	0.5525	0.05450000000000001	0.628	0.3745	0.109	0.101	0.008689847863194239
Ruminococcaceae (OTU 65)	19.620062847774243	0.0014723662492455354	5	Kruskal-Wallis rank sum test	0	0.0015	0	0	5e-4	0	0.008689847863194239
Lachnospiraceae (OTU 148)	19.698865843237808	0.0014231951005560961	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.008689847863194239
Lachnospiraceae (OTU 116)	19.40747639373944	0.0016134958493152175	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0.00933965866622847
Ruminococcaceae (OTU 61)	19.290355814175303	0.0016968421920138218	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.001	0.009636783015021893
Lachnospiraceae (OTU 24)	19.11056857392027	0.0018330774531983354	5	Kruskal-Wallis rank sum test	0.0015	0.001	0	0	0.0015	0	0.010217709507642574
Lachnospiraceae (OTU 32)	18.832951330444438	0.002064802308651459	5	Kruskal-Wallis rank sum test	0.002	0	0	0	0.002	0.008	0.011300099907347077
Lachnospiraceae (OTU 11)	17.88363605209051	0.00309583258963154	5	Kruskal-Wallis rank sum test	0.0075	0	0	0	0.001	0.010499999999999999	0.016420633709488656
Ruminococcaceae (OTU 27)	17.84356788592689	0.003148984005508085	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.016420633709488656
Lachnospiraceae (OTU 41)	17.637426900584813	0.0034368768229162306	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Firmicutes (OTU 96)	17.637426900584813	0.0034368768229162306	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Clostridiales (OTU 107)	17.637426900584813	0.0034368768229162306	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Bacteroides (OTU 237)	17.637426900584813	0.0034368768229162306	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Lachnospiraceae (OTU 243)	17.64285714285717	0.003428972711514304	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Bacteroidales (OTU 334)	17.64285714285717	0.003428972711514304	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.016420633709488656
Acetatifactor (OTU 55)	17.489280230893044	0.0036595277121922337	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0015	0.004	0.0172112162714041
Lachnospiraceae (OTU 82)	17.445067264573986	0.003728667768809114	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.0015	0.017266599975562208
Lachnospiraceae (OTU 75)	17.203873676175938	0.004128942525742743	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0015	5e-4	0.01883048030679645
Ruminococcaceae (OTU 60)	16.83726848035176	0.004818989173430136	5	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.001	0.021649488674663743
Ruminococcaceae (OTU 153)	16.66264150943401	0.005186105833500765	5	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.022956144939466624
Lachnospiraceae (OTU 33)	16.34935416243995	0.005914304547512906	5	Kruskal-Wallis rank sum test	0	0	0.001	0.001	5e-4	0.0035	0.025800082156541806
Lachnospiraceae (OTU 34)	16.163478399489847	0.0063925085756210975	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.027100634947351415
Ruminococcaceae (OTU 92)	16.175757575757558	0.006359788056301239	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.027100634947351415
Peptostreptococcaceae (OTU 12)	16.121100625500066	0.006506698087780756	5	Kruskal-Wallis rank sum test	0	0.0055	0.002	0.0015	0	0	0.027201612839194547
Lachnospiraceae (OTU 29)	16.066347114779575	0.006657180771693049	5	Kruskal-Wallis rank sum test	0	5e-4	0.0015	0	0.0015	0.004	0.027449471401090518
Lachnospiraceae (OTU 140)	15.830592421619517	0.0073447576678067235	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.029875298081213836
Turicibacter (OTU 5)	15.741347209820304	0.007622680109420159	5	Kruskal-Wallis rank sum test	0.0345	0.056499999999999995	0.026	0.019	0.025	0.012499999999999999	0.03059235617247291
Lachnospiraceae (OTU 77)	15.526322647901983	0.00833497936974936	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0.0330109051354547
Clostridium (OTU 51)	15.456610047515053	0.008579504475377326	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025	0.03353806294920227
Lachnospiraceae (OTU 17)	15.100212193757022	0.009942619883334274	5	Kruskal-Wallis rank sum test	0.0025	0.014	0.0015	0.003	0.0015	0.004	0.03788264031498249
