otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Porphyromonadaceae (OTU 21)	75.13645987234315	1.4852300197980608e-12	9	Kruskal-Wallis rank sum test	0.066	0.0505	0.037	7.455854699386265e-10
Porphyromonadaceae (OTU 6)	70.8185237324139	1.0520128622506429e-11	9	Kruskal-Wallis rank sum test	0.1445	0.14350000000000002	0.1545	1.2747418486349637e-9
Porphyromonadaceae (OTU 8)	71.2301492279689	8.73351751362544e-12	9	Kruskal-Wallis rank sum test	0.016	0.022	0.026000000000000002	1.2747418486349637e-9
Porphyromonadaceae (OTU 48)	70.4023929830257	1.2696631958515574e-11	9	Kruskal-Wallis rank sum test	0.015	0.020999999999999998	0.013	1.2747418486349637e-9
Porphyromonadaceae (OTU 80)	71.95456025618563	6.292443093877586e-12	9	Kruskal-Wallis rank sum test	0.0075	0.004	0.005	1.2747418486349637e-9
Porphyromonadaceae (OTU 10)	69.06723710639709	2.3194171847605844e-11	9	Kruskal-Wallis rank sum test	0.036000000000000004	0.067	0.028999999999999998	1.4554342834372668e-9
Bacteroidales (OTU 38)	69.09647970147014	2.2890378065479365e-11	9	Kruskal-Wallis rank sum test	0.015	0.0315	0.0095	1.4554342834372668e-9
Porphyromonadaceae (OTU 44)	69.27413825743571	2.1128112065013208e-11	9	Kruskal-Wallis rank sum test	0.0165	0.014	0.0085	1.4554342834372668e-9
Porphyromonadaceae (OTU 14)	68.18659458323978	3.449006856407192e-11	9	Kruskal-Wallis rank sum test	0.0625	0.0595	0.047	1.9237793799071224e-9
Porphyromonadaceae (OTU 40)	67.81846550793443	4.0705742762806126e-11	9	Kruskal-Wallis rank sum test	0.016	0.0185	0.0195	2.0434282866928677e-9
Bifidobacterium (OTU 28)	64.23371287730328	2.0329939267109377e-10	9	Kruskal-Wallis rank sum test	0.0015	0.008	0	9.277845010989916e-9
Porphyromonadaceae (OTU 25)	62.788363444085924	3.8773399654024667e-10	9	Kruskal-Wallis rank sum test	0.036500000000000005	0.045	0.027	1.6220205521933653e-8
Bacteroides (OTU 1)	61.58351208018125	6.632886360827551e-10	9	Kruskal-Wallis rank sum test	0.062	0.08399999999999999	0.0795	2.5613145793349467e-8
Clostridiales (OTU 35)	60.80984644600929	9.357111853155436e-10	9	Kruskal-Wallis rank sum test	0.0045000000000000005	0.008	0.022	3.3551929644885916e-8
Enterobacteriaceae (OTU 2)	56.80978571693378	5.495456862567908e-9	9	Kruskal-Wallis rank sum test	0.001	0	5e-4	1.83914623000606e-7
Clostridium (OTU 268)	56.2499999999999	7.031797009406484e-9	9	Kruskal-Wallis rank sum test	0	0	0	2.2062263117012843e-7
Lachnospiraceae (OTU 73)	55.93200043312988	8.087680072127798e-9	9	Kruskal-Wallis rank sum test	0.001	0	0.0025	2.3882443507106793e-7
Ruminococcaceae (OTU 54)	55.32738662390739	1.0549142481804112e-8	9	Kruskal-Wallis rank sum test	0.003	0.003	0.0095	2.942038625480925e-7
Alistipes (OTU 18)	51.81340490031525	4.902809288148599e-8	9	Kruskal-Wallis rank sum test	0.101	0.1115	0.1225	1.2953738224476826e-6
