effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
ext_plate	8	17.49941683374475	2.1874271042180937	8.686791161869472	0.11553613377604717	9.99000999000999e-4
Residuals	532	133.96330103480756	0.2518107162308413	NA	0.8844638662239528	NA
Total	540	151.46271786855232	NA	NA	1	NA
