genus	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Unclassified	47.698446958420156	1.0907536305102888e-9	4	Kruskal-Wallis rank sum test	0.006	0	0	0	0.001	4.472089885092184e-8
Firmicutes Unclassified	39.43243554327811	5.671081459007338e-8	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	1.1625716990965042e-6
Oscillibacter	36.65302702520557	2.1234880614698894e-7	4	Kruskal-Wallis rank sum test	0.012	0.0015	0	0	0	2.9021003506755155e-6
Porphyromonadaceae Unclassified	32.11954785790286	1.8084315442385986e-6	4	Kruskal-Wallis rank sum test	0.29200000000000004	0	0	0.0015	0.3515	1.8536423328445635e-5
Ruminococcaceae Unclassified	29.000834266053126	7.814338851111763e-6	4	Kruskal-Wallis rank sum test	0.05	0.0055	0.005	0.001	5e-4	6.407757857911645e-5
Acetatifactor	28.296042923643615	1.0862962018003355e-5	4	Kruskal-Wallis rank sum test	0.013999999999999999	0.001	0.001	0	0	7.423024045635626e-5
Akkermansia	26.528029860085343	2.4760151218682016e-5	4	Kruskal-Wallis rank sum test	0.037000000000000005	0.0145	0.2515	0.1915	0.10500000000000001	1.4502374285228038e-4
Bacteroidales Unclassified	25.606694560669506	3.798055798888124e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0.0165	1.8003023149110541e-4
Butyricicoccus	25.521076406316322	3.951883130292558e-5	4	Kruskal-Wallis rank sum test	0.003	0.003	0	0	0	1.8003023149110541e-4
Clostridiales Unclassified	25.001611372587735	5.0272300312099884e-5	4	Kruskal-Wallis rank sum test	0.012	0.0025	5e-4	5e-4	0	2.061164312796095e-4
Coriobacteriaceae Unclassified	23.805891024938898	8.735852826734462e-5	4	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	3.256090599055572e-4
Pseudoflavonifractor	21.959518842998214	2.0417340295523977e-4	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	6.975924600970692e-4
Lactobacillus	20.77107254322205	3.5153809652937177e-4	4	Kruskal-Wallis rank sum test	0.0195	0.011	0.0275	0.0465	0.028	0.001108697073669557
Bacteroides	20.259193419187874	4.4386558426836545e-4	4	Kruskal-Wallis rank sum test	0.12150000000000001	0.56	0.1665	0.487	0.29100000000000004	0.0012998920682144987
Clostridium IV	17.264792180138546	0.0017168499699893708	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.0046927232513042805
Enterobacteriaceae Unclassified	15.727400937209108	0.003407637200037541	4	Kruskal-Wallis rank sum test	0	5e-4	0.0095	0.007	0.0055	0.0087320703250962
