genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	p.value.adj
Ruminococcaceae Unclassified	64.39657426181566	1.988016846123837e-11	7	Kruskal-Wallis rank sum test	0	0.027	0.009000000000000001	0	0	0.002	0	0.0325	1.1530497707518254e-9
Enterobacteriaceae Unclassified	55.76945089071032	1.0492958214052298e-9	7	Kruskal-Wallis rank sum test	0.1325	0.014	0.001	0.21	0.138	0	0.061	0.009999999999999998	3.0429578820751665e-8
Oscillibacter	53.39579417674716	3.0964497312394493e-9	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0.003	0	0.0095	5.986469480396269e-8
Butyricicoccus	49.116072404401805	2.1531960921732615e-8	7	Kruskal-Wallis rank sum test	0	0.003	0.003	0	0	0	0	0.003	3.122134333651229e-7
Peptostreptococcaceae Unclassified	47.13644834375199	5.250169717263652e-8	7	Kruskal-Wallis rank sum test	0.0055	0	0	0.019	0.001	0	0	0	6.090196872025836e-7
Acetatifactor	42.897964699044046	3.490413816664286e-7	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.005	0	0.0035	2.8920571623789804e-6
Bifidobacterium	42.93993641548833	3.42589702657639e-7	7	Kruskal-Wallis rank sum test	0	0.005	0	0.007	0.011	0.002	5e-4	0.0095	2.8920571623789804e-6
Lactobacillus	39.93744290523015	1.2939716863600434e-6	7	Kruskal-Wallis rank sum test	0.027	0.043000000000000003	0.017	0.012	0.026000000000000002	0.024999999999999998	0.019	0.0885	9.381294726110315e-6
Clostridium XlVb	39.45340895151024	1.6012955247114197e-6	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0.001	1.0319460048140261e-5
Erysipelotrichaceae Unclassified	38.86738882414841	2.071674531231427e-6	7	Kruskal-Wallis rank sum test	0.002	0	0.004	5e-4	0	0.001	0.0125	0.006	1.2015712281142275e-5
Unclassified	36.90195658510584	4.895556314730861e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0	0.0095	2.5812933295853628e-5
Lachnospiraceae Unclassified	36.32961601247586	6.281419842583566e-6	7	Kruskal-Wallis rank sum test	0.038000000000000006	0.14400000000000002	0.178	0.035500000000000004	0.29200000000000004	0.072	0.049	0.181	3.036019590582057e-5
Bacteroides	34.30254215562534	1.5118106409592519e-5	7	Kruskal-Wallis rank sum test	0.5605	0.002	0.44	0.426	0.475	0.133	0.7155	0.003	6.745001321202816e-5
Bacteroidales Unclassified	33.44268877394363	2.189324517628312e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014	0	0	9.070058715888722e-5
Dorea	30.801424698940846	6.764133595742879e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.002	0	2.6154649903539133e-4
Firmicutes Unclassified	29.31891426028952	1.265377551145213e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	5e-4	4.5869936229013975e-4
Clostridium XlVa	29.091185405354313	1.392506409549701e-4	7	Kruskal-Wallis rank sum test	0	0.007	0.001	5e-4	0.001	0.003	0	0.0045000000000000005	4.750904220816627e-4
Clostridiales Unclassified	27.613854577301538	2.5828082136376075e-4	7	Kruskal-Wallis rank sum test	0	0.003	0.001	0	0	0.002	0	0.0025	8.32238202172118e-4
Turicibacter	26.025836204988845	4.983427329341261e-4	7	Kruskal-Wallis rank sum test	0.016	0.011	0.026000000000000002	0.0275	0.049	0.007	0.069	0.0935	0.0015212567636936482
Porphyromonadaceae Unclassified	25.762040670394367	5.554228019297016e-4	7	Kruskal-Wallis rank sum test	0.001	0.155	0.001	0	0.003	0.584	0.0015	0.0035	0.0016107261255961347
Pseudoflavonifractor	24.406980758735813	9.660405023654812e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.001	0.0026681118636760906
Bacillales Unclassified	20.49999999999974	0.004585143096105445	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012088104526096172
Clostridium sensu stricto	19.754951300593582	0.006124028640482365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.015443202658607704
Clostridium IV	18.23322304665319	0.010960907544702836	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.026488859899698517
Lactobacillaceae Unclassified	16.43578643578636	0.021419899910772658	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.049694167792992565
Dialister	14.897486772487008	0.03733615718030596	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.08328835063299021
Akkermansia	14.263982258686914	0.046680499733433155	7	Kruskal-Wallis rank sum test	0.012	0.311	0.088	0.138	0.003	0.061	0.023	0.2855	0.10027662905700456
Enterorhabdus	13.713831730559008	0.056511605194039534	7	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	5e-4	0.0015	0.11302321038807907
Veillonella	13.798701298701403	0.054879686891807264	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.11302321038807907
Anaeroplasma	12.7877831947234	0.07745095503348724	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.149738513064742
Anaerostipes	11.60209130800095	0.11442723626575413	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2140896678520561
Alistipes	11.013346314551562	0.13803791963068257	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.2501937293306122
Olsenella	7.527182800528724	0.37612368541059654	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.6610658713277151
Anaerofustis	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Burkholderiales Unclassified	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Paraprevotella	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Pasteurellaceae Unclassified	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Succiniclasticum	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Sutterella	6.818181818181878	0.44805322707919015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6663355684767444
Coriobacteriaceae Unclassified	6.109977487613253	0.5269682399458995	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7313150192380948
Faecalibacterium	6.087478442966373	0.529572944965517	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7313150192380948
Parabacteroides	6.120441361404721	0.5257586486139559	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7313150192380948
Escherichia/Shigella	5.082552431950302	0.6498895401550988	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8765951936975751
Anaerotruncus	3.9754995215386795	0.7825950304501618	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8978709798885041
