otu	method	WM	C	WMR	CWM	RM	FRM	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.005	0.0025	0.0175	0	0	0	0.8024494113092617	0.09215856895229964	0.013541452565345556	0.4647446551741289	0.031050234095326826	0.013541452565345556	0.0739543049000271	6.011622652015068e-4	0.0010101724735067444	0.33789113733897774	0.2718048382355844	0.039495609669737294	0.013541452565345556	0.7496286338007387	0.7002754929437893
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0	0.0015	0	0	5e-4	0	0.27707076224574484	0.6049245249764903	0.06467527074411743	0.11720344079785815	0.006507697567058903	0.25723253818580694	0.6049245249764903	0.3054795709983651	0.27707076224574484	0.042275500026109754	0.27707076224574484	0.042275500026109754	0.34964293054411244	NA	0.11720344079785815
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0	0.0015	0	0	0.0025	0.002	0.009370408939827355	NA	0.003358039311990157	0.4397998480034735	0.009370408939827355	0.29311467645438316	0.009370408939827355	0.5069503732763122	0.003358039311990157	0.007508467718734554	0.016276692675971642	0.7047168594248886	0.005686968613117002	0.016276692675971642	0.7047168594248886
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0	0.005	0	0	0	0	0.022319368560193956	NA	0.008115148298484417	0.6062070439448668	0.008115148298484417	0.6062070439448668	0.6062070439448668	0.009687971976700679	0.6062070439448668	1	NA	0.022319368560193956	NA	0.6062070439448668	0.6062070439448668
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0	0.012	0	0	0	0	0.0035301373716351107	NA	2.8575183031247356e-4	0.5556897902827946	2.5984211004650737e-4	0.44870595466500984	NA	2.4526546312703546e-4	NA	0.431180805995485	0.23431244752563352	0.021113396035542836	0.12555291999878532	0.23431244752563352	0.09716586184671686
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0	0.009	5e-4	0.0025	5e-4	0	0.031198891749261173	0.7640626559722505	0.031198891749261173	0.37432961348579347	0.2007087497427093	0.37432961348579347	0.6056712984174161	0.031198891749261173	0.7471539259553134	0.6056712984174161	0.7471539259553134	0.031198891749261173	0.4766739687930732	0.2007087497427093	0.37432961348579347
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.017499999999999998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0027784301100990325	1.2215762291424857e-4	2.95287343991787e-4	1.2476240187807536e-4	1.2476240187807536e-4
Erysipelotrichaceae (OTU 39)	Kruskal-Wallis rank sum test	0.01	5e-4	0.0075	5e-4	5e-4	0	0.005302275630229739	0.8864846870036172	0.060416001318228316	0.055204147720425936	0.5457189910714372	0.2173410973848052	0.005302275630229739	1	0.060416001318228316	0.5457189910714372	0.018004575333937116	0.22261618723540005	0.060416001318228316	0.22261618723540005	0.22261618723540005
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0284406622664748	0.004185050194797158	0.006823479182085841	0.004185050194797158	0.004185050194797158
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0.00898837348113261	0.43886862145624805	0.004070009405299852	0.6946122378534934	0.0038573514464545146	0.5265166217679921	0.6946122378534934	0.0037562796211700273	0.5265166217679921	1	0.6744279365454768	0.01057862313211478	0.6946122378534934	0.7838577738856086	0.7838577738856086
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0	0.0025194995423479137	NA	2.0502336690697331e-4	NA	8.827053756339654e-5	NA	NA	8.827053756339654e-5	NA	NA	0.40465676192728606	0.0187727899233091	0.27593788140761943	0.2505222624971179	0.2505222624971179
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0027784301100990325	1.2215762291424857e-4	2.95287343991787e-4	1.2476240187807536e-4	1.2476240187807536e-4
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.15649518817175162	0.6124393745437632	0.30310100894713027	1	0.09997676261463323	0.5195385148857137	0.30310100894713027	0.006469558181683305	0.15649518817175162	0.30310100894713027	0.5150176969983641	0.06299546678153672	0.30310100894713027	0.48377983280382086	NA
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.0015	0.002	0.0095	0	0	0	0.5505604644997243	0.08607994293339682	0.08607994293339682	0.1009937809820222	0.05950009356160931	0.02590724296128519	0.027175473446771157	0.02251904407752105	0.008688187914511045	0.5505604644997243	0.05950009356160931	0.04146742013332602	0.02590724296128519	0.43194627928912577	0.5556897902827946
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.010499999999999999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0027784301100990325	1.2215762291424857e-4	2.95287343991787e-4	1.2476240187807536e-4	1.2476240187807536e-4
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	0.005	0.001	0.002	0.005	0	0	0.19883744068175868	0.26651665378238654	0.26651665378238654	0.342156260404263	0.0015386478515580413	0.006714628197039198	0.006216792554981089	0.0015386478515580413	0.0015386478515580413	5.356699993406136e-4	0.10041192849567489	0.10406468312977496	0.05593477563898706	0.006216792554981089	0.2435633107610868
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0.08869293793115306	1	0.08869293793115306	1	0.05072318113133715	1	1	0.05072318113133715	1	1	1	0.068176115323067693	1	1	1
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.007328943075904525	0.49055623361354567	9.186263312488418e-4	0.7878775573414323	0.0012314612519537544	0.5758393084867626	1	0.0037437097466069165	0.4885244607573053	0.6774477807836382	0.5758393084867626	0.0037437097466069165	NA	0.6774477807836382	0.5758393084867626
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0	0.008	0	5e-4	0	0	0.005547369463781683	0.46923154274926676	0.00278160525867526	0.2905564312849334	0.019035459261681084	0.46923154274926676	0.46923154274926676	0.0018531846648016355	0.9084508820960665	0.46923154274926676	1	0.005547369463781683	0.46923154274926676	0.2905564312849334	0.46923154274926676
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0	0.001	0.003	0	5e-4	0	0.5617510260000375	0.21622242240061706	0.1903918262555903	0.28385078531073576	0.004889803369574488	0.004889803369574488	0.7152498712746418	0.8304698188115214	0.3139739062751716	0.0640738322486052	0.575745773380964	0.05649892495345403	0.05649892495345403	0.7152498712746418	0.25374668970151726
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0	0.005014694433779456	0.5184938265906368	0.051585677609475376	0.6483047553299272	8.866860286790656e-4	0.5184938265906368	NA	2.65468361575451e-4	0.30010462788344144	0.5184938265906368	0.5184938265906368	0.027793945417826392	0.8113636638523745	0.7189178193324605	0.3897012972177389
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0	0.002	0.003	0	0	0	0.0843393072929365	0.16449077981568025	0.4692797944987737	0.8577144806607083	0.06169018192094432	0.0843393072929365	0.0843393072929365	0.006469558181683305	0.020021908099646255	0.12228025637295914	0.22138456683624783	0.041996977854357825	0.08168885506663977	0.25651699573348674	NA
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0	0.03144171634161712	0.38142865150266814	0.08566666417554113	0.2752765102163656	0.11663140173323822	0.6929261095529639	0.34290104449278525	0.03144171634161712	0.9641897081485793	0.6929261095529639	NA	0.03144171634161712	0.38142865150266814	0.2752765102163656	0.34290104449278525
Lachnospiraceae (OTU 66)	Kruskal-Wallis rank sum test	0	0.004	5e-4	0	5e-4	5e-4	0.02514210228725267	0.4217873162989844	0.0521628044618017	0.740672862342404	0.009097084032642663	0.5006722069473744	0.4692828206313481	0.0521628044618017	1	0.5006722069473744	0.5006722069473744	0.18420357331357654	1	0.5330501384223305	1
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0.0035	0	0.002	0	5e-4	0	0.0010689422501526386	0.43761909227284906	0.00582588042098063	0.0021518542575308837	0.9114024598254367	0.013456624878048799	0.08171684252692468	0.03641654906283079	0.41379098418522064	0.06900674987299182	0.013819596790175305	0.6680653393350383	0.06782754662682007	0.7838577738856086	0.2448778059589401
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0.03212647668222435	0.6600427481820145	0.022667495340965942	0.537533147559801	0.03212647668222435	0.7680545213742253	NA	0.006584451061473353	0.537533147559801	0.3878573792994925	0.5665194666982004	0.0669508067605379	0.8365689275520575	1	0.3897012972177389
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0.001	0.011368553906216742	NA	0.00270468842128316	0.37213833292601606	0.01816041105244127	0.2805554000395516	0.2805554000395516	0.01001899881961504	0.21841535766135628	0.838945577582555	0.17268992996788105	0.2805554000395516	0.0589353724448205	0.2805554000395516	0.28129675676410376
Acetatifactor (OTU 78)	Kruskal-Wallis rank sum test	0	0.001	5e-4	0	0	0	0.04714659475177731	0.09574305201556012	1	0.3769712982886916	0.07907431761271144	0.15275610073531715	NA	0.013515923584613674	0.04714659475177731	0.22163278817113855	NA	0.04714659475177731	0.09574305201556012	0.3769712982886916	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002671274611601156	1.1956634344820323e-4	2.871107532049015e-4	1.2176090411649476e-4	1.2176090411649476e-4
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0.0015	0.001	0	0	0	0.018299746912896233	0.1070640066130055	0.3592002258187855	0.47121412286086445	0.018299746912896233	0.1647202339796008	0.3592002258187855	0.040266007917022034	0.3592002258187855	0.6542209018158482	0.3592002258187855	0.3592002258187855	0.6542209018158482	0.5040316381583886	0.6542209018158482
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.04873713978787103	0.15191921025709224	0.4632455081233473	NA	0.013928514931817015	0.051117858737831895	0.5556897902827946	0.023138854887824127	0.14473287100438734	0.4632455081233473	NA	0.04873713978787103	0.15191921025709224	NA	0.5556897902827946
Lachnospiraceae (OTU 85)	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	0.06867893853973839	NA	0.06551574376246631	0.6062070439448668	0.06867893853973839	0.6062070439448668	0.6062070439448668	0.06551574376246631	0.6062070439448668	1	NA	0.06867893853973839	NA	0.6062070439448668	0.6062070439448668
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002724531790919405	1.2085648761907534e-4	2.911780808959073e-4	1.2325466262137828e-4	1.2325466262137828e-4
Lachnospiraceae (OTU 88)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.19633541260897702	0.15191921025709224	0.3461038433208968	NA	0.12196676624159053	0.09584598513343481	NA	0.12196676624159053	0.09584598513343481	NA	NA	0.19633541260897702	0.15191921025709224	NA	NA
Lachnospiraceae (OTU 90)	Kruskal-Wallis rank sum test	0	0.002	0	0	0.001	0.001	0.49658843601361313	0.49658843601361313	0.0380939585912143	0.653134486361751	0.0380939585912143	0.7489586254107474	0.39499055739216693	1	0.052825605599891655	0.0684277448694839	0.7489586254107474	0.7489586254107474	0.3025382059382515	0.39499055739216693	0.6162701007813809
Clostridiales (OTU 91)	Kruskal-Wallis rank sum test	0.001	0	0.0025	0	0	0	0.017883906660114083	0.6997710287183357	0.0021698012997002298	0.11456892518239782	0.5026684920081489	0.022076433509236975	0.011604679435964702	0.5026684920081489	0.0021698012997002298	0.25857158619966164	0.05609838116333473	0.6304080768041123	0.017883906660114083	0.48377983280382086	NA
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.04611848745011314	NA	0.01936949069493625	NA	0.015355258830085277	NA	NA	0.015355258830085277	NA	NA	NA	0.04611848745011314	NA	NA	NA
Lachnospiraceae (OTU 95)	Kruskal-Wallis rank sum test	0	0.001	0	5e-4	0	0	0.044592821899254925	NA	0.029356113880317683	0.09502424216722583	0.7654054327736168	0.044592821899254925	0.18351767347757708	0.3422170961052829	0.09502424216722583	0.32447696266530635	NA	0.044592821899254925	NA	0.09502424216722583	0.18351767347757708
Firmicutes (OTU 96)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.06421488839807145	NA	0.017469208960104544	NA	0.012588777893838688	NA	NA	0.012588777893838688	NA	NA	0.40465676192728606	0.29099687340882907	0.29099687340882907	0.29099687340882907	0.29099687340882907
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.026908754217375055	NA	0.01400931091657143	0.3769712982886916	0.08400185512723406	0.3589159303523059	0.3769712982886916	0.026908754217375055	0.3589159303523059	0.8939127831001539	NA	0.026908754217375055	NA	0.3769712982886916	0.3769712982886916
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.016052055879365208	NA	0.004384653745801718	NA	0.002870318918056379	NA	NA	0.002870318918056379	NA	NA	NA	0.016052055879365208	NA	NA	NA
Porphyromonadaceae (OTU 99)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17573433564422514	0.08097155153893072	0.09154900416578098	0.08097155153893072	0.08097155153893072
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.02968049220604426	NA	0.012146455211333812	0.5556897902827946	0.012934830382556953	0.5288320179980474	NA	0.010589084046851004	NA	0.5288320179980474	NA	0.02968049220604426	NA	0.5556897902827946	NA
Lachnospiraceae (OTU 102)	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0	0	0.10616821187044205	0.2928905594070419	0.28124951753974753	0.10616821187044205	0.6145082278638927	0.11549484801477891	0.47007405571151467	0.10616821187044205	0.5110624923187135	0.08733096136870185	0.2928905594070419	0.4310444756694687	0.8945107536111889	0.28124951753974753	0.5017339571397077
Ruminococcaceae (OTU 106)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.16722696451329697	0.3359448837549114	0.5066665518467914	NA	0.05969683070983874	0.19227422021856597	NA	0.05969683070983874	0.19227422021856597	NA	NA	0.16722696451329697	0.3359448837549114	NA	NA
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0.001	0.024295810216624407	NA	0.007960439568090177	NA	0.005209000047032662	NA	NA	0.005209000047032662	NA	NA	0.08326121623451407	0.7963000090453726	0.027062160816499214	0.02095537656890091	0.02095537656890091
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	5e-4	0.0015	0	0	0	0	0.42192239857085634	0.34907595587060947	0.023698407427984604	0.23162904256974814	0.0030728630500153945	0.8060113432229958	0.04327495683847115	8.641764768352126e-4	0.241155504549194	0.27637325686110653	0.5206999290959888	0.04401752912675425	0.7717503541260605	0.5481529125711663	0.120484724704195
Lachnospiraceae (OTU 113)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0.07199434435787709	0.5036814567655811	0.17867259340769845	0.21609871852732246	0.5875346010484856	0.5875346010484856	0.09548171383971774	0.9114024598254367	0.21609871852732246	0.6271917090653157	0.142203311332374	0.6271917090653157	0.21609871852732246	0.5759283723855011	0.6271917090653157
Clostridiales (OTU 115)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.16495369827750303	0.37605924456921175	0.25723253818580694	NA	0.07405187530096946	0.25723253818580694	0.37605924456921175	0.16495369827750303	0.8060113432229958	0.28426963562856666	NA	0.16495369827750303	0.37605924456921175	NA	0.37605924456921175
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.1383554623503394	NA	0.13708621724094303	0.518335535146951	0.24058479233951982	0.41873525207769025	0.5556897902827946	0.13708621724094303	0.548418389035012	0.5556897902827946	NA	0.1383554623503394	NA	0.518335535146951	0.5556897902827946
Porphyromonadaceae (OTU 122)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07313979965890893	0.019233314150431623	0.026056586093378277	0.019233314150431623	0.019233314150431623
Lachnospiraceae (OTU 123)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.07287439638503765	0.9497712193634842	0.06293006474428885	0.07287439638503765	NA	0.06293006474428885	0.07287439638503765	NA	0.06293006474428885	NA	0.19770112759975328	NA	0.12798623378689122	NA	NA
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.02138246951835576	NA	0.006579952492358354	0.5984351587660866	0.00942154375724839	0.4798660904056356	0.24288988537889067	0.08077262822554358	0.13040963770401737	0.2701431892572867	0.2701431892572867	0.09701227445896946	0.14520187889991473	0.35511167135991745	0.8661309396647773
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.01644035059402681	NA	0.004485928500839675	NA	0.002933456126637569	NA	NA	0.002933456126637569	NA	NA	NA	0.01644035059402681	NA	NA	NA
Lachnospiraceae (OTU 131)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0.08076415114344436	NA	0.05090595131212233	NA	0.05090595131212233	NA	0.5556897902827946	0.07264644627266019	0.5288320179980474	0.5288320179980474	NA	0.08076415114344436	NA	NA	0.5556897902827946
Acetatifactor (OTU 138)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.12929068137774283	NA	0.09963932250541364	0.5556897902827946	0.12929068137774283	0.5288320179980474	NA	0.09963932250541364	NA	0.5288320179980474	NA	0.12929068137774283	NA	0.5556897902827946	NA
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	NA	0.2986176744488101	0.16480647447305655	NA	NA	0.16480647447305655	NA	NA	0.16480647447305655	NA	0.16480647447305655	0.03492562761483485	0.18483584328773212	0.03492562761483485	0.03492562761483485
Lachnospiraceae (OTU 149)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0.014120549486540443	0.09352491077807612	0.19795832929426002	0.06041453494689218	0.4211659731073193	0.5556897902827946	0.015066180701269766	NA	0.2197419659640754	0.431180805995485	0.0853219867994244	NA	0.4211659731073193	0.5556897902827946	NA
Clostridiales (OTU 154)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.16760155519849984	NA	0.06888227049601141	NA	0.059827134982120084	NA	NA	0.059827134982120084	NA	NA	0.40465676192728606	0.3733848160110419	0.3153575787515651	0.29227597291330415	0.29227597291330415
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1148182987490011	NA	0.07154892604368202	NA	0.06793324824152921	NA	NA	0.06793324824152921	NA	NA	NA	0.1148182987490011	NA	NA	NA
Lachnospiraceae (OTU 161)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.4798660904056356	NA	0.42988294481275474	0.09991027490931262	0.0639537846145574	0.0639537846145574	0.5984351587660866	0.6759773431381857	0.4798660904056356	0.0639537846145574	0.38786170456482133	0.44022572872893395	0.20506976933134938	0.44022572872893395	0.38786170456482133
Acetatifactor (OTU 165)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	0.1755474485824992	0.0883789853375448	NA	NA	0.0883789853375448	NA	NA	0.0883789853375448	NA	NA	NA	0.1755474485824992	NA	NA
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02765949214637324	0.004104248726052799	0.006676240656334011	0.004104248726052799	0.004104248726052799
Firmicutes (OTU 188)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1148182987490011	NA	0.07154892604368202	NA	0.06793324824152921	NA	NA	0.06793324824152921	NA	NA	NA	0.1148182987490011	NA	NA	NA
Porphyromonadaceae (OTU 190)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17573433564422514	0.08097155153893072	0.09154900416578098	0.08097155153893072	0.08097155153893072
Porphyromonadaceae (OTU 194)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17573433564422514	0.08097155153893072	0.09154900416578098	0.08097155153893072	0.08097155153893072
Coriobacteriaceae (OTU 204)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	NA	NA	0.1353182207417123	0.08930483256384701	0.0908574644063811	NA	NA	NA	0.08930483256384701	NA	NA	NA	0.1353182207417123	NA
Porphyromonadaceae (OTU 212)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1457487927700753	0.16478820749840575	NA	0.1457487927700753	NA	NA	0.1457487927700753	NA	NA	NA	0.5270892568655381	0.2505222624971179	0.27593788140761943	0.2505222624971179	0.2505222624971179
