otu	method	WM	C	WMR	CWM	RM	FRM	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.3795	0.224	0.389	0.4765	0.584	0.27849999999999997	0.07044878777790387	0.6023440844869417	0.04122960189523523	0.5563604899424186	0.07044878777790387	0.9736918638990016	0.09918390433096316	0.015688727193322243	0.23899011205512755	0.12195919388354999	0.07937299412558138	0.5563604899424186	0.04122960189523523	0.38345313058422353	0.07044878777790387
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.28049999999999997	0.006	0.15	0.167	0.0715	0.049	0.018806931946687915	0.04902609836527197	0.12137398880250529	0.05185745820780595	0.018806931946687915	0.5459270587240115	0.04902609836527197	0.018806931946687915	0.8431467657923879	0.07848989987542468	0.018806931946687915	0.07848989987542468	0.48149621891947947	0.05185745820780595	0.5043259907513301
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.015	0.097	0.045	0.0575	0.022	0.01	0.0030959752321981426	0.2636988014964248	0.00331547742874974	0.2807122328646639	0.2807122328646639	0.39946890844571276	0.4254970414033096	0.0014345421979856797	0.2269514759405517	0.28117757969086643	0.3017263571436299	7.739938080495355e-4	0.02755570640834367	0.14406741674248771	0.09761878622284573
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1285	0.6455093338308454	0.4363834457350329	0.7729848071483215	0.5022147729537939	1	0.7596143617986842	0.1457487927700753	0.43003969488460864	0.5022147729537939	0.4155614778208848	0.5045131892207904	0.022605804573582806	0.0021100371027756477	0.0019657132769981787	0.0011228616169026782
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0.0495	0	0	0	0.0225	0.03206355749939731	NA	0.006668232264237677	NA	0.004770250589204131	NA	0.24047605717675846	0.04051947514646756	0.13104921459681376	0.10507413659594418	0.006668232264237677	0.7711504293521841	0.0014173792511605777	8.982892935221425e-4	0.03206355749939731
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.091	0.08455014969954135	NA	0.02978630427694768	NA	0.02011654436524201	NA	NA	0.02011654436524201	NA	NA	0.006251467747722823	0.088203145309141	7.086896255802888e-4	3.3685848507080345e-4	3.3685848507080345e-4
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.017	0.0305	0.0095	0	0.003	0	0.5736628795879807	0.5405040169286219	0.054389178331988176	0.022812822768774603	8.192816691495872e-4	0.022812822768774603	0.48758344421374716	0.06449696882347207	0.8128586258546857	0.020423944117269697	0.1751328916789316	0.020423944117269697	0.17577763079720704	0.3804767907427687	0.1751328916789316
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.004	0	0	0.001	0	0	3.62569462857226e-4	0.02014907836128476	0.028090457848647252	0.20362630398987755	0.019171282679113142	0.3809766816478042	0.02014907836128476	0.024722020278529818	0.8528594566574111	0.4610525266784522	0.019171282679113142	0.23410389514746532	0.3809766816478042	0.20362630398987755	0.32831775268292296
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0.066	0	0	0	0	0.0395	0.01657810022922191	0.01273716113989357	0.3439063558502038	0.015308773923375927	0.6884038632756921	0.4798660904056356	0.0070308843272592235	0.31161633619978807	NA	0.4573129760558174	0.6884038632756921	7.266346572474067e-4	8.268045631770036e-4	7.266346572474067e-4	7.266346572474067e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0645	0.48861215493835	NA	0.43066477278077886	0.48377983280382086	1	0.41873525207769025	0.48377983280382086	0.9626167175048487	0.41873525207769025	0.9626167175048487	0.011771275801453932	0.011771275801453932	0.0018185036350594382	0.0018185036350594382	0.043902626031184465
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.005	0.0025	0.0025	0.0075	0.0085	0.004	0.3385409492219518	0.19423858345471526	0.8056934260500572	0.1791366519817526	0.01291257425732635	0.01291257425732635	0.22030656358873021	0.01291257425732635	0.01291257425732635	0.9725273483131228	1	0.4454674180531359	0.3664437620712541	0.22030656358873021	0.22030656358873021
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.016	0.014499999999999999	0.011	0.0055	0	0	0.9670431473714979	0.41146938578046377	0.5144258009302285	0.3574286598718313	0.3574286598718313	0.5433454878855271	0.21550628414459014	0.08934906231481587	0.21550628414459014	0.3574286598718313	0.02480256404566686	0.00873493079676147	0.02480256404566686	0.20757772138014585	0.5433454878855271
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.012	NA	NA	NA	0.5556897902827946	0.4619794349951625	0.4627280157482914	NA	NA	NA	0.4619794349951625	0.017319095254366448	0.0016579260026364443	0.0027759001432126856	0.0027759001432126856	0.0021200237347286655
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0	0.0125	0.0055	0.009000000000000001	0	0	0.02895420046242502	0.21878461722605325	0.09536901067669809	0.09544277648979291	0.6693566327672393	0.5470491337606893	0.9617970296580559	0.007052347560232449	0.11907588087341846	0.06844865403217054	1	0.025699086760952384	0.09544277648979291	0.09544277648979291	0.807292374862334
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.010499999999999999	0.21920697968497813	0.24527811680677283	NA	0.21920697968497813	NA	NA	0.21920697968497813	NA	NA	NA	0.030080600150391896	0.001413349156485777	0.0027759001432126856	0.001413349156485777	0.001413349156485777
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0	0.011	0	0	0	0	0.03937190494854709	0.6502558148763758	0.03937190494854709	0.6502558148763758	5.908013432369702e-5	0.164141268561257	0.6502558148763758	5.908013432369702e-5	0.17132435870905516	1	0.6502558148763758	0.0025749713167246327	0.1898990128213653	0.6502558148763758	0.6502558148763758
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0	0.003	0	0.0075	0.0025	0	0.008805033181898576	NA	0.00270468842128316	0.018608512054818366	0.23914353248845271	0.006934787787171238	0.027439141269490295	0.8559129548373108	0.008805033181898576	0.34090842923066345	0.4357842051524619	0.01681573299367659	0.3121721486631654	0.027439141269490295	0.07038319360181156
