otu	statistic	p.value	method	alternative	-5	1	p.value.adj
Enterobacteriaceae (OTU 3)	0	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.0015	1.974	0.6508698763595805
Porphyromonadaceae (OTU 4)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.051	0	0.6508698763595805
Porphyromonadaceae (OTU 6)	20	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.05025	2.5e-4	0.6508698763595805
Porphyromonadaceae (OTU 8)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.26	5e-4	0.6508698763595805
Lactobacillus (OTU 9)	1	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.0095	0.41774999999999995	0.6508698763595805
Porphyromonadaceae (OTU 11)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.12475	0	0.6508698763595805
Porphyromonadaceae (OTU 16)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.08675	2.5e-4	0.6508698763595805
Peptostreptococcaceae (OTU 18)	0	0.031250000000000014	Wilcoxon signed rank test	two.sided	0	0.4595	0.6508698763595805
Porphyromonadaceae (OTU 21)	20	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.053000000000000005	0	0.6508698763595805
Porphyromonadaceae (OTU 24)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.09675	0	0.6508698763595805
Lachnospiraceae (OTU 28)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.0125	0	0.6508698763595805
Bacteroidales (OTU 29)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.038	0	0.6508698763595805
Lachnospiraceae (OTU 31)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0	0.6508698763595805
Ruminococcaceae (OTU 33)	19	0.09375000000000004	Wilcoxon signed rank test	two.sided	0.0085	0	0.6508698763595805
Porphyromonadaceae (OTU 35)	20	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.02875	0	0.6508698763595805
Porphyromonadaceae (OTU 36)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.0285	0	0.6508698763595805
Oscillibacter (OTU 39)	15	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	0.00175	0	0.6508698763595805
Lachnospiraceae (OTU 42)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.6508698763595805
Porphyromonadaceae (OTU 44)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.026500000000000003	0	0.6508698763595805
Lachnospiraceae (OTU 45)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.00425	0	0.6508698763595805
Lachnospiraceae (OTU 47)	20	0.06250000000000003	Wilcoxon signed rank test	two.sided	0.00275	0	0.6508698763595805
Ruminococcaceae (OTU 50)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.00125	0	0.6508698763595805
Oscillibacter (OTU 52)	19.5	0.07393743585215212	Wilcoxon signed rank test with continuity correction	two.sided	0.0034999999999999996	0	0.6508698763595805
Ruminococcus (OTU 54)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.009000000000000001	0	0.6508698763595805
Clostridiales (OTU 56)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.007	0	0.6508698763595805
Lachnospiraceae (OTU 58)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.6508698763595805
Porphyromonadaceae (OTU 62)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.011	2.5e-4	0.6508698763595805
Lachnospiraceae (OTU 63)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.0032500000000000003	0	0.6508698763595805
Bacteria (OTU 64)	21	0.031250000000000014	Wilcoxon signed rank test	two.sided	0.01275	0	0.6508698763595805
Ruminococcaceae (OTU 65)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.002	0	0.6508698763595805
Porphyromonadaceae (OTU 66)	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.020499999999999997	0	0.6508698763595805
