day	C-WM	WMN-WM	WMN-C	method	WM	C	WMN	p.value.adj
6	1.2099897145272963e-11	0.5888449714536671	2.7086373026306285e-6	Kruskal-Wallis rank sum test	19.979	83.693	15.442499999999999	9.328675518008939e-9
30	1.1642067015059637e-5	0.059026203112054934	1.1642067015059637e-5	Kruskal-Wallis rank sum test	54.32	89.735	65.2125	5.191655904516427e-6
