otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0	0.0095	0.007	0.0055	0.00439165738277065	0.026179336303407852	0.6127027462556823	0.06817026334001916	0.6127027462556823	0.8877554954190772
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.037000000000000005	0.2515	0.191	0.10500000000000001	8.132239337833936e-4	5.820343011609126e-4	0.10305972566584674	0.0655291121407572	0.008479231455844501	0.007311878362674861
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.081	0.0225	0.015	0.0035	0.05731063816681538	0.0012745996014460635	0.9148803166837335	6.464124111182935e-4	0.6184191172659501	0.008485137719851007
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	5e-4	0	0	0.0925	0.03535661978342562	0.01393737272317224	0.26037492145988095	0.03535661978342562	1.2837440660150214e-4	2.2457232338053562e-4
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.0545	0	0	0.0205	0.0024222992254384957	0.027474781408335258	0.4188860003696053	1	5.390736439446787e-5	7.793587007397593e-4
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.0035	0.004	0.016	0.013	0.6231100316507809	0.03259657113284852	0.007447910262869513	0.2542866690659103	0.2542866690659103	0.6231100316507809
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.0135	0	0	0.1205	0.01958453971296845	0.029238181563957105	0.8072501679320072	0.09310681239631158	1.2837440660150214e-4	4.6712227965904705e-4
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.039	0	0.001	0	4.7677279900731635e-6	0.0014366090590018632	0.00841482762492612	0.001560359070713453	0.4870251915949485	0.14661093887271182
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0	0.002	5e-4	0	0.00785798770099509	0.02109809082172435	0.3695635609291513	0.09716586184671686	0.3474958783229568	0.642755659841566
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0.042	0.4541856382715067	NA	0.4541856382715067	1.1881499217049835e-4	4.3687577062065704e-5	1.1881499217049835e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0.046	0.3714721115636145	0.8939127831001539	0.3714721115636145	0.031229705280661976	5.3533652261526675e-5	0.031229705280661976
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.009999999999999998	0	0.0025	0	0.0029522174506877033	0.06748907351842359	0.14013824747120945	0.0029522174506877033	0.5108474577046099	0.06748907351842359
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0.006500000000000001	NA	NA	NA	4.7111638549525897e-4	8.846699539400668e-5	4.7111638549525897e-4
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.011	5e-4	0	0	0.0013966524137715393	9.635521406541983e-5	0.02303243556567692	0.0013966524137715393	0.05047367225049538	0.5556897902827946
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0.0045000000000000005	0.26009138331422954	NA	0.26009138331422954	0.005505234549590556	0.005505234549590556	0.005505234549590556
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.0135	0	0	0	2.907439871276555e-6	4.197103057135256e-5	0.8065952745208769	0.0013874067174408549	0.7565130018430685	0.7565130018430685
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0.001	0	0	0.013	0.06527708532213015	0.41280937402038903	0.4186681194712666	0.035118493522573214	0.01194696186064333	0.035118493522573214
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.007759345200199203	2.2136842628826733e-4	0.1384707521548536	0.009326857070538284	0.7071722653262058	0.23382077833064333
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.0015	0	0	0	1.2879747255999203e-4	0.020978097783676215	0.01815420965355524	0.01815420965355524	NA	0.1376382551081828
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0.0095	0	0.001	5e-4	0.004701475497540072	0.008940610071964776	0.3606398062249788	0.036691527481131886	0.8078018999244168	0.808143706019941
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.0025	0	0.0045000000000000005	0.004	0.0037130723097812584	0.9244415654188717	0.0037130723097812584	0.9244415654188717	0.11172018104862144	0.8561255820872609
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.007138963715241449	0.007138963715241449	0.5677320478393834	0.04828902713240753	0.6304275015358904	NA
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.004	0	0	0	8.01696897906552e-5	3.10630264682101e-4	0.5677320478393834	0.00633239581427563	0.6304275015358904	NA
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0.0165	0.26009138331422954	NA	0.26009138331422954	0.0055248835342442924	0.0055248835342442924	0.0055248835342442924
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0.0065	NA	NA	NA	0.0025110301168782944	8.043347387075119e-4	0.0025110301168782944
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.003	0	0	0	0.001025954493352173	2.193212277667835e-4	0.1384707521548536	0.005923735211806598	0.7071722653262058	0.23382077833064333
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.005	0	0	0	8.159435320934314e-7	1.501770901193479e-5	NA	6.845208295056711e-4	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0.0085	NA	NA	NA	7.485744112684521e-5	8.2549264945613e-6	7.485744112684521e-5
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0.005	0	0	0	2.4275421736364856e-5	2.4275421736364856e-5	0.3254686518248512	0.0010957924408830544	0.44453785376403143	NA
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0.006	0	0	0	0.0034571898606500845	0.02236108627141615	0.9425378416084825	0.028346717649157985	0.9425378416084825	0.9425378416084825
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0.0045000000000000005	NA	NA	NA	0.0025110301168782944	8.043347387075119e-4	0.0025110301168782944
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	5e-4	0.0025	0	0	0.04555182382242062	0.01157903025178708	0.001422932823063875	0.050060913114699915	0.01157903025178708	NA
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0085	0	0	0	8.449978301352935e-4	8.449978301352935e-4	0.8591974880054098	0.004461931598279947	0.959042826789865	0.8591974880054098
