otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.002643030856181862	2.185365907501731e-4	0.4067744834678951	0.001999221689890942	0.25991287861806445	0.4067744834678951
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0055	0	0	0	9.266567253499568e-5	9.266567253499568e-5	0.5677320478393834	0.002805910103392478	0.6304275015358904	NA
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.0075	0	0	0	3.264861846830854e-4	1.8557686020927562e-4	0.6433026474125949	0.001359922124443568	0.2601910015395824	0.26180575884032775
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.003	0	0	0	1.565188943375438e-4	0.07037130445215563	0.01103741904211845	0.07037130445215563	0.029976059737527122	0.8301610401121512
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.006	0	0	0	6.435457194829178e-6	8.518133847005459e-5	NA	0.0033627548772394242	0.12734507317237598	0.19485064860886944
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.009856996177596488	0.009856996177596488	0.5677320478393834	0.04811053231245804	0.6304275015358904	NA
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.030803645551968913	0.023212825458115354	0.7648268534474172	0.023392106010965127	0.7648268534474172	0.7648268534474172
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.07442150496322655	0.021760600837619153	0.4067744834678951	0.021760600837619153	0.25991287861806445	0.4067744834678951
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0.003	0	0	5e-4	0.008969836113278385	0.09943686295659643	0.5676463054842149	0.36741232326613127	0.36741232326613127	0.5676463054842149
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.005	0	0	0	0.0013394555723297706	0.0013394555723297706	0.4231450338692102	0.003327558165448018	0.38908290037316456	0.2064573826622742
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0032451112481512315	0.002177871661334237	0.23202266611374142	0.044595108951775056	1	0.23382077833064333
Lachnospiraceae (OTU 70)	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.5677320478393834	0.018034430464633884	0.018034430464633884	NA	0.6304275015358904	0.08343485519116653
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0.0015	0	0	0	7.393552586055529e-4	6.004618753729942e-4	0.3254686518248512	0.0060711679097186	0.44453785376403143	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.003	0	0	0	0.013107952472139035	0.03207834419820725	0.8020408684929166	0.49416368935680755	0.49416368935680755	0.5752719429766859
Lachnospiraceae (OTU 77)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0029325076964092584	0.022978617716294496	0.2860819327995663	0.03614637473784461	0.8164575944411389	0.6088193194627993
Acetatifactor (OTU 78)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0010680242762036813	0.004241309862088388	NA	0.0286525071866839	NA	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	0.0015	NA	NA	NA	0.0025110301168782944	8.043347387075119e-4	0.0025110301168782944
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003711224097766601	0.09746834373365063	0.46434013945451813	0.09746834373365063	0.5844302299139382	0.9425378416084825
Lachnospiraceae (OTU 84)	Kruskal-Wallis rank sum test	0.001	0	0	0	2.846822069495327e-4	0.001507803489289057	NA	0.014346065657829272	NA	NA
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0.004	NA	NA	NA	4.66032829013532e-4	8.77690829147866e-5	4.66032829013532e-4
Lachnospiraceae (OTU 88)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.09349899150288989	0.03473709075536124	0.19335222176145117	0.09349899150288989	0.3239172198439003	NA
Anaeroplasma (OTU 89)	Kruskal-Wallis rank sum test	0	0	0	0	0.032906268466525	0.05488587164115136	NA	0.13879422021650895	NA	NA
Lachnospiraceae (OTU 90)	Kruskal-Wallis rank sum test	0.001	0	0.002	0.0015	0.0117578703249937	0.8103999125991774	0.01946064065065572	0.8103999125991774	0.01946064065065572	0.8103999125991774
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0035267769364172594	0.01042112722660837	NA	0.050060913114699915	NA	NA
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.004477821919262607	0.004477821919262607	0.8072501679320072	0.006355478589459471	0.6668067806460471	0.6668277483393535
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0.001	0	0	0	7.630725929426958e-5	5.509288697920966e-4	NA	0.007609867556571722	NA	NA
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0017090366693641793	0.0026628217006726667	0.5677320478393834	0.02559562166913179	0.6304275015358904	NA
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.001	0	0	0.001	5.12206382989064e-4	0.02065010719143893	0.2968722281713905	0.6181063947462269	0.006307206119010543	0.06871671022074455
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0017653344297986172	0.047221249999885244	0.30924190434519844	0.047221249999885244	NA	0.5556897902827946
Clostridiales (OTU 115)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0026481449967750894	0.009839696386417546	0.9029485458417892	0.015437003216484472	0.6668067806460471	0.6668277483393535
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.005939333813486608	0.053394860207171	0.30924190434519844	0.08456344160304667	NA	0.5556897902827946
Porphyromonadaceae (OTU 122)	Kruskal-Wallis rank sum test	0	0	0	0	NA	NA	NA	0.04858293092335843	0.04496408960629068	0.04858293092335843
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.009774387675052922	0.009774387675052922	0.5677320478393834	0.047221249999885244	0.6304275015358904	NA
Lachnospiraceae (OTU 128)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.002106694599245563	0.12225127024548092	0.09345905754774358	0.12225127024548092	0.12225127024548092	0.6985353583033387
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.003572845621252003	0.010581153601024382	NA	0.05090760866384896	NA	NA
Lachnospiraceae (OTU 133)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0035267769364172594	0.01042112722660837	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 135)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0035267769364172594	0.01042112722660837	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 148)	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.30924190434519844	0.3593173383295708	NA	0.08801251902685608	0.010512010198350904	0.028849971225647433
Firmicutes (OTU 155)	Kruskal-Wallis rank sum test	0	0	0	0	0.032677577376399425	0.054450610542578326	NA	0.1376382551081828	NA	NA
Coriobacteriaceae (OTU 158)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0036577402435082423	0.0036577402435082423	0.3251142291427869	0.023910109429715453	0.4441069041312541	NA
