otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 16)	12.532776143074765	0.05108550754511806	6	Kruskal-Wallis rank sum test	0.004	0.001	0	5e-4	0.005	0.002	0.0035	0.1373329157935626
Ruminococcaceae (OTU 153)	12.510635080645152	0.05149984342258598	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1373329157935626
Clostridium (OTU 145)	12.021055520147229	0.06150072667470002	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1622572363332511
Lachnospiraceae (OTU 17)	11.939662420977244	0.06332847753232625	6	Kruskal-Wallis rank sum test	0.0035	0.002	0	0.001	0	0.005	0.007	0.1653206571370201
Oscillibacter (OTU 45)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Pseudoflavonifractor (OTU 69)	11.384448710916159	0.07719689236095527	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Oscillibacter (OTU 119)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Ruminococcaceae (OTU 143)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Lachnospiraceae (OTU 152)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Coriobacteriaceae (OTU 158)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Lachnospiraceae (OTU 161)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Lachnospiraceae (OTU 163)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Lachnospiraceae (OTU 211)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Bacillus (OTU 218)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Parabacteroides (OTU 245)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Parabacteroides (OTU 275)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Bacteroides (OTU 282)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Clostridium (OTU 405)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Clostridium (OTU 536)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Prevotella (OTU 608)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Porphyromonadaceae (OTU 674)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Bacteria (OTU 708)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Ruminococcaceae (OTU 710)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Ruminococcaceae (OTU 747)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
Ruminococcus (OTU 1022)	10.8000000000004	0.09475786817600061	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19747858241721136
