otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 181)	5.469298245613976	0.48517516940680483	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6759743933308292
Firmicutes (OTU 129)	5.379960317460332	0.49608217193726095	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6873093778795571
Ruminococcaceae (OTU 50)	5.262450633430839	0.5106191738470068	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7035197506336539
Lactobacillus (OTU 13)	4.786038533466501	0.5715336430553828	6	Kruskal-Wallis rank sum test	0.005	0.002	0.012	0.005	0.013	0.004	0.006999999999999999	0.7229333539719645
Blautia (OTU 19)	5.098752520161225	0.5312112860363748	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 27)	4.525598118279513	0.6059270467145083	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Clostridiales (OTU 35)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 41)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Bacteria (OTU 43)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 54)	4.281968810916158	0.6385770704023541	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Acetatifactor (OTU 55)	5.085044642857053	0.532952763122025	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Oscillibacter (OTU 57)	4.281968810916158	0.6385770704023541	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 71)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 92)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 106)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Enterorhabdus (OTU 109)	4.60484799070325	0.5953961214396006	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Olsenella (OTU 114)	4.843932748538087	0.5639802943414954	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 133)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Acetatifactor (OTU 138)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 144)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 147)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 151)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Staphylococcus (OTU 156)	3.9371527777778286	0.6851811574180404	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 157)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 160)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 164)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Clostridium (OTU 172)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Actinobacillus (OTU 202)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Corynebacterium (OTU 213)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 227)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Streptococcus (OTU 230)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Pasteurellaceae (OTU 233)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Anaerotruncus (OTU 234)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Bacteroides (OTU 237)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Streptococcus (OTU 257)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 266)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Aerococcus (OTU 281)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Roseburia (OTU 319)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Dialister (OTU 320)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Porphyromonadaceae (OTU 325)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Streptococcus (OTU 327)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Phascolarctobacterium (OTU 331)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Blautia (OTU 336)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Escherichia/Shigella (OTU 342)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Bacteroides (OTU 400)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Megasphaera (OTU 636)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Streptococcus (OTU 647)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Streptococcus (OTU 662)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Bacteroidetes (OTU 672)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Aestuariispira (OTU 749)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Porphyromonadaceae (OTU 825)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcus (OTU 1000)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Prevotella (OTU 1110)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Prevotella (OTU 1119)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Lachnospiraceae (OTU 1421)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Ruminococcaceae (OTU 2720)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Porphyromonadaceae (OTU 2752)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
Alloprevotella (OTU 2755)	3.9166666666665115	0.6879527078120307	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.7229333539719645
