genus	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Bacteroidales Unclassified	49.74710982658956	4.0776360374431287e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.013999999999999999	1.6310544149772514e-8
Unclassified	38.17747048535201	1.0299596539549327e-7	4	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0	2.0599193079098652e-6
Firmicutes Unclassified	32.233376322462206	1.714079668625269e-6	4	Kruskal-Wallis rank sum test	0.004	0	0	0	0.001	2.2854395581670256e-5
Porphyromonadaceae Unclassified	28.427615235143634	1.021550180914464e-5	4	Kruskal-Wallis rank sum test	0.351	0	0	0.075	0.4615	1.021550180914464e-4
Peptostreptococcaceae Unclassified	26.35432074945872	2.6842391993998105e-5	4	Kruskal-Wallis rank sum test	0	0	0.0115	0	0	2.1473913595198484e-4
Clostridiales Unclassified	24.703908126343077	5.769781131818922e-5	4	Kruskal-Wallis rank sum test	0.0325	0.003	0.002	0	0.018500000000000003	3.846520754545948e-4
Anaeroplasma	22.824729392173154	1.3725479150618938e-4	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	7.843130943210822e-4
Butyricicoccus	18.687577056829937	9.051568349032452e-4	4	Kruskal-Wallis rank sum test	0.001	0.001	0	0.002	0.001	0.004525784174516226
Alistipes	17.61032472939221	0.0014703521547791262	4	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.006534898465685006
Acetatifactor	16.907490266511562	0.0020146009158228183	4	Kruskal-Wallis rank sum test	0.011	0.002	0.001	0.001	0.0045000000000000005	0.008058403663291273
Oscillibacter	16.193678780201587	0.002769987817861175	4	Kruskal-Wallis rank sum test	0.008	0.001	0.001	0	0.002	0.010072682974040636
Akkermansia	15.345573726757488	0.004035614539175327	4	Kruskal-Wallis rank sum test	0.0025	0.006	0.138	0.1555	0.081	0.013452048463917756
Ruminococcaceae Unclassified	14.40602284233275	0.006105836952672855	4	Kruskal-Wallis rank sum test	0.032	0.013000000000000001	0.0135	0.008	0.0135	0.018787190623608785
Bacteroides	13.767234502473649	0.008076227486938788	4	Kruskal-Wallis rank sum test	0.241	0.576	0.47750000000000004	0.45399999999999996	0.1335	0.023074935676967966
Clostridium IV	10.100492045525979	0.038768505083666076	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.10338268022310954
Clostridium XlVa	8.658087768120348	0.07023756157840681	4	Kruskal-Wallis rank sum test	0.007	0.001	0.012	0.0035	0.0025	0.17559390394601704
Enterobacteriaceae Unclassified	8.180737943215759	0.08517744125889623	4	Kruskal-Wallis rank sum test	0.0015	0.001	0.0045000000000000005	0	0	0.20041750884446172
Bifidobacterium	7.8150692674504505	0.09859221959336041	4	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.2190938213185787
Bacteroidetes Unclassified	7.500000000000225	0.11170929281603337	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.22341858563206674
Clostridium XlVb	7.572519905579478	0.10855366179301605	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0.001	0.22341858563206674
Blautia	6.891724439218383	0.14172192807062753	4	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0.2362032134510459
Coriobacteriaceae Unclassified	6.910992210737083	0.14066730841734945	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.2362032134510459
