genus	method	WM	C	WMR	CWM	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	WMN-WM	WMN-C	WMN-WMR	WMN-CWM
Acetatifactor	Kruskal-Wallis rank sum test	0.004	0.0055	0.0015	0	5e-4	0.4658273224654711	0.4658273224654711	0.13568365772743474	0.10646506245396772	0.061506111488590844	0.19507852528816577	0.19507852528816577	0.10646506245396772	0.4116292735809699	0.5100191684333342
Bacteroides	Kruskal-Wallis rank sum test	0.41700000000000004	0.003	0.577	0.0115	0.6645	0.04951280864528085	0.35238095238095235	0.04951280864528085	0.22005772005772006	0.35238095238095235	0.13333333333333333	0.24489795918367346	0.04951280864528085	0.35238095238095235	0.04951280864528085
Butyricicoccus	Kruskal-Wallis rank sum test	0.003	0.0025	5e-4	0	5e-4	1	0.2903414853519407	0.2294892635023665	0.04810859792879568	0.02724531790919405	0.18841977366774737	0.2294892635023665	0.16873810591705507	1	0.18841977366774737
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.001	0.0455	0.0015	0.003	5e-4	0.02461017837661577	1	0.03480478332035995	0.5780810884675516	0.02461017837661577	0.7161690783509992	0.5780810884675516	0.03480478332035995	0.7161690783509992	0.4556698562328016
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0.1005	0.001	0.4215852047897471	1	0.512245087913213	0.02385910856898559	0.02385910856898559	0.4215852047897471	1	0.4215852047897471	1	0.04353948400243152
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.0025	0	0	5e-4	0.033127769984554724	NA	0.07035811623273545	NA	0.033127769984554724	NA	0.13189384156742315	0.22932167909160506	0.2168561877601887	0.13189384156742315
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.009000000000000001	0	0	0.049	0	0.024520786118274646	0.03800728305475912	0.3458634366683197	0.2943651618187655	0.033459525548688876	0.07159979280208774	0.033459525548688876	NA	0.45325470475373647	0.055310116049749995
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.175	0.3685	0	0	0	0.5627705627705628	0.10113527760594143	0.04353948400243152	0.10113527760594143	0.043369132864590806	0.7710826371805256	0.10113527760594143	0.04353948400243152	1	0.7710826371805256
Unclassified	Kruskal-Wallis rank sum test	0	0.022	0	0	0	0.01282591656513489	NA	0.01998013760384553	0.5402913746074198	0.01282591656513489	0.5402913746074198	NA	0.01998013760384553	NA	0.5402913746074198
