otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 33)	33.07125890736342	3.111109109442712e-7	3	Kruskal-Wallis rank sum test	0	0.008	0	0	6.15999603669657e-5
Lactobacillus (OTU 13)	28.137640840635314	3.398270186206898e-6	3	Kruskal-Wallis rank sum test	0	0.041	0.006	0	1.1214291614482764e-4
Blautia (OTU 19)	29.364698937426216	1.8771045608829575e-6	3	Kruskal-Wallis rank sum test	0.064	0	0	0.07	1.1214291614482764e-4
Ruminococcaceae (OTU 50)	30.359505083915217	1.1594760314637781e-6	3	Kruskal-Wallis rank sum test	0	0.003	0	0	1.1214291614482764e-4
Ruminococcaceae (OTU 54)	28.477579313716994	2.883245985161766e-6	3	Kruskal-Wallis rank sum test	0	0.004	0	0	1.1214291614482764e-4
Ruminococcaceae (OTU 92)	28.48495310432127	2.8729835041794686e-6	3	Kruskal-Wallis rank sum test	0	0.004	0	0	1.1214291614482764e-4
Lactobacillus (OTU 23)	27.02185356925241	5.8255744378444335e-6	3	Kruskal-Wallis rank sum test	0	0.011	0.003	0	1.6478053409902825e-4
Lachnospiraceae (OTU 4)	26.521357560568084	7.41710167190699e-6	3	Kruskal-Wallis rank sum test	0	0.068	0.033	0	1.83573266379698e-4
Lachnospiraceae (OTU 31)	26.068818224964403	9.226158609871401e-6	3	Kruskal-Wallis rank sum test	0	0.005	0	0	2.0297548941717084e-4
Lachnospiraceae (OTU 16)	24.097387474653544	2.3837387023366513e-5	3	Kruskal-Wallis rank sum test	0	0.008	0.001	0	3.3712875933046923e-4
Ruminococcaceae (OTU 27)	24.57732342007434	1.8923845211446068e-5	3	Kruskal-Wallis rank sum test	0	0.007	0	0	3.3712875933046923e-4
Lachnospiraceae (OTU 29)	24.174958540630197	2.296468582252422e-5	3	Kruskal-Wallis rank sum test	0	0.01	0	0	3.3712875933046923e-4
Lachnospiraceae (OTU 34)	24.168021680216818	2.3041413587140188e-5	3	Kruskal-Wallis rank sum test	0	0.004	0	0	3.3712875933046923e-4
Lachnospiraceae (OTU 85)	24.168021680216818	2.3041413587140188e-5	3	Kruskal-Wallis rank sum test	0	0.004	0	0	3.3712875933046923e-4
Lachnospiraceae (OTU 30)	23.923789847586956	2.5912046889543794e-5	3	Kruskal-Wallis rank sum test	0	0.001	0.0035	0	3.4203901894197807e-4
Ruminococcaceae (OTU 59)	23.258115888766408	3.567685134201989e-5	3	Kruskal-Wallis rank sum test	0	0.004	0	0	4.415010353574962e-4
Turicibacter (OTU 5)	22.715224441030898	4.629584094599784e-5	3	Kruskal-Wallis rank sum test	0	0.041	0.03	0	5.392103827827983e-4
Oscillibacter (OTU 45)	22.12841725792745	6.133831125263616e-5	3	Kruskal-Wallis rank sum test	0	0.011	0	0	6.747214237789978e-4
Lachnospiraceae (OTU 17)	21.432949459569414	8.55814163123334e-5	3	Kruskal-Wallis rank sum test	0	0.004	0.001	0	7.763383101761159e-4
Lachnospiraceae (OTU 20)	21.403385590393587	8.680088340409447e-5	3	Kruskal-Wallis rank sum test	0	0.005	0.0045000000000000005	0	7.763383101761159e-4
Lachnospiraceae (OTU 32)	21.504044563811803	8.271825132698763e-5	3	Kruskal-Wallis rank sum test	0	0.001	0.0055	0	7.763383101761159e-4
Lachnospiraceae (OTU 41)	21.32356004373094	9.01807127982357e-5	3	Kruskal-Wallis rank sum test	0	0.003	0	0	7.763383101761159e-4
Clostridiales (OTU 91)	21.6294212687061	7.789958436415158e-5	3	Kruskal-Wallis rank sum test	0	0	0.001	0	7.763383101761159e-4
