genus	statistic	p.value	parameter	method	WM	C	WMN	CN	p.value.adj
Acetatifactor	15.665941445071175	0.0013275671599625783	3	Kruskal-Wallis rank sum test	0	0.020999999999999998	0	0.0125	0.009612799483166283
Bacteroides	14.621280887544122	0.0021706321413601285	3	Kruskal-Wallis rank sum test	0.55	0.004	0.667	0.002	0.009612799483166283
Enterobacteriaceae Unclassified	14.86436694465504	0.0019363027754135266	3	Kruskal-Wallis rank sum test	0.021	0.004	0.089	0.002	0.009612799483166283
Lachnospiraceae Unclassified	16.25333333333333	0.0010061148640002212	3	Kruskal-Wallis rank sum test	0.1635	0.581	0.111	0.4315	0.009612799483166283
Oscillibacter	15.270963855421689	0.0015991394892970086	3	Kruskal-Wallis rank sum test	0	0.017	0	0.015	0.009612799483166283
Ruminococcaceae Unclassified	14.668225141679555	0.0021232871125772324	3	Kruskal-Wallis rank sum test	0	0.081	0	0.074	0.009612799483166283
Unclassified	15.856185567010309	0.0012136248802733355	3	Kruskal-Wallis rank sum test	0	0.001	0	0.0435	0.009612799483166283
Dorea	13.241972076788839	0.004141502417733271	3	Kruskal-Wallis rank sum test	0.001	0	0.002	0	0.016048321868716423
Butyricicoccus	12.351427712654036	0.006271342582987869	3	Kruskal-Wallis rank sum test	0	0.001	0	0.0125	0.01938405709527459
Clostridium XlVa	12.069422150882833	0.0071490937752572885	3	Kruskal-Wallis rank sum test	0	0.02	0	0.0235	0.01938405709527459
Peptostreptococcaceae Unclassified	11.965148378191875	0.007503505972364357	3	Kruskal-Wallis rank sum test	0.0195	0	0	0	0.01938405709527459
Pseudoflavonifractor	12.327544990598982	0.006341352435116521	3	Kruskal-Wallis rank sum test	0	0.004	0	0.0075	0.01938405709527459
Firmicutes Unclassified	11.195669542984971	0.010713529986625902	3	Kruskal-Wallis rank sum test	0	0.002	0	0.0015	0.02554764842964638
Erysipelotrichaceae Unclassified	10.536933016877635	0.01451244083743819	3	Kruskal-Wallis rank sum test	0.003	0.001	0.003	5e-4	0.029992377730705594
Turicibacter	10.560103300579499	0.014358675843039563	3	Kruskal-Wallis rank sum test	0.011	0.002	0.053	0.0155	0.029992377730705594
Clostridium IV	10.18778418187639	0.017035527650578686	3	Kruskal-Wallis rank sum test	0	0.002	0	0.0035	0.031064785715761132
Lactobacillus	10.232623033992896	0.016688813604064972	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0.021	0.007	0.015	0.031064785715761132
Clostridium XlVb	8.655031706644607	0.03424706756403338	3	Kruskal-Wallis rank sum test	0	0.028	0	0.015000000000000001	0.05898106080472416
Blautia	5.66666666666667	0.12900306143743617	3	Kruskal-Wallis rank sum test	0	0	0	0	0.21047867918739585
Anaerotruncus	4.925925925925909	0.17730226583430916	3	Kruskal-Wallis rank sum test	0	0	0	0	0.27249007862471447
Bifidobacterium	4.8311111111111105	0.18459005326190334	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.27249007862471447
Enterorhabdus	3.4940740740740766	0.3215315072161613	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.45306712380459097
Porphyromonadaceae Unclassified	3.183232246651511	0.36422795256193735	3	Kruskal-Wallis rank sum test	0.0015	0.006	0.005	0.0035	0.4735707044305605
Streptococcus	3.1666666666666554	0.36663538407527263	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4735707044305605
Ruminococcus	3.0000000000000133	0.39162517627108745	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4856152185761484
Clostridiales Unclassified	2.6061883067577907	0.4564056894978761	3	Kruskal-Wallis rank sum test	0.008	0.007	0.004	0.0045000000000000005	0.5441760144013138
