genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	p.value.adj
Ruminococcaceae Unclassified	55.26791856344979	4.0924760654251487e-10	6	Kruskal-Wallis rank sum test	0	0.0185	0.008	0	0.006	0.012	0	2.0462380327125742e-8
Bifidobacterium	45.595714200702396	3.5631027120583546e-8	6	Kruskal-Wallis rank sum test	0	0.006	0	0.011	0.0055	0.017	0	8.907756780145886e-7
Enterobacteriaceae Unclassified	43.07053246344235	1.1295421503447204e-7	6	Kruskal-Wallis rank sum test	0.166	0.0685	0.001	0.2635	0.0465	0.112	0.505	1.882570250574534e-6
Butyricicoccus	34.132493869804186	6.342457799913013e-6	6	Kruskal-Wallis rank sum test	0	0.0015	0.002	0	0.001	0	0	6.342457799913013e-5
Lachnospiraceae Unclassified	34.542239502756736	5.285028257371236e-6	6	Kruskal-Wallis rank sum test	0.026500000000000003	0.11199999999999999	0.137	0.014499999999999999	0.0625	0.237	0.003	6.342457799913013e-5
Clostridium XlVa	33.378694449446016	8.865187118110253e-6	6	Kruskal-Wallis rank sum test	0	0.004	0	0	0.002	0.001	0	7.387655931758545e-5
Clostridium XlVb	32.82989009151648	1.1306385828712729e-5	6	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0.003	0	8.07598987765195e-5
Peptostreptococcaceae Unclassified	30.863363351263953	2.6918159225013473e-5	6	Kruskal-Wallis rank sum test	0.0045000000000000005	0.004	0	0.028499999999999998	0.001	0.001	0	1.682384951563342e-4
Pseudoflavonifractor	26.467368402399757	1.821490827994161e-4	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.001011939348885645
Akkermansia	25.365824582256963	2.92093417812745e-4	6	Kruskal-Wallis rank sum test	0.006500000000000001	0.1995	0.075	0.05650000000000001	0.325	0.429	0.001	0.0014604670890637252
Turicibacter	24.89103031569057	3.5768607441267363e-4	6	Kruskal-Wallis rank sum test	0.009	0.0055	0.024	0.035500000000000004	0.0195	0.001	0	0.0016258457927848804
Alistipes	24.027185051235744	5.162788737081489e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.002151161973783954
Erysipelotrichaceae Unclassified	23.51078063917494	6.422697799984202e-4	6	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.0024702683846093087
Bacteroides	23.16873169688959	7.418912195533298e-4	6	Kruskal-Wallis rank sum test	0.6080000000000001	0.0055	0.55	0.492	0.4215	0.001	0.456	0.0026496114984047494
Oscillibacter	22.861092072934177	8.443624742636833e-4	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.0028145415808789446
Clostridiales Unclassified	21.07787265483912	0.001776434683798569	6	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0	0	0	0.005551358386870528
Lactobacillus	18.29276236505929	0.0055407385366522	6	Kruskal-Wallis rank sum test	0.015500000000000002	0.048	0.026	0.0295	0.0275	0.096	0.013000000000000001	0.016296289813682942
Porphyromonadaceae Unclassified	16.824928641912337	0.009948656726286741	6	Kruskal-Wallis rank sum test	0	0.0215	0.001	0	0	0.047	0.003	0.027635157573018723
Blautia	16.364441092754532	0.011925946917026259	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	0.018	0.03138407083427963
Bacteroidales Unclassified	15.600000000000598	0.01606980587558352	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03826144256091314
Dorea	15.60601748569304	0.016032346410317908	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03826144256091314
Anaerostipes	15.150793650793732	0.019115751822398892	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0426122779320389
Clostridium IV	15.085552066164851	0.019601647848737896	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.0426122779320389
Acetatifactor	13.570120462291793	0.03482466883854721	6	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.07255139341364002
Firmicutes Unclassified	10.578951631398242	0.1022942180548878	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19733111347120944
Unclassified	10.569952698537808	0.1026121790050289	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.19733111347120944
Olsenella	7.59015370806956	0.2696927767959489	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.4994310681406461
Coriobacteriaceae Unclassified	7.237287930002701	0.29945945493411463	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.5347490266680619
Clostridium sensu stricto	6.346585206744386	0.3855055156486653	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6505281846050034
Veillonella	6.301124575354876	0.390316910763002	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6505281846050034
Alloprevotella	5.916666666666518	0.4325896737759515	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Anaeroplasma	4.976626016260237	0.5468144962990692	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Brucellaceae Unclassified	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Enterococcus	5.193583638583621	0.5192352704832579	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Enterorhabdus	6.040571862629139	0.4186605847595158	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002	0	0.6583411355722028
Eubacterium	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Faecalibacterium	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Lactobacillaceae Unclassified	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Lactobacillales Unclassified	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Pasteurellaceae Unclassified	4.976626016260237	0.5468144962990692	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Staphylococcus	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Terrisporobacter	4.928571428572697	0.5530065538806503	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6583411355722028
Streptococcus	4.7954946288280045	0.5702974109781679	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.6631365243932185
Prevotella	3.6844748187343233	0.7192860519655042	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.817370513597164
Bilophila	2.458333333333372	0.873101374468004	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Escherichia/Shigella	2.726704879482741	0.8422829590188894	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Parabacteroides	2.696864111498143	0.8458175597702567	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Pseudomonas	2.458333333333372	0.873101374468004	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Roseburia	2.458333333333372	0.873101374468004	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Sutterella	2.696864111498143	0.8458175597702567	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.873101374468004
Acetitomaculum	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Actinobacillus	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Actinomyces	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Aerococcus	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Aestuariispira	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NaN
