genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.011	0.0035	0.0015	0	0.0493172913570665	0.00847304464612882	0.1871773345796044	0.011991003673503284	0.06308748546605797	0.2693513402181805
Akkermansia	Kruskal-Wallis rank sum test	0.005	0.167	0.0715	0.049	0.006765593749470613	0.006765593749470613	0.06223753363341465	0.03668390433096316	0.03668390433096316	0.43708252531781944
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.017499999999999998	NA	NA	NA	7.800425598315561e-4	1.1228616169026781e-4	1.1228616169026781e-4
Bacteroides	Kruskal-Wallis rank sum test	0.2415	0.4765	0.584	0.27849999999999997	0.14385945510237075	0.04609083768176919	0.14385945510237075	0.7466165820041419	0.33743875491411673	0.07336780866192633
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0145	0	5e-4	0.0015	0.007104528687678317	0.0012685104104088172	0.9180034203725403	0.008496854739794498	0.9180034203725403	0.7652495595462088
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.005	0	0	0	1.741997114652995e-4	1.741997114652995e-4	0.3593173383295708	0.07287439638503765	0.07287439638503765	0.23271702273889278
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.246	0.238	0.1005	0.066	0.7344923394458999	0.03172183853298405	0.17025349129266212	0.014169880810153062	0.03172183853298405	0.289464255634627
Oscillibacter	Kruskal-Wallis rank sum test	0.0055	0	0	5e-4	0.026873528853735437	3.565439382706669e-4	0.06343318444524544	0.026873528853735437	1	0.06343318444524544
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.28700000000000003	5e-4	0.0725	0.5075000000000001	0.001149918965898706	0.026198098648721482	0.10671662944540058	0.006993006993006993	0.001560359070713453	0.001560359070713453
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.030000000000000002	0.0125	0.004	0.002	0.07345571812535043	0.008730747238420994	0.18670270517065793	0.008730747238420994	0.0688648147463287	0.2568392579578566
Unclassified	Kruskal-Wallis rank sum test	0.0095	0	0	0.002	8.82284873706433e-5	8.82284873706433e-5	NA	0.027324568069615637	0.014552344839514519	0.014552344839514519
