otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 163)	7.026785714285672	0.0710489033928967	3	Kruskal-Wallis rank sum test	0	0	0	0	0.19166680915293063
Clostridiales (OTU 141)	6.928030303030336	0.07422741422495054	3	Kruskal-Wallis rank sum test	0	0	0	0	0.19793977126653475
Lachnospiraceae (OTU 42)	6.8871733966746	0.07558222211503826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.19926222193964632
Porphyromonadaceae (OTU 7)	6.800973618090469	0.07851936411261148	3	Kruskal-Wallis rank sum test	0	0.002	0.0925	0.001	0.20467969072051534
Dorea (OTU 134)	6.734482758620723	0.08085989089931618	3	Kruskal-Wallis rank sum test	0	0	0	0	0.20614829328177312
Firmicutes (OTU 198)	6.750000000000034	0.08030772655502523	3	Kruskal-Wallis rank sum test	0	0	0	0	0.20614829328177312
Lachnospiraceae (OTU 102)	6.6339126559714865	0.08452831512806831	3	Kruskal-Wallis rank sum test	0	0	0	0	0.21086633451303063
Ruminococcaceae (OTU 106)	6.6339126559714865	0.08452831512806831	3	Kruskal-Wallis rank sum test	0	0	0	0	0.21086633451303063
Lachnospiraceae (OTU 140)	5.941666666666668	0.11448301691276186	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Lachnospiraceae (OTU 152)	5.948275862068964	0.11415401414180974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Acetatifactor (OTU 165)	5.948275862068964	0.11415401414180974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Bacteroides (OTU 178)	5.948275862068964	0.11415401414180974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Lachnospiraceae (OTU 193)	5.948275862068964	0.11415401414180974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Coriobacteriaceae (OTU 204)	5.948275862068964	0.11415401414180974	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Bacteroides (OTU 296)	5.941666666666668	0.11448301691276186	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2656005992376075
Porphyromonadaceae (OTU 21)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 41)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Porphyromonadaceae (OTU 44)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Ruminococcus (OTU 93)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 94)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Ruminococcaceae (OTU 101)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 117)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridium (OTU 126)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Firmicutes (OTU 129)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 135)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Acetatifactor (OTU 138)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridium (OTU 145)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Ruminococcaceae (OTU 147)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridiales (OTU 154)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Firmicutes (OTU 155)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Coriobacteriaceae (OTU 158)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 160)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Lachnospiraceae (OTU 164)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
Clostridium (OTU 172)	5.200000000000121	0.15772445039665473	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26709541964980943
