genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Unclassified	33.235332725676535	6.067910920155428e-8	2	Kruskal-Wallis rank sum test	0	0.019	0	4.732970517721233e-6
Clostridiales Unclassified	28.373550271172327	6.89861395523595e-7	2	Kruskal-Wallis rank sum test	0.003	0.032	0.002	2.6904594425420204e-5
Firmicutes Unclassified	22.910783759518495	1.0592208442128845e-5	2	Kruskal-Wallis rank sum test	0	0.003	0	2.7539741949535e-4
Anaeroplasma	19.117647058823547	7.057578016950594e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0013762277133053658
Porphyromonadaceae Unclassified	16.70154580350659	2.362138777358222e-4	2	Kruskal-Wallis rank sum test	0.12	0.188	0.001	0.0036849364926788263
Clostridium XlVb	15.883802391593223	3.5552990340222617e-4	2	Kruskal-Wallis rank sum test	0	0.004	0.001	0.00462188874422894
Bacteroides	15.496826792943429	4.3142650065360576e-4	2	Kruskal-Wallis rank sum test	0.182	0.074	0.247	0.0048073238644258925
Ruminococcaceae Unclassified	13.76110822172142	0.001027574497203855	2	Kruskal-Wallis rank sum test	0.037	0.07	0.02	0.010018851347737586
Butyricicoccus	11.235892703166739	0.003632092496085884	2	Kruskal-Wallis rank sum test	0.005	0.001	0.001	0.03147813496607766
Turicibacter	8.951024874559632	0.01138438684530638	2	Kruskal-Wallis rank sum test	0.012	0.026	0.021	0.08879821739338976
Acetatifactor	7.8447062382659976	0.019794461173399877	2	Kruskal-Wallis rank sum test	0.014	0.025	0.026	0.1401611026575349
Enterorhabdus	7.6735299231847085	0.021563246562697674	2	Kruskal-Wallis rank sum test	0	0	0.001	0.1401611026575349
Peptostreptococcaceae Unclassified	5.774889418386086	0.05571840759404859	2	Kruskal-Wallis rank sum test	0.003	0	0.001	0.32060326551377866
Pseudoflavonifractor	5.710404700600787	0.05754417586144745	2	Kruskal-Wallis rank sum test	0.007	0.003	0.003	0.32060326551377866
