effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	3	13.561013891613351	4.520337963871117	66.63158145271183	0.32901400351771254	9.99000999000999e-4
day	3	4.347060407811933	1.449020135937311	21.359133760795796	0.10546731680527675	9.99000999000999e-4
group:sample_type	8	1.9793163718889915	0.24741454648612393	3.6469889283804795	0.048021689893415105	9.99000999000999e-4
group:exp_num	5	4.110285182698721	0.8220570365397443	12.11744803746152	0.09972273418255094	9.99000999000999e-4
group:unique_cage_no	18	8.75543451294756	0.4864130284970866	7.169921715368437	0.2124222115444879	9.99000999000999e-4
group:ext_plate	3	0.2107197614527152	0.0702399204842384	1.035364395402311	0.005112431333672725	0.18981018981018982
group:sample_type:exp_num	16	1.4077061754416391	0.08798163596510244	1.2968843458180663	0.034153423059694224	0.04695304695304695
group:sample_type:unique_cage_no	34	1.6725399922254454	0.0491923527125131	0.7251148659263834	0.040578756373511084	0.6903096903096904
group:sample_type:ext_plate	3	0.15283938042500012	0.050946460141666705	0.7509711078659491	0.0037081516803028247	0.8201798201798202
Residuals	74	5.0202171708	0.06784077257837837	NA	0.12179928160937582	NA
Total	167	41.21713284730536	NA	NA	1	NA
