genus	statistic	p.value	method	-15	-10	-5	1	p.value.adj
Porphyromonadaceae Unclassified	72.75630317002714	1.0962146066845851e-15	Kruskal-Wallis rank sum test	0.578	0	0.49	0	8.331231010802847e-14
Bacteroidales Unclassified	68.44273920460459	9.19736849557792e-15	Kruskal-Wallis rank sum test	0.02	0	0.018	0	3.49500002831961e-13
Clostridiales Unclassified	61.44030114379539	2.8938659514751356e-13	Kruskal-Wallis rank sum test	0.022	0	0.028	0	7.331127077070343e-12
Unclassified	59.98654692280167	5.917261753513848e-13	Kruskal-Wallis rank sum test	0.01	0	0.01	0	1.1242797331676312e-11
Enterobacteriaceae Unclassified	56.35585315188659	3.5269757676388115e-12	Kruskal-Wallis rank sum test	0.002	0.305	0.001	0.247	5.361003166810993e-11
Alistipes	51.80451656625107	3.296621601484457e-11	Kruskal-Wallis rank sum test	0.093	0	0.071	0	4.175720695213645e-10
Peptostreptococcaceae Unclassified	49.87695499720837	8.486063011806266e-11	Kruskal-Wallis rank sum test	0	0	0	0.016	9.21343984138966e-10
Ruminococcus	47.93134125623112	2.2023391756651602e-10	Kruskal-Wallis rank sum test	0.002	0	0.004	0	2.092222216881902e-9
Acetatifactor	44.51825065874964	1.1712239512341628e-9	Kruskal-Wallis rank sum test	0.001	0	0.003	0	9.890335588199598e-9
Ruminococcaceae Unclassified	42.238345081141624	3.571025004569601e-9	Kruskal-Wallis rank sum test	0.009000000000000001	0	0.011	0	2.713979003472897e-8
Oscillibacter	37.111571915468964	4.357943933031877e-8	Kruskal-Wallis rank sum test	0.002	0	0.002	0	3.010943081003842e-7
Firmicutes Unclassified	32.25719334540648	4.6193371129121286e-7	Kruskal-Wallis rank sum test	0.002	0	0.001	0	2.9255801715110147e-6
Clostridium XlVa	25.375265424297464	1.2887781316218469e-5	Kruskal-Wallis rank sum test	0.002	0	0.001	0	7.534395231020027e-5
Anaeroplasma	24.887100477406026	1.6302903034365236e-5	Kruskal-Wallis rank sum test	0	0	0	0	8.850147361512556e-5
Clostridium XlVb	21.215371650168855	9.497154608465621e-5	Kruskal-Wallis rank sum test	0.001	0	0	0	4.811891668289248e-4
Enterorhabdus	12.371286248615263	0.0062137114326013924	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0.02648670735353755
Lachnospiraceae Unclassified	12.52318992764658	0.00578985538360413	Kruskal-Wallis rank sum test	0.077	0.074	0.085	0.025	0.02648670735353755
Turicibacter	12.350801822860236	0.006273167531100999	Kruskal-Wallis rank sum test	0.044	0.0205	0.05	0.024	0.02648670735353755
Staphylococcus	10.914475446990815	0.012197443500278527	Kruskal-Wallis rank sum test	0	0	0	0	0.04878977400111411
Akkermansia	10.504096977450478	0.014733130726066067	Kruskal-Wallis rank sum test	0.002	0	0.011	0.001	0.05598589675905105
Pseudoflavonifractor	10.05737621277139	0.01808466036682403	Kruskal-Wallis rank sum test	0	0	0	0	0.06544924704183934
