otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Bacteria (OTU 43)	45.7597896516105	6.37921971723262e-10	3	Kruskal-Wallis rank sum test	0.005	0	0	0	8.803323209781015e-8
Porphyromonadaceae (OTU 44)	46.72957422324507	3.9678036460382874e-10	3	Kruskal-Wallis rank sum test	0	0	0.0085	0	8.803323209781015e-8
Porphyromonadaceae (OTU 14)	41.148703170028824	6.081136064277352e-9	3	Kruskal-Wallis rank sum test	0	0	0.042	0	4.2829608159054186e-7
Ruminococcaceae (OTU 27)	41.10669473684211	6.2071895882687225e-9	3	Kruskal-Wallis rank sum test	0.0135	0	0	0	4.2829608159054186e-7
Porphyromonadaceae (OTU 21)	38.10810810810814	2.6813686679215296e-8	3	Kruskal-Wallis rank sum test	0	0	0.006500000000000001	0	1.0572253604947745e-6
Oscillibacter (OTU 57)	38.734776168531944	1.9753667188682147e-8	3	Kruskal-Wallis rank sum test	0.006	0	0	0	1.0572253604947745e-6
Porphyromonadaceae (OTU 87)	38.11546630623675	2.6717671036576622e-8	3	Kruskal-Wallis rank sum test	0	0	0.004	0	1.0572253604947745e-6
Oscillibacter (OTU 45)	37.476464033559914	3.648087564076059e-8	3	Kruskal-Wallis rank sum test	0.005	0	0	0	1.2585902096062404e-6
Ruminococcaceae (OTU 54)	35.02856669691941	1.2014368541811284e-7	3	Kruskal-Wallis rank sum test	0.0055	0	0	0	3.6844063528221272e-06
Clostridiales (OTU 35)	33.42777916875312	2.616359548197922e-7	3	Kruskal-Wallis rank sum test	0.004	0	0	0	7.2211523530262655e-6
Lachnospiraceae (OTU 11)	33.062787784398694	3.1239364321679955e-7	3	Kruskal-Wallis rank sum test	0.039	0	0	0.001	7.838240502530607e-6
Ruminococcaceae (OTU 98)	32.12281729755068	4.930650748284168e-7	3	Kruskal-Wallis rank sum test	0.001	0	0	0	1.1340496721053586e-5
Porphyromonadaceae (OTU 40)	29.838450637694876	1.4923682894610158e-6	3	Kruskal-Wallis rank sum test	0	0	0.0065	0	2.745957652608269e-5
Porphyromonadaceae (OTU 48)	29.838450637694876	1.4923682894610158e-6	3	Kruskal-Wallis rank sum test	0	0	0.0045000000000000005	0	2.745957652608269e-5
Porphyromonadaceae (OTU 80)	29.838450637694876	1.4923682894610158e-6	3	Kruskal-Wallis rank sum test	0	0	0.0015	0	2.745957652608269e-5
Lachnospiraceae (OTU 24)	29.128722064332784	2.1042007756943862e-6	3	Kruskal-Wallis rank sum test	0.011	5e-4	0	0	3.6297463380728165e-5
Acetatifactor (OTU 55)	28.026923975814615	3.5850807089873326e-6	3	Kruskal-Wallis rank sum test	0.0075	0	0	0	5.6489433228682726e-5
Lachnospiraceae (OTU 84)	27.970554048818286	3.68409347143583e-6	3	Kruskal-Wallis rank sum test	0.001	0	0	0	5.6489433228682726e-5
Lachnospiraceae (OTU 71)	27.678661734896412	4.242136382992359e-6	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	6.162261272136269e-5
