otu	method	WM	C	WMR	CWM	RM	1RM1	WMN	CN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-1RM1	CN-WM	CN-C	CN-WMR	CN-CWM	CN-RM	CN-1RM1	CN-WMN
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.56	0.002	0.438	0.426	0.475	0.133	0.7155	0.003	2.722505404701434e-4	0.22308706838021128	0.008740644540507317	0.3794413168163822	0.046407918152115285	0.6694939850715247	0.8252631578947369	0.3271322738818284	1	0.9613422784772817	0.08803827751196172	0.666041049615541	0.025641025641025644	0.8627306708116654	0.655559263812273	0.010717703349282294	0.010717703349282294	0.010717703349282294	0.08283356756421394	0.5925494194432921	0.13333333333333333	0.046407918152115285	0.3857472909112211	0.1685223935144892	0.5925494194432921	0.6230122062454305	0.655559263812273	0.046407918152115285
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.1325	0.014	0.001	0.21	0.137	0	0.061	0.009999999999999998	5.880887608198173e-6	0.01111319793948004	0.14560815291081253	0.12843887631489115	3.1333829207867973e-6	0.001857437658287745	1	0.17020350505134146	0.44931381057578634	0.44931381057578634	0.024007866683595253	0.048780905074048635	0.44931381057578634	0.024007866683595253	0.44931381057578634	0.029090909090909087	0.07944405728493084	0.19072655759800652	0.017305959414302272	0.44931381057578634	0.09949198144300601	1.386866375424728e-4	0.45404714552214837	0.44931381057578634	0.002278016883719705	0.39999999999999997	0.14560815291081253	0.08205128205128205
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0.031	0.027	0	0	0.017	0	0.0695	8.178754727443594e-5	0.0018150257168455172	0.902758299167781	0.9326468013966925	7.375397004421353e-4	0.013063071555526136	0.902758299167781	0.24883903676144303	0.40063504475261125	0.902758299167781	0.013063071555526136	0.417467079486817	0.417467079486817	0.07191934285467316	0.6666666666666666	0.9326468013966925	0.016735876513994604	0.07191934285467316	0.9326468013966925	1	0.10172550473292989	7.375397004421353e-4	0.19774979000536413	0.22223084850485925	0.0018150257168455172	0.417467079486817	0.19774979000536413	0.04063685173560275
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.016	0.011	0.025	0.0275	0.049	0.007	0.069	0.0935	0.6630558594429101	0.4178538137811242	0.1707353494700472	0.2321292804620703	0.0426785860292616	0.96411447829246	0.38387253875032784	0.38387253875032784	0.8959999999999999	0.7886122805313078	0.6291019018239856	0.96411447829246	0.2321292804620703	0.0752670908923196	0.6630558594429101	0.07407407407407407	0.0426785860292616	0.1350908028022459	0.07407407407407407	0.8959999999999999	0.1350908028022459	0.0426785860292616	0.024284066800993917	0.07407407407407407	0.0426785860292616	0.9230769230769231	0.07407407407407407	0.519298245614035
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.227	0	0	0.8854284329317443	0.8956773003346148	0.7073890216361025	0.9306855302601409	0.7073890216361025	0.9306855302601409	0.19205659757194882	0.27841570747097755	0.15459970717954905	0.12764481907855504	0.005643336696350358	0.005072896525352177	0.01264102442287759	0.005072896525352177	0.7073890216361025	0.7073890216361025	0.7073890216361025	0.7595894064241402	0.7073890216361025	0.3401093882778229	0.12764481907855504	0.6149592578662494	0.7073890216361025	0.4869535304300064	0.4631468089950136	0.7073890216361025	0.12258130147517039	0.5737373026507367
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.058	0.0015	0.003	0.4165147817154877	0.07781306324688529	0.268261526015873	0.3389263783532375	0.07781306324688529	0.012748368592897637	0.8640399924971591	0.7331641273892071	0.608370587013645	NA	0.0024652778409542963	0.05946384769545477	0.608370587013645	1.6474932655348491e-4	0.608370587013645	0.12251224020821701	0.5673948735491164	0.8637745895692365	0.012748368592897637	0.7480434067653171	0.5586838049720544	5.289149725079202e-4	0.012819888030062248	0.47112905808440586	7.302478149198855e-5	0.3915774368720614	0.608370587013645	0.5215797596221192
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.02	0	0	0.009753041586376824	0.7333333333333333	0.026882416514345066	1	0.009753041586376824	0.7333333333333333	1	0.7333333333333333	NA	1	0.0011286026613979863	0.48035152256585595	0.003868045297626217	0.0011286026613979863	0.7333333333333333	0.8379378640157257	0.21178261789995115	NA	0.8379378640157257	NA	0.0877558131165066	0.8158473549287995	0.10526015817009386	NA	0.8158473549287995	NA	0.028649617079311823	NA
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.0135	0.017	0.002	0.004	0.006	0.004	0.005	0.018500000000000003	0.4966141334840453	0.05951295662721926	0.041446038298744714	0.0014193954440960086	5.274894121004454e-4	1	0.5168670477985069	0.3867664232549558	1	1	0.34551606786760986	0.34551606786760986	1	1	1	0.05394887924541652	0.05287448290806965	1	1	1	1	0.34551606786760986	0.8783642320979406	0.05394887924541652	0.004052058937300247	0.3867664232549558	0.34551606786760986	0.05394887924541652
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.128	0	0	0.5147765040833149	0.9033449844338293	0.8697777437455383	1	0.5147765040833149	0.9033449844338293	1	0.9033449844338293	1	1	0.0012825030243158934	0.01799095476992872	0.0150488385986638	0.0012825030243158934	0.9033449844338293	0.9033449844338293	0.8697777437455383	0.9033449844338293	0.9033449844338293	NA	0.13296335320682817	0.9033449844338293	0.7158027653849547	0.9033449844338293	0.9033449844338293	NA	0.04557893626254154	NA
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0.002	0.009	0	0	0.005	0	0.012	3.7600746615979694e-4	6.480865901239185e-4	1	1	3.7600746615979694e-4	6.480865901239185e-4	1	0.4444444444444444	0.44509423089861827	1	0.017561183993844806	0.7915401682260975	0.5741971455071511	0.017561183993844806	0.7915401682260975	0.4444444444444444	0.24666715253478103	0.22292424408831757	0.4444444444444444	1	0.4444444444444444	1.2578385025375835e-4	0.4444444444444444	0.47389896205896315	1.2578385025375835e-4	0.4444444444444444	0.4444444444444444	0.04063685173560275
