otu	method	WM	C	WMR	CWM	RM	FRM	WMC	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.6080000000000001	0.005	0.55	0.492	0.4215	0.001	0.454	0.011493163149968783	0.6617683482061556	0.011493163149968783	0.1384484564362723	0.4115091673518637	0.3859449643716966	0.1384484564362723	0.5729624437141672	0.32412440159509803	0.8498337206178548	0.011493163149968783	0.0966629799023164	0.011493163149968783	0.0966629799023164	0.0966629799023164	0.6617683482061556	0.24836318720017134	0.7692307692307693	0.8498337206178548	0.7924781640268941	0.0966629799023164
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.166	0.0685	0	0.2635	0.0465	0.112	0.505	0.006716639472916081	0.0064440780042148505	0.007702197729844392	0.16931990600341185	2.9666311086671514e-6	0.002136153362591279	0.005743589743589744	0.289143276208732	0.020826515576773938	4.2401399919235434e-4	0.4439284485724114	0.24555819256363726	0.081854897447694	0.016870193838851546	0.11447963800904977	0.18186274509803924	0.005743589743589744	0.018005166247440935	0.1582720588235294	0.018005166247440935	0.05769230769230769
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.0055	0.1995	0.075	0.0565	0.3245	0.429	0.001	0.023076923076923078	0.3289782669014536	0.10851726395289411	0.7458880556650549	0.04872631982286076	0.8672367291339993	0.023076923076923078	0.7458880556650549	0.031107248705327908	0.023076923076923078	0.031107248705327908	0.458029031176549	0.07881055149642346	0.07646601652831997	0.9592760180995477	0.27271404869758276	0.04872631982286076	0.10648657966512487	0.3289782669014536	0.023076923076923078	0.07646601652831997
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0.0385	0.033	0	0.0145	0.044	0	9.437538071394684e-5	0.0015493405166484065	0.6426239585936071	0.7400507903754301	1.5786502027779844e-4	0.002159109331773184	1.3515705342196486e-4	0.237821832381749	0.46682003214770884	4.040160436247574e-4	0.0015493405166484065	0.4772672788383298	0.2973113672097328	0.002159109331773184	0.0788718237267224	0.7986836972803386	0.034833581643343804	0.09507364741394188	0.6426239585936071	0.032587751981028916	0.06828833880748245
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.009	0.0055	0.024	0.035500000000000004	0.0195	0.001	0	0.6371287402547305	0.10439458880829244	0.05125433693562694	0.05125433693562694	0.016873124894632427	0.33758673565860686	0.37419201945698033	0.11157863024899448	0.37419201945698033	0.11157863024899448	0.19028917357565847	0.321782538026293	0.10439458880829244	0.05125433693562694	0.10439458880829244	0.129307134697431	0.129307134697431	0.11157863024899448	0.05125433693562694	0.10439458880829244	0.37419201945698033
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.004	0	0.12066956023483626	0.9423488910623256	0.13512076713892612	1	0.12066956023483626	0.9423488910623256	0.8699461218393749	0.12066956023483626	0.8699461218393749	0.8699461218393749	0.12066956023483626	0.8699461218393749	0.1405681698989599	0.1405681698989599	0.12066956023483626	0.8699461218393749	0.3219423196355508	0.8699461218393749	0.8699461218393749	0.8699461218393749	0.36090041203187856
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.009000000000000001	0.024	0.004	0.005	0.008	0.053	0.004	0.15109197010518824	0.11080509381148469	0.024535776005151607	0.3468056096343608	0.056015818366542104	0.49762466514132786	0.7341968431919789	0.16287840429093983	0.1647088670207668	0.49439138679840566	0.024535776005151607	0.16287840429093983	0.024535776005151607	0.024535776005151607	0.02989887222990113	0.5089035732580212	0.16287840429093983	0.5819439572877886	1	0.5819439572877886	0.10731024669747241
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0.0035	0.007	0	0.0035	0.051	0	0.0022515454499445033	0.0060773110861213646	0.9268186222078465	0.4197160048248856	0.0040551651263262935	0.012771945269396283	0.0023837978364383387	0.4762943512971849	0.4197160048248856	0.004372216220211254	7.560111618802801e-4	0.010719749394638156	0.008984138219549504	0.0010821513888380188	0.004916098510981121	NA	0.11325202197619436	0.1903304997755783	0.7974954986141015	0.11325202197619436	0.0541222005434494
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.0045000000000000005	0.004	0	0.028499999999999998	0.001	0.001	0	0.9990892411575635	0.0037715495427211006	0.0037715495427211006	0.01816052540365579	0.01954550122024757	0.0037715495427211006	0.2407278692588524	0.20211644441790225	0.07027851190622458	0.01954550122024757	0.129427171197192	0.13637396942192587	0.2109487675939322	0.04106426489276084	0.8226405325519716	0.29928567508979687	0.29928567508979687	0.8102357270637216	0.08482314606311248	0.6180019558455705	1
Alistipes (OTU 18)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.39294091283015015	0.5254311687924109	NA	0.52375670382798	NA	NA	1	0.37569818061614124	0.52375670382798	0.52375670382798	0.6777697732457586	NA	NA	NA	0.6777697732457586	0.11293519953882022	9.73564519480766e-4	0.03567557513529431	0.017593402346750962	0.11293519953882022	0.1898174074563941
