otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Clostridiales (OTU 179)	9.94827083646739	0.0413081265022101	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 184)	9.80968858131485	0.043758420749584304	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Ruminococcaceae (OTU 219)	9.80968858131485	0.043758420749584304	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 222)	9.805626598465444	0.04383230258017478	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Bacteria (OTU 223)	9.80968858131485	0.043758420749584304	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Oscillibacter (OTU 236)	9.805626598465444	0.04383230258017478	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Acetatifactor (OTU 247)	9.805626598465444	0.04383230258017478	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Dialister (OTU 320)	9.80427335162602	0.0438569428002545	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.15926995016934528
Lachnospiraceae (OTU 162)	9.591674253509847	0.047897249225097034	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.17243009721034933
Lachnospiraceae (OTU 74)	9.559426749260378	0.04854037843600657	4	Kruskal-Wallis rank sum test	0.008	0.004	0.004	0.004	0.0045000000000000005	0.1732389368319545
Lactobacillus (OTU 9)	9.436960243453385	0.0510588155514826	4	Kruskal-Wallis rank sum test	0.003	0.002	0.003	0.001	0.001	0.18066965502832305
Lachnospiraceae (OTU 244)	9.262322984749256	0.054866859361935576	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1924989811511977
Lachnospiraceae (OTU 75)	9.193083267916371	0.05645040621750961	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.19638626057262606
Lachnospiraceae (OTU 193)	9.172754068947897	0.05692355378916697	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.19638626057262606
Lachnospiraceae (OTU 24)	8.997926313258086	0.061151334167535466	4	Kruskal-Wallis rank sum test	0.013	0.013	0.02	0.001	0.023	0.20751354381442363
Lachnospiraceae (OTU 181)	9.005791861165886	0.060954874913397517	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.20751354381442363
Lachnospiraceae (OTU 174)	8.890985273264185	0.06388284568375698	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21502030986240153
Lachnospiraceae (OTU 32)	8.810545757965235	0.0660133725709737	4	Kruskal-Wallis rank sum test	0.008	0.004	0.006	0	0.011	0.2203994858417993
Lachnospiraceae (OTU 11)	8.744489240196785	0.06781317330719354	4	Kruskal-Wallis rank sum test	0.065	0.034	0.027	0.002	0.07100000000000001	0.224597229993425
Olsenella (OTU 114)	8.493635357368703	0.0750803847825958	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.24669269285710047
Lachnospiraceae (OTU 103)	8.426932581059972	0.07713321082896912	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.25144212034010405
Blautia (OTU 19)	8.406783862970437	0.07776364662491062	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.25151679455244524
Lachnospiraceae (OTU 189)	8.187490850534353	0.08494663651352394	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.27261943811316985
Lachnospiraceae (OTU 146)	7.997047658276176	0.09168640237996746	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.291985927579281
Bacteria (OTU 310)	7.90123254226617	0.09526391341132273	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.30106305459761534
Lachnospiraceae (OTU 16)	7.7706762405744625	0.1003491553152605	4	Kruskal-Wallis rank sum test	0.004	0.008	0.016	0.0075	0.0035	0.31013421477153247
Lachnospiraceae (OTU 149)	7.7698631535948675	0.10038160574730762	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31013421477153247
Prevotella (OTU 191)	7.781940537535427	0.09990060213259691	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31013421477153247
Enterorhabdus (OTU 109)	7.5700183541099735	0.10866111959349672	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.3332274334200566
Porphyromonadaceae (OTU 122)	7.3278522792083995	0.11954426868556357	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3639068179104656
Ruminococcaceae (OTU 169)	7.184116183786947	0.12647257632228942	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.382187201441079
Burkholderia (OTU 403)	7.138058341774329	0.12876986967109638	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.38630960901328915
Ruminococcaceae (OTU 37)	7.111724854403225	0.1301005614386645	4	Kruskal-Wallis rank sum test	0	0.001	0.002	0	0.001	0.38749375852954754
Akkermansia (OTU 360)	6.8888888888896025	0.14187774148838617	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4078985067791102
Lachnospiraceae (OTU 415)	6.8888888888896025	0.14187774148838617	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4078985067791102
Akkermansia (OTU 896)	6.8888888888896025	0.14187774148838617	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4078985067791102
Lachnospiraceae (OTU 1064)	6.8888888888896025	0.14187774148838617	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4078985067791102
Acetatifactor (OTU 1355)	6.8888888888896025	0.14187774148838617	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4078985067791102
Porphyromonadaceae (OTU 67)	6.799799917127536	0.14685373983977298	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.41929274685286905
Lachnospiraceae (OTU 49)	6.772454295385993	0.14841279834082868	4	Kruskal-Wallis rank sum test	0.003	0.009	0.011	0.007	0.0085	0.419577890819532
Lachnospiraceae (OTU 164)	6.762561039501564	0.1489805554359208	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.419577890819532
Clostridiales (OTU 137)	6.667467855245566	0.1545396751898089	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.43229341573365465
Porphyromonadaceae (OTU 44)	6.461268434188488	0.16724720323846154	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Bacteria (OTU 168)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Bacteroides (OTU 178)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Clostridium (OTU 186)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Lachnospiraceae (OTU 203)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Bacillus (OTU 218)	6.544982698962035	0.16197808378608616	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Lachnospiraceae (OTU 243)	6.445012787723456	0.1682881635168115	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Clostridiales (OTU 329)	6.445012787723456	0.1682881635168115	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Porphyromonadaceae (OTU 353)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Ruminococcaceae (OTU 357)	6.4436974789912735	0.1683726472786171	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.44117896185662964
Clostridiales (OTU 214)	6.36596429616608	0.17343407493434973	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4515830630366087
Lachnospiraceae (OTU 120)	6.179965054920043	0.1861054501866955	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.48154785235807457
Lachnospiraceae (OTU 160)	6.144471677559881	0.18861570438745665	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4850118112820314
Clostridium (OTU 172)	6.110433409873746	0.1910514381737504	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4882425642218065
Lactobacillus (OTU 13)	3.807244101955017	0.4327205630552139	4	Kruskal-Wallis rank sum test	0.006	0.003	0.003	0.006	0.0035	0.5790958760703031
Porphyromonadaceae (OTU 15)	4.279961181267424	0.3694410940303707	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 21)	3.5278638079726194	0.4736542588492521	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 36)	5.593216718367965	0.23165635634606344	4	Kruskal-Wallis rank sum test	0.012	0.01	0.008	0.013000000000000001	0.006500000000000001	0.5790958760703031
Bacteroidales (OTU 38)	5.206084079722461	0.2667979789424828	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 40)	4.715325070851512	0.31777316208270784	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 48)	3.3050825390358516	0.5081273776606734	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 58)	5.219580667361699	0.265499945828615	4	Kruskal-Wallis rank sum test	0	0.001	0.009	0	0	0.5790958760703031
Porphyromonadaceae (OTU 80)	3.231528902706218	0.5198535907277719	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 82)	3.8858968427851717	0.42166822191674674	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 104)	4.11492811984841	0.39067540651408506	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 107)	4.97690884383751	0.28967500905364585	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 123)	5.23376841210333	0.2641412536016403	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0.5790958760703031
Blautia (OTU 132)	3.7678918816978086	0.4383285804809432	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 136)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 141)	3.176470588234454	0.528739712933755	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 148)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Staphylococcus (OTU 156)	5.064717255156331	0.28072132904479424	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Streptococcus (OTU 166)	4.544803221582605	0.337267984671574	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Clostridiales (OTU 170)	4.916666666666747	0.29595538691929335	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Porphyromonadaceae (OTU 175)	4.526229481579977	0.3394486621076728	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Coriobacteriaceae (OTU 182)	3.3692810457515976	0.498030635216344	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
Lachnospiraceae (OTU 183)	5.396312077718779	0.24899518717676566	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5790958760703031
