otu	method	WM	C	WMR	CWM	RM	FRM	WMC	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.562	0.008	0.551	0.007	0.6755	0.41200000000000003	0.569	0.364	0.028721767147577675	0.8364360726202223	0.009788951925600673	0.17735097446490208	0.8364360726202223	0.1533948049907528	0.75	0.028721767147577675	0.8364360726202223	0.1533948049907528	0.5692825692825693	0.1533948049907528	0.1533948049907528	0.5	0.26060606060606056	0.8364360726202223	0.028721767147577675	0.6642368975299354	0.2789529714813841	0.4475524475524475	0.6642368975299354	0.6642368975299354	0.4475524475524475	0.2828282828282829	0.6642368975299354	0.5	0.75	0.5390374331550802
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.3	0.002	0.001	0.122	0.1235	0.0665	0.255	0.352	8.784560021765261e-4	0.019007649676363557	0.3297163816452425	0.07728683636651923	4.378331551556474e-4	0.011084699063907985	0.04324812537950327	0.001649415184500297	0.023349882274804442	0.9982829738421506	0.061188811188811185	0.0016395695904609386	0.023349882274804442	0.17819491293243694	0.16804407713498623	0.4568111888111889	4.378331551556474e-4	0.011084699063907985	0.02501234557265998	0.003196803196803197	0.001864801864801865	1	0.04324812537950327	0.13789004291897944	0.1603767231193924	0.10526315789473684	0.10526315789473684	0.9790209790209788
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0.068	0.033	0	0	0	0	0	0.0016206728843274386	0.01411447730839548	0.026308478282341435	0.46586441675596724	0.020629018413786504	0.15715911862552492	0.6837834119129877	0.0016206728843274386	0.015604453971050002	0.8671053804448808	0.5242865454035753	0.0016206728843274386	0.011229439147729255	0.2174670878668389	0.2584328465356252	0.4354165910883168	4.0079877512501117e-4	0.0020657146256396718	0.1340460275507862	0.15715911862552492	NA	0.8221541938898764	0.057098452097470685	0.1340460275507862	0.5242865454035753	0.5826031366612765	NA	NA
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0	0.013	0.03	0.040499999999999994	0.027	0.0215	0	0.0085	0.0027718097215522755	0.0057880374979438	0.9158223082056884	0.0027718097215522755	0.6431392664522287	0.3471806468005837	0.0057880374979438	0.9158223082056884	0.6419174945715367	0.43353787566370633	0.0057880374979438	0.9158223082056884	0.43353787566370633	0.3471806468005837	0.5902503293807643	0.43353787566370633	0.0011172682554259044	0.002386938062610511	0.0011172682554259044	0.002386938062610511	0.002386938062610511	0.43353787566370633	0.4494128020495392	0.19862733779017688	0.25907009119286467	0.2857142857142857	0.43353787566370633	0.15106366237943233
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.1215	0	0	0.5486475674741726	0.6295594759321589	0.9091004824411113	0.5486475674741726	1	0.9091004824411113	0.7977138294903781	0.9091004824411113	0.9906504501863479	0.9091004824411113	0.04232311106274424	0.04232311106274424	0.04232311106274424	0.04232311106274424	0.07520150037597974	0.6226558659171867	0.9470264954919694	0.9906504501863479	0.9091004824411113	0.9733796909071739	0.04232311106274424	NA	0.9091004824411113	0.9091004824411113	0.9091004824411113	0.9470264954919694	0.4793767999555591	0.9091004824411113
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.026000000000000002	0	0	0.14097452087248155	0.3626471259791471	0.030257412233832846	0.34509344703959477	0.018585989162263287	NA	0.46630662155894465	0.09419516813799086	NA	NA	0.009156692122592508	0.4288357181112282	0.0020964821824505323	0.0013311503563108854	0.00980831444730986	0.3761999347003057	0.03688577407069015	NA	NA	NA	0.002519003530535186	0.7892680261342813	0.3494702419465129	NA	NA	NA	0.11433027214786094	NA
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.106	0	0	0.15592490999205458	NA	0.11947628980758071	0.57677710529466375	0.15592490999205458	0.5288320179980474	NA	0.1811208185458759	NA	0.588377425005312	0.0065434159726065625	0.018747885857812077	0.0021260688767408666	0.0021260688767408666	0.010002348396356516	NA	0.13026591673067336	NA	0.5297019921384644	NA	0.0025574336385112617	NA	0.5288320179980474	NA	0.8382564863858263	NA	0.13026591673067336	NA
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0.006	0.0045000000000000005	0	0	0	0	5e-4	0.007687447910621395	0.03101440914360845	0.3068492428529135	NA	0.0013535838116274194	0.007687447910621395	0.20566782744413872	0.031547169395394606	0.11220773611859698	0.11041575209854189	0.40288577246988794	0.0163299310690197	0.06896397955270166	0.27062590084565197	0.5490513092349355	NA	0.0041268084617444014	0.0163299310690197	NA	0.16144588002069013	0.328932044449385	0.1739191798102317	0.1739191798102317	0.328932044449385	0.06873520012888594	1	0.5490513092349355	0.11412776690753818
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.001	0	0	0.0095	0.008	0.0055	0.001	0	0.01480924561097097	0.3512669857721231	0.18847395058936778	0.24766690185344067	2.5093009889313857e-5	0.04464782234202829	0.15197690285245227	1.9284997348910005e-4	0.093378618508714345	0.9249153706882359	0.34642334400778896	0.0024393241360028553	0.2600025554772176	0.4211780169748647	0.34642334400778896	0.8139332397692317	0.04464782234202829	0.6328589904817025	0.093378618508714345	0.093378618508714345	0.2600025554772176	0.2600025554772176	0.6896330424878986	0.43138433325748227	0.093378618508714345	0.15197690285245227	0.24766690185344067	0.34642334400778896
Lactobacillus (OTU 13)	Kruskal-Wallis rank sum test	0	0.019	0.006	0.0135	0.002	0.004	0	5e-4	0.006405361465777315	0.03826284745631435	0.01074733598475587	0.0075723833871524865	0.2981936665822533	0.1553505302340117	0.12917383065270277	0.016903150841067412	0.10435745881101133	0.07925127717977794	0.260534754672355	0.04275859731615845	0.45843387848264944	0.11715897964245037	0.8370775942879789	0.4711775878989509	0.002666467227212727	0.005851612155729213	0.002666467227212727	0.03220589476481021	0.062092352802052005	0.8611082722274301	0.10435745881101133	0.12917383065270277	0.10435745881101133	0.2988411895358032	0.45520414453413177	0.45520414453413177
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0485	0	0	0.2573253724438379	0.2573253724438379	0.6839436713957231	0.6839436713957231	0.4886870686279753	0.3849993982186175	0.3849993982186175	0.6872434718189974	NA	0.5055907621430513	0.010187577070363118	4.953833878350273e-5	0.0019050990462527448	0.0019050990462527448	0.010187577070363118	0.2573253724438379	0.6839436713957231	NA	0.39824258726136047	NA	0.0023443141686353233	0.6839436713957231	0.8773705560641434	NA	0.6872434718189974	NA	0.2047035834339153	NA
