otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	p.value.adj
Porphyromonadaceae (OTU 44)	48.74152223059533	2.5062638782414805e-9	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0215	0	4.48621234205225e-7
Porphyromonadaceae (OTU 8)	43.41662269129287	3.041953847581398e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0.026000000000000002	0	2.1654937277128215e-6
Porphyromonadaceae (OTU 10)	43.03847337642349	3.6293190967253995e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0.106	0	2.1654937277128215e-6
Blautia (OTU 19)	41.245406715656266	8.370390546150041e-8	5	Kruskal-Wallis rank sum test	0.064	0	0	0	0	0.07	3.7457497694021437e-6
Porphyromonadaceae (OTU 15)	36.72160006287086	6.810546816321804e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.007	0	2.4381757602432055e-5
Porphyromonadaceae (OTU 14)	34.37387165599868	2.0058365235227535e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0485	0	4.855899977588606e-5
Porphyromonadaceae (OTU 21)	34.20214770158254	2.170234626855243e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.009	0	4.855899977588606e-5
Porphyromonadaceae (OTU 25)	34.20214770158254	2.170234626855243e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0135	0	4.855899977588606e-5
Lachnospiraceae (OTU 30)	33.66697135892748	2.7735195978495233e-6	5	Kruskal-Wallis rank sum test	0	0.0035	0	0	0	0	5.342672437061961e-5
Butyricicoccus (OTU 56)	33.50669413527397	2.9847332050625484e-6	5	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0	5.342672437061961e-5
Turicibacter (OTU 5)	32.2778791565288	5.23397400463967e-6	5	Kruskal-Wallis rank sum test	0	0.03	0.040499999999999994	0.027	0.0215	0	8.517103153004554e-5
Lachnospiraceae (OTU 20)	30.83541685704714	1.0094842802956741e-5	5	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0	1.4925657370168854e-4
Bifidobacterium (OTU 28)	30.678676704907588	1.083986289453604e-5	5	Kruskal-Wallis rank sum test	0	0	5e-4	0.003	0.010499999999999999	0	1.4925657370168854e-4
Lachnospiraceae (OTU 49)	29.7822524029787	1.6277738338385247e-5	5	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	2.0812251161221137e-4
Lachnospiraceae (OTU 32)	28.89104692172045	2.4357092282873103e-5	5	Kruskal-Wallis rank sum test	0	0.0055	0	0	5e-4	0	2.906613012422857e-4
Lachnospiraceae (OTU 46)	27.65604729331287	4.248928612452456e-5	5	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	4.753488885181185e-4
Lactobacillus (OTU 23)	26.916762335159074	5.921133815723399e-5	5	Kruskal-Wallis rank sum test	0	0.003	0.0055	0.001	0.0015	0	6.234605605967579e-4
Lactobacillus (OTU 13)	26.56741038618296	6.924143474056519e-5	5	Kruskal-Wallis rank sum test	0	0.006	0.0135	0.002	0.004	0	6.523272009769036e-4
Lachnospiraceae (OTU 81)	26.59430122116689	6.841294032607743e-5	5	Kruskal-Wallis rank sum test	0	0.0015	0	0	0	0	6.523272009769036e-4
Clostridiales (OTU 91)	26.154377975100683	8.328951441761988e-5	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	7.454411540376979e-4
Enterobacteriaceae (OTU 2)	25.853475926548903	9.526817422505861e-5	5	Kruskal-Wallis rank sum test	0.3	0.001	0.122	0.1235	0.0665	0.255	8.120477707754996e-4
