otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	p.value.adj
Porphyromonadaceae (OTU 25)	35.63751438434981	8.933392172495974e-8	3	Kruskal-Wallis rank sum test	0	0	0	0.012	9.871398350608051e-6
Porphyromonadaceae (OTU 44)	35.63751438434981	8.933392172495974e-8	3	Kruskal-Wallis rank sum test	0	0	0	0.0225	9.871398350608051e-6
Porphyromonadaceae (OTU 15)	31.729967013448338	5.966121050339555e-7	3	Kruskal-Wallis rank sum test	0	0	0	0.058499999999999996	4.395042507083473e-5
Porphyromonadaceae (OTU 10)	28.55916467532472	2.7717069608677187e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.11099999999999999	7.656840479397073e-5
Porphyromonadaceae (OTU 14)	28.55916467532472	2.7717069608677187e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.059	7.656840479397073e-5
Porphyromonadaceae (OTU 21)	28.867449664429525	2.387745152588095e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.0075	7.656840479397073e-5
Bacteroidales (OTU 38)	28.867449664429525	2.387745152588095e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.025	7.656840479397073e-5
Porphyromonadaceae (OTU 87)	28.877139979859013	2.3765778093182054e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.0115	7.656840479397073e-5
Porphyromonadaceae (OTU 80)	24.50279136690649	1.961473412294598e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.008	4.816506934634513e-4
Porphyromonadaceae (OTU 6)	23.455936159997318	3.244361530642297e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.11649999999999999	7.170038982719476e-4
Porphyromonadaceae (OTU 48)	22.45350734094617	5.2487330667548214e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.017	9.666416731273464e-4
Porphyromonadaceae (OTU 175)	22.46266829865361	5.225727874349874e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	9.666416731273464e-4
Porphyromonadaceae (OTU 8)	21.614495409610768	7.845824649240566e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.0305	0.0013337901903708962
Lachnospiraceae (OTU 29)	21.404117281619627	8.677049434215202e-5	3	Kruskal-Wallis rank sum test	0	0.013	0.01	0	0.0013697342321153999
Lachnospiraceae (OTU 30)	19.673622240392497	1.9833741208194968e-4	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.0029221712046740584
Lachnospiraceae (OTU 49)	19.206782484531182	2.477597748455088e-4	3	Kruskal-Wallis rank sum test	0.0025	0.003	0	0	0.00342218189005359
Lachnospiraceae (OTU 33)	18.212143225073657	3.976850197750942e-4	3	Kruskal-Wallis rank sum test	0	0	0.0035	0.004	0.005169905257076225
Lachnospiraceae (OTU 17)	16.3339923788786	9.684900569699812e-4	3	Kruskal-Wallis rank sum test	0.002	0.006	0.019	0.005	0.011265068557387676
Porphyromonadaceae (OTU 40)	16.37704918032786	9.489810512082411e-4	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.011265068557387676
Lachnospiraceae (OTU 46)	15.934080883991035	0.0011698229687846905	3	Kruskal-Wallis rank sum test	0.002	0	0	0	0.012926543805070832
Lachnospiraceae (OTU 70)	15.760465116279086	0.0012696857125106013	3	Kruskal-Wallis rank sum test	0.001	0	0.0015	0	0.013361930593563947
Akkermansia (OTU 3)	15.464926748811507	0.0014595100426674805	3	Kruskal-Wallis rank sum test	0.008	0.234	0.1905	0.0865	0.0146614417922506
Lachnospiraceae (OTU 16)	13.48328445747801	0.0036999317074050972	3	Kruskal-Wallis rank sum test	5e-4	0.002	0.009	0.003	0.03555151771028376
Lachnospiraceae (OTU 102)	11.956855439642325	0.0075324263517820055	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.06936109265599263
Ruminococcaceae (OTU 27)	11.733768352365448	0.008353092388793396	3	Kruskal-Wallis rank sum test	0	0	0	0	0.07100128530474387
Acetatifactor (OTU 78)	11.75294117647062	0.008279224357344734	3	Kruskal-Wallis rank sum test	0	0	0	0	0.07100128530474387
Bacteroides (OTU 1)	10.712406493198529	0.013387127734808177	3	Kruskal-Wallis rank sum test	0.591	0.459	0.4745	0.2365	0.10643205851180729
Lachnospiraceae (OTU 148)	10.620370370370397	0.01396619772326883	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10643205851180729
