otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 44)	79.79919613488937	5.365638984399135e-14	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0.007	0	0.006500000000000001	0.011	2.028211536102873e-11
Enterobacteriaceae (OTU 2)	72.98234789058179	1.2492885976948656e-12	8	Kruskal-Wallis rank sum test	0.056499999999999995	0.002	0	0.136	0.2545	0.183	0.275	0	5e-4	2.361155449643296e-10
Porphyromonadaceae (OTU 48)	70.81382391871932	3.3835578608288437e-12	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.010499999999999999	0.0125	4.263282904644343e-10
Peptostreptococcaceae (OTU 12)	66.68235495114699	2.2414531486901946e-11	8	Kruskal-Wallis rank sum test	0.0035	0	0	0.009	0.023	0.033	0	0	0	2.118173225512234e-9
Porphyromonadaceae (OTU 25)	62.215623077166164	1.7100866457437787e-10	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.012	0.0215	1.2928255041822967e-8
Lachnospiraceae (OTU 33)	60.08413490147058	4.487200524051918e-10	8	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0	0.001	0.002	2.8269363301527086e-8
Porphyromonadaceae (OTU 14)	59.149412552005636	6.842671452973692e-10	8	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.007	0	0.055499999999999994	0.0495	3.6950425846057936e-8
Porphyromonadaceae (OTU 87)	58.73773847591539	8.238308992386873e-10	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0025	3.8926009989027976e-8
Bacteroidales (OTU 38)	57.0663910692916	1.7478152053075802e-9	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0195	0.015	7.340823862291837e-8
Lachnospiraceae (OTU 24)	55.42546097116559	3.6492226110846056e-9	8	Kruskal-Wallis rank sum test	0	0.006	0.005	0	0	0	0	5e-4	0	1.379406146989981e-7
Bifidobacterium (OTU 28)	54.20729954690509	6.292987220137725e-9	8	Kruskal-Wallis rank sum test	0	0.001	0	0.003	0.011	0.017	0	0	0.003	2.1624992447382365e-7
Blautia (OTU 19)	53.81963794043596	7.482437588990086e-9	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0125	0	0	2.3569678405318772e-7
Lachnospiraceae (OTU 4)	53.038382545471	1.0601708227223316e-8	8	Kruskal-Wallis rank sum test	5e-4	0.051	0.037000000000000005	0	0	0	0.001	0.0225	0.0095	3.0826505460695485e-7
Lachnospiraceae (OTU 30)	52.74405883488041	1.2087056991309165e-8	8	Kruskal-Wallis rank sum test	0	0	0.006	0	0	0	0	5e-4	0.002	3.2635053876534747e-7
Porphyromonadaceae (OTU 8)	52.37371067022766	1.4253487067744612e-8	8	Kruskal-Wallis rank sum test	0	0.049	0	0	0	0.023	5e-4	0.044	0.0495	3.591878741071642e-7
Ruminococcaceae (OTU 50)	50.93664817191377	2.6988445950243283e-8	8	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	0	6.376020355744976e-7
