effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	3	21.94803532464314	7.316011774881047	46.67960891768158	0.21407288487968745	1
unique_cage_no	26	17.25975994682825	0.6638369210318558	4.2355929449537735	0.16834520946846893	1
Residuals	404	63.31819879348598	0.15672821483536134	NA	0.6175819056518436	NA
Total	433	102.52599406495737	NA	NA	1	NA
