otu	statistic	p.value	parameter	method	WM	WMC	p.value.adj
Anaerostipes (OTU 159)	11.962660873087474	5.427730414838741e-4	1	Kruskal-Wallis rank sum test	0	0	0.14166376382729115
Akkermansia (OTU 3)	8.782091097308488	0.003042022749394317	1	Kruskal-Wallis rank sum test	0.007	0.187	0.3969839687959584
Lachnospiraceae (OTU 4)	2.289039124198722	0.13029056152688864	1	Kruskal-Wallis rank sum test	0.002	0	0.528565621911505
Porphyromonadaceae (OTU 6)	1.4227416671214703	0.23295266476908666	1	Kruskal-Wallis rank sum test	0	0.001	0.528565621911505
Porphyromonadaceae (OTU 8)	1.9716671563788373	0.16027101386863937	1	Kruskal-Wallis rank sum test	0.001	0	0.528565621911505
Lactobacillus (OTU 9)	3.343600480049912	0.06746682838512945	1	Kruskal-Wallis rank sum test	0.003	0.002	0.528565621911505
Lachnospiraceae (OTU 11)	1.66282276417194	0.19722263050716327	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Peptostreptococcaceae (OTU 12)	3.738303446955874	0.05317841421141997	1	Kruskal-Wallis rank sum test	0.023	0.043	0.528565621911505
Lachnospiraceae (OTU 17)	0.8684449012933454	0.35138618570817115	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridium (OTU 22)	1.6255969731085802	0.2023131322611651	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 24)	1.247984826932191	0.26393771370667624	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 27)	2.125237685000062	0.1448903028051948	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 29)	3.3169502205418917	0.06856891910275766	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 31)	1.4264863805605241	0.23233872002030684	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 32)	0.8114792619128155	0.36768326758947123	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 33)	1.7500293944738714	0.18587303711400227	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 34)	1.1626718350056842	0.28091211381647463	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 36)	1.6054262431074111	0.20513592497010466	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Oscillibacter (OTU 45)	2.434782608695584	0.1186703455645882	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Porphyromonadaceae (OTU 48)	1.2557191998129846	0.2624629457733015	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Butyricicoccus (OTU 56)	0.7749043853913198	0.3787041045879366	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 58)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 60)	2.626139817629089	0.10511699617656106	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 61)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 63)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 65)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 66)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 68)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 71)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 72)	3.0421196706910627	0.08112991650016259	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 74)	2.4370370370369674	0.1184998689335663	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 77)	0.931357211472446	0.334510502693783	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Acetatifactor (OTU 79)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 81)	1.7500293944738714	0.18587303711400227	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 83)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 84)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 85)	1.6955266955267527	0.1928740283835013	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 86)	1.5893719806764415	0.2074158832036739	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Lachnospiraceae (OTU 88)	1.6955266955267527	0.1928740283835013	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Clostridiales (OTU 91)	1.5886524822696158	0.20751876218811374	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcaceae (OTU 92)	0.7777777777776015	0.37782163710011785	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
Ruminococcus (OTU 93)	1.2857142857141268	0.25683925795788604	1	Kruskal-Wallis rank sum test	0	0	0.528565621911505
