otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Akkermansia (OTU 3)	7.966675233781191	0.04670547226833925	3	Kruskal-Wallis rank sum test	0.0025	0.008	5e-4	0.0015	0.8246570102599022
Lachnospiraceae (OTU 4)	6.604050540279648	0.08564810196355098	3	Kruskal-Wallis rank sum test	0.0215	0.037	0.0115	0.0175	0.8246570102599022
Turicibacter (OTU 5)	5.666829299736826	0.1289939776453331	3	Kruskal-Wallis rank sum test	0.06	0.064	0.033	0.0315	0.8246570102599022
Porphyromonadaceae (OTU 6)	9.299504213738967	0.025562796100281504	3	Kruskal-Wallis rank sum test	0.156	0.147	0.244	0.219	0.8246570102599022
Porphyromonadaceae (OTU 8)	6.769067144710944	0.07963422104994398	3	Kruskal-Wallis rank sum test	0.021	0.016	0.0305	0.025	0.8246570102599022
Lactobacillus (OTU 13)	4.997092245989299	0.1720101881964678	3	Kruskal-Wallis rank sum test	0.0215	0.017	0.0115	0.0115	0.8246570102599022
Porphyromonadaceae (OTU 21)	5.61694238575181	0.13180909057546927	3	Kruskal-Wallis rank sum test	0.07400000000000001	0.068	0.0655	0.0965	0.8246570102599022
Bifidobacterium (OTU 28)	9.627166104792206	0.02201630780109145	3	Kruskal-Wallis rank sum test	0.004	0.008	0	0.0025	0.8246570102599022
Clostridiales (OTU 35)	5.564389301293328	0.13483774697794254	3	Kruskal-Wallis rank sum test	0.004	0.007	0.0025	0.002	0.8246570102599022
Erysipelotrichaceae (OTU 39)	5.153351567792304	0.16090628360988876	3	Kruskal-Wallis rank sum test	0.003	0.001	0	0.001	0.8246570102599022
Porphyromonadaceae (OTU 40)	6.714938121512507	0.08156057671994568	3	Kruskal-Wallis rank sum test	0.0155	0.018	0.0335	0.022	0.8246570102599022
Bacteria (OTU 43)	5.3523625705307705	0.14774052250334074	3	Kruskal-Wallis rank sum test	0.0015	0.002	0	0.0015	0.8246570102599022
