genus	method	WM	C	WMN	CN	C-WM	WMN-WM	WMN-C	CN-WM	CN-C	CN-WMN
Acetatifactor	Kruskal-Wallis rank sum test	0	0.020999999999999998	0	0.0125	0.016482332626893612	0.6373518882339371	0.04870998048910445	0.016482332626893612	0.32535881948153866	0.04870998048910445
Bacteroides	Kruskal-Wallis rank sum test	0.55	0.004	0.667	0.002	0.022638703471355142	0.5476190476190476	0.04870998048910445	0.022638703471355142	0.4831502906797839	0.04870998048910445
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.001	0	0.0125	0.036795349514829614	NA	0.09822291608280957	0.036795349514829614	0.1423004023884592	0.09822291608280957
Clostridium IV	Kruskal-Wallis rank sum test	0	0.002	0	0.0035	0.09651210902882884	NA	0.21482167382849915	0.04732538569222103	0.5160637549783855	0.09651210902882884
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.02	0	0.0235	0.032964665253787225	0.7150597086782132	0.07154016446498161	0.05013433358398649	1	0.13173764344529248
Dorea	Kruskal-Wallis rank sum test	0.001	0	0.002	0	0.05246111349235315	0.2763029173374834	0.03989701166348571	0.04480918642234682	NA	0.03989701166348571
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.021	0.004	0.089	0.002	0.030189916567625097	0.11030997868670794	0.053655123348736206	0.02818618493598045	0.5759693675506534	0.051202258355111586
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.003	0.001	0.003	5e-4	0.04344983115695225	1	0.15715666573249532	0.04344983115695225	1	0.16794203139562244
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.002	0	0.0015	0.018973537701361263	NA	0.07848791328297638	0.12334994997705788	0.4059271771311805	0.2747105993777015
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.1635	0.581	0.111	0.4315	0.012987012987012988	0.7142857142857142	0.04285714285714285	0.012987012987012988	0.017316017316017316	0.03571428571428571
Lactobacillus	Kruskal-Wallis rank sum test	0.0045000000000000005	0.021	0.007	0.015	0.09582551001689532	0.2779894562978694	0.4418725605860348	0.046121992846124435	1	0.09582551001689532
Oscillibacter	Kruskal-Wallis rank sum test	0	0.017	0	0.015	0.01167146202805666	0.28631139517972254	0.053655123348736206	0.01167146202805666	0.854805435691019	0.053655123348736206
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0195	0	0	0	0.09843038181756122	0.09843038181756122	0.3291139859786081	0.04810859792879568	0.17047526954473652	NA
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0.004	0	0.0075	0.08267330424944604	0.6373518882339371	0.050520668728939934	0.050520668728939934	0.050520668728939934	0.050520668728939934
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.081	0	0.074	0.020207842034861076	1	0.053655123348736206	0.020207842034861076	0.6996298938165196	0.053655123348736206
Turicibacter	Kruskal-Wallis rank sum test	0.011	0.002	0.053	0.0155	0.07154016446498161	0.13583863899814774	0.07154016446498161	0.5203772558898253	0.07154016446498161	0.5203772558898253
Unclassified	Kruskal-Wallis rank sum test	0	0.001	0	0.0435	0.036795349514829614	NA	0.07857833286624766	0.013892150550495162	0.04418041050940984	0.04266854862925966
