otu	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Ruminococcaceae (OTU 27)	42.470459859703794	3.1880657540322756e-9	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	3.793798247298408e-7
Ruminococcaceae (OTU 54)	42.470459859703794	3.1880657540322756e-9	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	3.793798247298408e-7
Oscillibacter (OTU 57)	39.2497159090909	1.5366000703470544e-8	3	Kruskal-Wallis rank sum test	0.003	0	0	0	1.2190360558086631e-6
Porphyromonadaceae (OTU 44)	37.64264473023595	3.364285574408922e-8	3	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0	2.0017499167733085e-6
Porphyromonadaceae (OTU 10)	35.05668460422868	1.1851144069109785e-7	3	Kruskal-Wallis rank sum test	0.046	0	0.1515	0	4.671936106789504e-6
Porphyromonadaceae (OTU 40)	34.760578633867055	1.3687192511733903e-7	3	Kruskal-Wallis rank sum test	0	0	0.0055	0	4.671936106789504e-6
Porphyromonadaceae (OTU 87)	34.75251353441604	1.3740988549380892e-7	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	4.671936106789504e-6
Ruminococcaceae (OTU 52)	31.88677092268105	5.529059890783687e-7	3	Kruskal-Wallis rank sum test	0.002	0	0	0	1.644895317508147e-5
Lachnospiraceae (OTU 128)	31.625856119791685	6.275192795679018e-7	3	Kruskal-Wallis rank sum test	0.001	0	0	0	1.659439872635118e-5
Porphyromonadaceae (OTU 14)	30.91417510328943	8.861631301090108e-7	3	Kruskal-Wallis rank sum test	0	0	0.0405	0	2.1090682496594457e-5
Lachnospiraceae (OTU 41)	30.340922589586253	1.1699625472019293e-6	3	Kruskal-Wallis rank sum test	0.004	0	0	0	2.141931432569686e-5
Butyricicoccus (OTU 56)	30.407142857142887	1.1330194474389703e-6	3	Kruskal-Wallis rank sum test	0.002	0	0	0	2.141931432569686e-5
Lachnospiraceae (OTU 110)	30.37098692033297	1.1530435137740464e-6	3	Kruskal-Wallis rank sum test	0.002	0	0	0	2.141931432569686e-5
Porphyromonadaceae (OTU 21)	29.538019801980166	1.7260413674439284e-6	3	Kruskal-Wallis rank sum test	0	0	0.008	0	2.9342703246546782e-5
Porphyromonadaceae (OTU 8)	28.68541530412036	2.6075302759076587e-6	3	Kruskal-Wallis rank sum test	0.022	0	0.017	0	4.137281371106819e-5
Lachnospiraceae (OTU 63)	27.652414199457667	4.296271091755516e-6	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	6.390703248986331e-5
Porphyromonadaceae (OTU 48)	27.15618508026442	5.459765516062251e-6	3	Kruskal-Wallis rank sum test	0	0	0.003	0	7.64367172248715e-5
Lachnospiraceae (OTU 11)	26.90598969089908	6.160666862243219e-6	3	Kruskal-Wallis rank sum test	0.028999999999999998	0	0	0	8.145770628966033e-5
Firmicutes (OTU 129)	26.702562597809056	6.796172280515396e-6	3	Kruskal-Wallis rank sum test	0.002	0	0	0	8.513100014540339e-5
Oscillibacter (OTU 45)	26.412570163820696	7.81673522933271e-6	3	Kruskal-Wallis rank sum test	0.0025	0	0	0	9.301914922905926e-5
Bacteria (OTU 43)	24.698305871431884	1.7853655445626427e-5	3	Kruskal-Wallis rank sum test	0.003	0	0	0	1.770487498357954e-4
