otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.6965	0.031	0.569	0.455	0.6685000000000001	0.298	0.5575	0.20900000000000002	0.11	5.049388233240319e-4	0.07379046293073442	0.002247752247752248	0.0037636355419700847	0.13268646530204134	0.13268646530204134	0.34808817321008184	0.06462755213938497	0.8784770784770783	0.30204902794956473	0.0034251462822891396	0.3262206330030881	0.039160839160839164	0.8642266824085004	0.4380128106356669	0.1308652132181544	0.006178029897262323	0.8784770784770783	0.2758860440539025	0.8642266824085004	0.13268646530204134	0.002247752247752248	0.8642266824085004	0.0034251462822891396	0.4657522618667401	0.40492650589694007	0.8642266824085004	0.07535321821036108	0.002247752247752248	0.8717301777649944	0.0034251462822891396	0.4589393734112764	0.40492650589694007	0.5320197044334976	0.06462755213938497	0.17634996582365003
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.056499999999999995	0.002	0	0.136	0.2545	0.183	0.275	0	5e-4	3.236487043665961e-4	0.001395671327486997	0.22906477038732254	0.061711985335558946	6.152850385736997e-5	7.581581390098236e-4	4.231063054592467e-4	6.152850385736997e-5	9.934561107016317e-4	0.01388600089775818	0.013147769466246078	0.0019729328964535444	0.0058152787206745445	0.20359855542760347	0.8386124190848898	9.402362343538815e-4	4.231063054592467e-4	0.002006175948060154	0.04504364468483461	0.8857007130200365	0.6631793574668515	0.002616375840263522	0.07266242362419584	0.3724742840386987	0.001395671327486997	0.002006175948060154	0.00921854598962278	0.0038340269020117968	0.0028189175366386617	0.3690323606911468	0.8857007130200365	0.0019397567524812012	0.0020711418269976334	0.01212190971003755	0.004375649053857176	0.25728085386362964
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.0025	0.144	0.006	0.208	0.001	0.002	0.11499999999999999	0.0155	0.0245	0.025623539643964337	0.5705278876813631	0.034784437530432956	0.025623539643964337	0.606529139383092	0.034784437530432956	0.5512511172945227	0.0014861978075613972	0.17133702867193965	0.0014861978075613972	0.9014671494519169	0.034784437530432956	0.5705278876813631	0.034784437530432956	0.507943040386304	0.05864370747470682	0.507943040386304	0.1663404585236249	0.25622028481192205	0.006465769087510094	0.055394461114458726	0.2617842497331916	0.034784437530432956	0.606529139383092	0.034784437530432956	0.034784437530432956	0.45244815735428356	0.05864370747470682	0.2617842497331916	0.03657327984629612	0.507943040386304	0.05864370747470682	0.034784437530432956	0.507943040386304	0.09907044392527882	0.7692900973353204
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	5e-4	0.051	0.037000000000000005	0	0	0	0.001	0.0225	0.0095	9.676362881950923e-4	0.004053660261999975	0.9364969676524686	0.8909849165512702	0.0053907109611259635	0.019842615246052474	0.02010575166489852	7.415038736568964e-5	6.175994115945031e-4	0.046254451988118096	0.11164577426443126	0.003466341984445442	0.009687315134817997	0.17836834402802695	NA	0.8909849165512702	9.676362881950923e-4	0.003466341984445442	0.7897865264829312	0.007759721386518646	0.06277820371438118	0.0705361267634392	0.08810327641620144	0.17732267732267737	0.17732267732267737	0.0027481789153890107	0.03283530604536949	0.07397174267443302	0.15974854210616976	0.02609066763655984	0.02609066763655984	0.21696341982196082	0.0027481789153890107	0.03283530604536949	0.04265818557436452	0.37915398197570893
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.008	0.012	0.024	0.038	0.012	0.007	0	0.026000000000000002	0.016	0.7385111304499055	0.40233008008628224	0.6230418171267726	0.09169140133216015	0.0921787618178261	0.19368722169573538	0.5199844882599538	0.7520946153235202	0.7934936596923008	0.10841351546253006	0.9744923766574443	0.6230418171267726	0.0921787618178261	0.062231024191892685	0.19645070670105752	0.0921787618178261	0.029951365935266875	0.008183475891111682	0.008183475891111682	0.008183475891111682	0.019279167096735446	0.34777331952121754	0.4514398532273202	0.7520946153235202	0.7001305601391922	0.5279582858681106	0.19645070670105752	0.014310855371207156	0.8756531886431761	0.9744923766574443	0.736406450692165	0.2788369531084802	0.7199179937128906	0.7520946153235202	0.09169140133216015	0.616600790513834
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.018	0.0015	0.1965	0.2285	0.6825982229672407	0.2950993651953135	0.3881962142269731	0.15756358648823973	0.23543310194011574	1	0.23543310194011574	0.362820232552395	0.9776292119832112	0.9036951865710273	0.10861664333309971	0.022163775141305495	0.008427188303146945	0.002933332802808577	0.002933332802808577	0.6741413612238443	0.2551661490160405	0.15756358648823973	0.058877701046599035	0.04088983966159121	0.01514321811416185	0.08794296508187313	0.0067296909257755656	0.00538355587092509	5.796643980856759e-4	0.002338076102219278	0.017931179304274028	0.0067296909257755656	0.04249196833017245	0.0067296909257755656	0.00538355587092509	5.796643980856759e-4	0.002338076102219278	0.017931179304274028	0.0067296909257755656	0.23953823953823952
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0	0.0925	0	0	0	0.001	0.029500000000000002	0.0735	0.1151439440282061	0.09817154987496475	0.35359344530007	0.6542791029788196	0.12652535507562773	0.09246178894995614	1	0.08674092849077543	0.08101264316235741	0.5631214131197435	0.6638024263974174	0.14777405358287546	0.13993940583497627	0.47710837073206697	0.6812736933772647	0.07164433150472473	1	0.6542791029788196	0.12020749130950459	0.04495567413112036	0.09246178894995614	0.014288837173768953	0.22547303772286525	0.9196421253118411	0.007671183029385281	0.008753062869958526	0.06079222376399837	0.07739087956960745	0.005064089046661555	0.08674092849077543	1	0.002121417359397378	0.0028027336779542825	0.024723498940340417	0.013241915202755533	0.12706087089729812
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0.049	0	0	0	0.023	5e-4	0.044	0.0495	0.010294449041840714	0.9617680320328802	0.02125918039550194	0.9504154821545947	0.002986356320307689	1	0.40538886696224424	0.003117449427264446	0.34876298135193246	0.34134598173702535	0.003117449427264446	0.9303060192115218	0.005529321334118001	0.001319116835674798	8.217289651779845e-4	0.11396029876090065	0.11200430849944579	0.18200287553772315	0.13566152558915193	0.018563752563207796	0.019840346456858525	0.0018990333924980831	0.9504154821545947	0.0033129574590308243	6.737169701416069e-4	6.737169701416069e-4	0.2555844155844156	0.004941111610269373	0.0018990333924980831	0.9504154821545947	0.0033129574590308243	6.737169701416069e-4	6.737169701416069e-4	0.4471652399764376	0.004941111610269373	0.838961038961039
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004	0	0.084	0.077	0.6103893855791631	0.1662309768850057	0.15422060735226462	0.394587430947238	0.1662309768850057	0.4263615458207004	0.10201001926945004	0.07591132947463122	NA	0.3195728841365155	0.1662309768850057	0.6103893855791631	0.04987530249662369	0.04413688098607401	0.014936519808190534	0.9549769939372394	0.6003866442714714	0.22878094396488333	0.5107928225841886	0.15422060735226462	0.1662309768850057	0.003396273928626117	0.003396273928626117	0.003396273928626117	6.550026098598956e-4	6.550026098598956e-4	0.019567570740729436	0.005422999964941479	0.003396273928626117	0.014282765696109586	0.003396273928626117	6.550026098598956e-4	6.550026098598956e-4	0.16778461993555321	0.0075814689538472296	0.8336741397403451
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0.01	0.010499999999999999	0	0	0	0	0	5e-4	0.003218704885006208	0.00503771446152319	0.595444649287185	0.7822957315881272	0.00113330749216449	0.0015832463234159795	0.47295367812261824	0.0015334223697259222	0.0015832463234159795	0.5599954286036138	0.6287684094486649	0.025219986481938888	0.028884613016411292	0.707253278215354	NA	0.5599954286036138	0.00503771446152319	0.005963845391190861	0.6239764438025122	NA	NA	0.7281467956270111	0.10205000510101105	0.1656338200575791	0.5599954286036138	0.33842481074172065	0.568588555885951	0.47295367812261824	0.16393201946734423	0.25443093336397227	0.35291553533974074	0.06254212024918483	0.03492562761483485	0.20200305497204807	0.09860603798977226	0.48890858790017133
