genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.013999999999999999	0.001	0	0	0.0011460439466148583	3.776447308002772e-4	0.24030279320476428	0.001415270570190272	0.04183820078760917	0.16655306425981073
Akkermansia	Kruskal-Wallis rank sum test	0.037000000000000005	0.2515	0.1915	0.10500000000000001	8.132239337833936e-4	5.325136567564888e-5	0.1030980546395725	0.0730935360814922	0.008479231455844501	0.002585649644473174
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	0.032906268466525	0.05488587164115136	NA	0.13879422021650895	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.0165	0.26009138331422954	NA	0.26009138331422954	0.0055248835342442924	0.0055248835342442924	0.0055248835342442924
Bifidobacterium	Kruskal-Wallis rank sum test	0.001	0	0	0.013	0.06527708532213015	0.41280937402038903	0.4186681194712666	0.035118493522573214	0.01194696186064333	0.035118493522573214
Butyricicoccus	Kruskal-Wallis rank sum test	0.003	0	0	0	1.565188943375438e-4	0.07037130445215563	0.01103741904211845	0.07037130445215563	0.029976059737527122	0.8301610401121512
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.012	5e-4	5e-4	0	5.040519411003937e-4	5.040519411003937e-4	0.601681454767329	0.0018383845195930324	0.21799904408694876	0.2876328506259331
Clostridium IV	Kruskal-Wallis rank sum test	0.001	0	0	0	0.5295292619646947	0.004747453728692328	0.05308833649574682	0.11760680405917848	0.33829125487940576	0.29227597291330415
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.003519592407693234	0.007934591609728259	0.9797491133293665	0.040807762852069156	0.9797491133293665	1
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0095	0.007	0.0055	0.00439165738277065	0.026179336303407852	0.6127027462556823	0.06817026334001916	0.6127027462556823	0.8877554954190772
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.002	0	0	0	3.077562901848575e-5	0.0025957376342475524	0.30924190434519844	0.006135871444175489	NA	0.5556897902827946
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.2815	0.101	0.108	0.053000000000000005	0.10811316566317565	0.0029732012502237297	0.8158705318479786	0.003878474466709761	0.29189103335039013	0.2695539754363284
Lactobacillus	Kruskal-Wallis rank sum test	0.0195	0.0275	0.0465	0.028	0.5349677249470833	0.03979827419389369	0.048881482075679945	0.3347274982287767	1	0.048881482075679945
Oscillibacter	Kruskal-Wallis rank sum test	0.012	0	0	0	2.0334932747939452e-5	3.065121492839114e-5	0.13831516261798277	0.001550384030491889	0.7420606850674594	0.23382077833064333
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.002	5e-4	0	0.00785798770099509	0.02109809082172435	0.3695635609291513	0.09716586184671686	0.3474958783229568	0.642755659841566
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.29200000000000004	0	0.0015	0.3515	8.973675712925974e-5	9.998788178976483e-4	0.1246498599439776	0.1246498599439776	5.105623108484857e-4	0.001162788022868917
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0032451112481512315	0.002177871661334237	0.23202266611374142	0.044595108951775056	1	0.23382077833064333
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.05	0.005	0.001	5e-4	0.004555551004577533	2.2748346476179755e-4	0.01985380298459145	0.002588927283747042	0.01903982696821205	0.6225474723592433
Unclassified	Kruskal-Wallis rank sum test	0.006	0	0	0.001	1.644616822316123e-6	5.448885262283365e-5	0.24739352347615876	0.006100071216867739	0.004204804079340362	0.054973368176595636
