genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Aestuariispira	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Alloprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Alphaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Anaerofustis	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Anaerotruncus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Atopobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Atopostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Aurantimonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacillaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacilli Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Barnesiella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Betaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bifidobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bilophila	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Brachybacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Brucellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Burkholderiales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Butyricimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Butyrivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Campylobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Carnobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Catonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Cloacibacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Cloacibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridiaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridiales Incertae Sedis XIII Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridium XI	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Clostridium XVIII	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Collinsella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Comamonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Corynebacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Curvibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Cystobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Desulfovibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Devosia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dialister	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dorea	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Dysgonomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Enterococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Escherichia/Shigella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Eubacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Faecalibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Finegoldia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Flavonifractor	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusicatenibacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Fusobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Gemella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Gemmata	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Geobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Granulicatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Hungatella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Hyphomicrobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Janthinobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Jeotgalicoccus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactobacillaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactobacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lactococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Leptotrichia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Listeria	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Lysobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Mannheimia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Marmoricola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Megasphaera	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Methylobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Morganella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Mucispirillum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Neisseria	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Neisseriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Odoribacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parabacteroides	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Paraprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parasutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Parvimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pasteurellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pectinatus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Peptoniphilus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Peptostreptococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phascolarctobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phocaeicola	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Phyllobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Porphyromonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Proteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Proteus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pseudomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Pyramidobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ralstonia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Romboutsia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Roseburia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Rothia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Ruminococcus2	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Senegalimassilia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Staphylococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stenotrophomonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Stomatobaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Streptococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Subdoligranulum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succiniclasticum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Succinivibrio	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Sutterella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Terrisporobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Veillonellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Verrucomicrobia Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Weissella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Unclassified	13.05803571428571	0.0014604395058730596	2	Kruskal-Wallis rank sum test	0	0.018000000000000002	0	NA	0.052575822211430145	30
Clostridiales Unclassified	10.88588588588589	0.0043267311925941606	2	Kruskal-Wallis rank sum test	0.003	0.051500000000000004	5e-4	NA	0.0778811614666949	30
Anaeroplasma	8.142493638676829	0.017056109357628465	2	Kruskal-Wallis rank sum test	0	0.001	0	NA	0.12280398737492496	30
Butyricicoccus	8.456790123456786	0.014575764989200575	2	Kruskal-Wallis rank sum test	0.004	5e-4	5e-4	NA	0.12280398737492496	30
Firmicutes Unclassified	9.105058365758756	0.01054051176093344	2	Kruskal-Wallis rank sum test	0	0.0035	0	NA	0.12280398737492496	30
Lactobacillus	7.1253709198813056	0.02836255584398878	2	Kruskal-Wallis rank sum test	0.016	0.005	0.014	NA	0.17017533506393268	30
Clostridium XlVb	6.516278135048225	0.03845990274622062	2	Kruskal-Wallis rank sum test	0	0.003	0.0045000000000000005	NA	0.19779378555199176	30
Porphyromonadaceae Unclassified	5.373520710059173	0.068101206115962	2	Kruskal-Wallis rank sum test	0.1935	0.17149999999999999	0.001	NA	0.28343726652218526	30
Ruminococcaceae Unclassified	5.294117647058826	0.07085931663054632	2	Kruskal-Wallis rank sum test	0.039	0.07100000000000001	0.016	NA	0.28343726652218526	30
Bacteroides	4.459558823529413	0.10755215225875692	2	Kruskal-Wallis rank sum test	0.192	0.015	0.23249999999999998	NA	0.3871877481315249	30
Coriobacteriaceae Unclassified	3.749999999999999	0.15335496684492853	2	Kruskal-Wallis rank sum test	0	5e-4	0	NA	0.4643369965434411	30
Peptostreptococcaceae Unclassified	3.6610032362459477	0.1603331216007222	2	Kruskal-Wallis rank sum test	0.002	0	0.001	NA	0.4643369965434411	30
Prevotella	3.5714285714285583	0.16767724875179818	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.4643369965434411	30
Acetatifactor	2.3054941002949763	0.3157681459173745	2	Kruskal-Wallis rank sum test	0.0145	0.0275	0.026999999999999996	NA	0.5395012243536215	30
Akkermansia	2.728544776119402	0.25556656163535557	2	Kruskal-Wallis rank sum test	0.0495	0.004	0.07250000000000001	NA	0.5395012243536215	30
Alistipes	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Bacillus	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Bacteroidales Unclassified	2.2321428571428514	0.3275641292502442	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Bacteroidetes Unclassified	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Barnesiella	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Bifidobacterium	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Blautia	2.0812182741116834	0.3532394451754438	2	Kruskal-Wallis rank sum test	0	0	0.001	NA	0.5395012243536215	30
Clostridia Unclassified	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Clostridium IV	1.949317738791421	0.37732104736811106	2	Kruskal-Wallis rank sum test	0	0.001	5e-4	NA	0.5395012243536215	30
Enterorhabdus	1.8636363636363669	0.39383699174893416	2	Kruskal-Wallis rank sum test	0	5e-4	5e-4	NA	0.5395012243536215	30
Listeria	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Parabacteroides	3.000000000000009	0.22313016014842885	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5395012243536215	30
Pseudoflavonifractor	2.1096124620060768	0.3482599027406988	2	Kruskal-Wallis rank sum test	0.0055	0.001	0.0025	NA	0.5395012243536215	30
