otu	statistic	p.value	method	alternative	1	15	p.value.adj
Akkermansia (OTU 3)	30	0.10937500000000003	Wilcoxon signed rank exact test	two.sided	0.1805	0.013000000000000001	0.9624697105223163
Lachnospiraceae (OTU 4)	1	0.034610557515707345	Wilcoxon signed rank test with continuity correction	two.sided	0.0195	0.068	0.9624697105223163
Turicibacter (OTU 5)	30	0.10689685480449326	Wilcoxon signed rank test with continuity correction	two.sided	0.037500000000000006	0.020499999999999997	0.9624697105223163
Lactobacillus (OTU 13)	20	0.05917206782585943	Wilcoxon signed rank test with continuity correction	two.sided	0.0115	0.004	0.9624697105223163
Lachnospiraceae (OTU 17)	26.5	0.042153450235705485	Wilcoxon signed rank test with continuity correction	two.sided	0.005	0.001	0.9624697105223163
Lactobacillus (OTU 23)	29	0.14099408120355642	Wilcoxon signed rank test with continuity correction	two.sided	0.008	0.003	0.9624697105223163
Bifidobacterium (OTU 28)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Lachnospiraceae (OTU 31)	0	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Lachnospiraceae (OTU 32)	20	0.05847526156565288	Wilcoxon signed rank test with continuity correction	two.sided	0.0075	0.0015	0.9624697105223163
Erysipelotrichaceae (OTU 39)	28	0.02201493444367288	Wilcoxon signed rank test with continuity correction	two.sided	0.012	0	0.9624697105223163
Lachnospiraceae (OTU 42)	0	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0	5e-4	0.9624697105223163
Oscillibacter (OTU 45)	0	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Ruminococcaceae (OTU 50)	0	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Butyricicoccus (OTU 56)	18	0.1422132419363925	Wilcoxon signed rank test with continuity correction	two.sided	0.0035	0.001	0.9624697105223163
Ruminococcaceae (OTU 60)	2	0.1775298524121535	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0.0025	0.9624697105223163
Ruminococcaceae (OTU 61)	0	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	0	0.0015	0.9624697105223163
Lachnospiraceae (OTU 63)	0	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Lachnospiraceae (OTU 70)	19.5	0.07074986707637766	Wilcoxon signed rank test with continuity correction	two.sided	0.003	0	0.9624697105223163
Lachnospiraceae (OTU 88)	0	0.14891467317876567	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0.001	0.9624697105223163
Enterorhabdus (OTU 109)	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.9624697105223163
Olsenella (OTU 114)	28	0.02201493444367288	Wilcoxon signed rank test with continuity correction	two.sided	0.0025	0	0.9624697105223163
Oscillibacter (OTU 119)	0	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0	0	0.9624697105223163
Lachnospiraceae (OTU 149)	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0	0.9624697105223163
Bacteroides (OTU 1)	9	0.25000000000000006	Wilcoxon signed rank exact test	two.sided	0.5045	0.565	1
Enterobacteriaceae (OTU 2)	12.5	0.22280099118113444	Wilcoxon signed rank test with continuity correction	two.sided	0.001	5e-4	1
Porphyromonadaceae (OTU 7)	1	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	0	0.104	1
Lactobacillus (OTU 9)	10	1	Wilcoxon signed rank test with continuity correction	two.sided	0.003	0.003	1
Porphyromonadaceae (OTU 10)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 11)	17	0.6726038174415166	Wilcoxon signed rank test with continuity correction	two.sided	0.006500000000000001	0.005	1
Peptostreptococcaceae (OTU 12)	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 16)	10.5	0.490152960415825	Wilcoxon signed rank test with continuity correction	two.sided	0.0025	0.001	1
Blautia (OTU 19)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 20)	19	0.44605954937074405	Wilcoxon signed rank test with continuity correction	two.sided	0.010499999999999999	0.0095	1
Clostridium XlVa (OTU 22)	5	0.5879367461735663	Wilcoxon signed rank test with continuity correction	two.sided	0	0.001	1
Lachnospiraceae (OTU 24)	15	0.4003808031520797	Wilcoxon signed rank test with continuity correction	two.sided	0.009999999999999998	0.0025	1
Lachnospiraceae (OTU 26)	10.5	0.6049071548927589	Wilcoxon signed rank test with continuity correction	two.sided	0.0015	0.002	1
Ruminococcaceae (OTU 27)	2	0.7892680261342813	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 30)	9	0.44605954937074405	Wilcoxon signed rank test with continuity correction	two.sided	0.006	0.008	1
Clostridiales (OTU 35)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 36)	7.5	0.5950764956239487	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0.0015	1
Ruminococcaceae (OTU 37)	5	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 41)	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0	1
Lachnospiraceae (OTU 46)	6.5	0.46183801815063763	Wilcoxon signed rank test with continuity correction	two.sided	5e-4	0.0035	1
Lachnospiraceae (OTU 47)	4	0.8551321405847059	Wilcoxon signed rank test with continuity correction	two.sided	0.001	0.002	1
