effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
exp_num	4	8.681677522262072	2.170419380565518	9.921857269203837	0.08467781855167016	1
Residuals	429	93.8443165426953	0.21875132061234334	NA	0.9153221814483298	NA
Total	433	102.52599406495737	NA	NA	1	NA
