otu	statistic	p.value	parameter	method	WMR	CWM	RM	FRM	p.value.adj
Porphyromonadaceae (OTU 44)	44.716471647164745	1.0629698268945646e-9	3	Kruskal-Wallis rank sum test	0	0	0	0.0085	2.2960148260922595e-7
Porphyromonadaceae (OTU 14)	39.409256041699614	1.4215308968568848e-8	3	Kruskal-Wallis rank sum test	0	0	0	0.042	1.5352533686054356e-6
Porphyromonadaceae (OTU 21)	36.43083421330514	6.071338928326409e-8	3	Kruskal-Wallis rank sum test	0	0	0	0.006500000000000001	3.278523021296261e-6
Porphyromonadaceae (OTU 87)	36.43852978453736	6.048628882950213e-8	3	Kruskal-Wallis rank sum test	0	0	0	0.004	3.278523021296261e-6
Porphyromonadaceae (OTU 6)	32.38899601491195	4.333055431601147e-7	3	Kruskal-Wallis rank sum test	0	0	0	0.0925	1.3853461115463898e-5
Porphyromonadaceae (OTU 8)	32.70739549839226	3.712436673269512e-7	3	Kruskal-Wallis rank sum test	0	0	0	0.0205	1.3853461115463898e-5
Porphyromonadaceae (OTU 10)	32.31590704551296	4.489547583715152e-7	3	Kruskal-Wallis rank sum test	0	0	0	0.1205	1.3853461115463898e-5
Porphyromonadaceae (OTU 40)	28.497676819824424	2.8553608829207646e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.0065	6.167579507108852e-5
Porphyromonadaceae (OTU 48)	28.497676819824424	2.8553608829207646e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.0045000000000000005	6.167579507108852e-5
Porphyromonadaceae (OTU 80)	28.497676819824424	2.8553608829207646e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	6.167579507108852e-5
Porphyromonadaceae (OTU 15)	27.309398302905656	5.070429066024697e-6	3	Kruskal-Wallis rank sum test	0	0	0	0.046	9.95647889328486e-5
Lachnospiraceae (OTU 49)	21.586379348385666	7.952146781076667e-5	3	Kruskal-Wallis rank sum test	0.0035	0.0025	0	0	0.0014313864205938
Lachnospiraceae (OTU 30)	21.177767441860453	9.669543187760117e-5	3	Kruskal-Wallis rank sum test	0.004	0	0	0	0.0016066317911970656
Lachnospiraceae (OTU 148)	20.909090909090924	1.0995319400163901e-4	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.001696420707453859
Butyricicoccus (OTU 56)	20.7618247752959	1.1797257329187272e-4	3	Kruskal-Wallis rank sum test	0.003	0	0	0	0.0016988050554029672
Porphyromonadaceae (OTU 25)	19.77309562398705	1.891482792372246e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.0045000000000000005	0.0024073800575428153
Bacteroidales (OTU 38)	19.7695354699316	1.8946972675105492e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.0165	0.0024073800575428153
Lachnospiraceae (OTU 33)	19.35364347468093	2.310174963298634e-4	3	Kruskal-Wallis rank sum test	0	0	0.0045000000000000005	0.004	0.002772209955958361
