genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Unclassified	18.971121057118495	7.96278622108757e-4	4	Kruskal-Wallis rank sum test	0	0.018000000000000002	0	0	0	0.030258587640132763
Anaeroplasma	15.033246603064429	0.00463275588063115	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.04384937080045243
Clostridiales Unclassified	14.534943853427889	0.00576965405269111	4	Kruskal-Wallis rank sum test	0.003	0.051500000000000004	5e-4	0.002	0.001	0.04384937080045243
Peptostreptococcaceae Unclassified	15.49517804154303	0.003777054148964594	4	Kruskal-Wallis rank sum test	0.002	0	0.001	0.015	0	0.04384937080045243
Porphyromonadaceae Unclassified	14.691129500580724	0.005386634316492379	4	Kruskal-Wallis rank sum test	0.1935	0.17149999999999999	0.001	5e-4	0.0015	0.04384937080045243
Clostridium XlVb	10.42774822695035	0.033806926845151276	4	Kruskal-Wallis rank sum test	0	0.003	0.0045000000000000005	0	0.006	0.16058290251446855
Firmicutes Unclassified	10.562350580601072	0.031948879180596884	4	Kruskal-Wallis rank sum test	0	0.0035	0	0	0	0.16058290251446855
Lactobacillus	10.440641818390015	0.033624530275598766	4	Kruskal-Wallis rank sum test	0.016	0.005	0.014	0.006	0.01	0.16058290251446855
Akkermansia	7.622029958677687	0.1064471242470267	4	Kruskal-Wallis rank sum test	0.0495	0.004	0.07250000000000001	0.07	0.0015	0.318143821728395
Bacteroides	7.20215679561794	0.12558308752436645	4	Kruskal-Wallis rank sum test	0.192	0.015	0.23249999999999998	0.0025	0.27	0.318143821728395
Blautia	7.286868816103725	0.12148309745710566	4	Kruskal-Wallis rank sum test	0	0	0.001	0.0015	0	0.318143821728395
Butyricicoccus	7.937055724803238	0.09391132707478957	4	Kruskal-Wallis rank sum test	0.004	5e-4	5e-4	0	0.0055	0.318143821728395
Coriobacteriaceae Unclassified	8.380681818181802	0.07858758620754568	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.318143821728395
