otu	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.12150000000000001	0.56	0.1665	0.487	0.29100000000000004	8.653862201200883e-4	0.23466163171284798	0.025576119241031113	0.0072810466173050545	0.23466163171284798	0.31062297450722953	0.13805650284821033	0.004995004995004995	0.8151866831102711	0.04891187244128421
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0	5e-4	0.0095	0.007	0.0055	0.62436103928875	0.007319428971284416	0.05523911820743616	0.043632227172346424	0.14970096165503344	0.62436103928875	0.08521282917502396	0.29895386325945356	0.62436103928875	0.8877554954190772
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.037000000000000005	0.0145	0.2515	0.191	0.10500000000000001	0.5973254128648737	0.0013553732229723225	0.015266638869164404	9.700571686015208e-4	0.015266638869164404	0.12834417157709113	0.07801084778661571	0.12834417157709113	0.014132052426407502	0.012186463937791435
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.081	0.0415	0.0225	0.015	0.0035	0.025082543140406116	0.06367848685201709	0.5089315242462978	0.0021243326690767723	0.17261503943576131	0.9148803166837335	0.0010773540185304892	0.025082543140406116	0.5726102937647687	0.01414189619975168
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0925	0.06472803856867074	0.04910641636586892	0.8934743310928511	0.017421715903965303	0.35033605786860617	0.3254686518248512	0.04910641636586892	0.001406691401850432	2.1395734433583694e-4	3.7428720563422607e-4
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.0545	0	0	0	0.0205	0.011882316061191	0.0030278740317981195	0.5581499492894467	0.03052753489815029	0.2983582038080981	0.4363395837183389	1	8.659541119330658e-4	8.984560732411311e-5	8.659541119330658e-4
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.0035	0.003	0.004	0.016	0.013	0.8933931812020974	0.6923444796119789	0.6923444796119789	0.03621841236983169	0.005136493405351636	0.0062065918857245935	0.28254074340656704	0.15559762826901552	0.2793634553514284	0.6923444796119789
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.0135	0	0	0	0.1205	0.02640154377499415	0.02448067464121056	0.38480076816867015	0.03248686840439679	0.4570153241958434	0.8072501679320072	0.11084144332894236	7.87432917311432e-4	2.1395734433583694e-4	7.785371327650785e-4
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.039	0.002	0	0.001	0	0.0019504488383918163	7.946213316788607e-6	0.002085902009014685	0.0019504488383918163	0.9727358298976125	0.009349808472140134	0.0019504488383918163	0.05177108869666473	0.5411391017721651	0.15271972799240816
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0	0	0.002	5e-4	0	0.25723253818580694	0.01309664616832515	0.10009005330407464	0.03516348470287392	0.27957619790869864	0.38496204263453265	0.12145732730839606	0.631335858909797	0.33094845554567315	0.642755659841566
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0.042	NA	0.502334954360502	0.502334954360502	NA	NA	0.502334954360502	1.6634098903869768e-4	3.907412997694597e-4	6.116260788689198e-5	1.6634098903869768e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0	0.046	0.3489460433980752	0.3869501162120984	0.5581499492894467	0.8939127831001539	0.3489460433980752	0.3869501162120984	0.039037131600827474	0.0011647123235836291	8.922275376921113e-5	0.039037131600827474
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.002	0.002	0.011	0.009999999999999998	0.009000000000000001	0.6298217075046242	0.06764157817211286	0.03555754787372346	0.03555754787372346	0.01878756667895405	0.6298217075046242	0.4319940346697683	0.3775540303571201	0.7890980830157539	0.4319940346697683
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.009999999999999998	0.009	0	0.0025	0	0.39260318881940803	0.004920362417812838	0.044330738647876504	0.072438373682817	0.3207416506362187	0.16683124698953505	0.004920362417812838	0.044330738647876504	0.5108474577046099	0.07498785946491511
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0	0.006500000000000001	NA	NA	NA	NA	NA	NA	6.281551806603452e-4	0.0012337333969834159	1.1795599385867558e-4	6.281551806603452e-4
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.011	0.0035	5e-4	0	0	0.0064750838269214215	0.0023277540229525657	0.32595407575177593	1.6059202344236639e-4	0.006241725218729736	0.021935652919692305	0.0023277540229525657	0.021935652919692305	0.052576741927599355	0.5556897902827946
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0	0.0045000000000000005	NA	0.3034399471999345	0.30750859871040553	NA	NA	0.3034399471999345	0.0077073283694267785	0.009449493082976837	0.0077073283694267785	0.0077073283694267785
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.0135	0	0	0	0	0.02222311553041613	4.845733118794259e-6	0.1525054112620747	6.995171761892093e-5	0.26518533270918015	0.8065952745208769	0.0023123445290680915	0.26518533270918015	0.700475001706545	0.6946122378534934
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.013	0.24507904871147107	0.0870361137628402	0.8803994601782463	0.4914397309766536	0.7482039377164328	0.5233351493390832	0.058530822537622026	0.0870361137628402	0.019911603101072217	0.058530822537622026
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0.008	0	5e-4	0.0075	0	0.009865630700548099	0.4642471753328984	0.0336777532760041	0.7923016507532274	0.01257861883128368	0.427862384228479	0.07348666184613674	0.12100156574992894	0.32866042575199506	0.11171844918729529
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.0035	0.004	0	0	0	1	0.008621494666888005	0.009326857070538284	3.689473771471122e-4	3.738083900992152e-4	0.1318769068141463	0.009326857070538284	0.010399451289283134	0.785746961473562	0.2435633107610868
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.02326467040922539	2.3183545060798566e-4	0.26372273275723535	0.03020846080849375	0.3383619650885804	0.02450818303229957	0.02326467040922539	0.5186050164287257	NA	0.2064573826622742
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0.0095	0.002	0	0.001	5e-4	0.04271405515436611	0.007835792495900119	0.2734372343801052	0.014901016786607959	0.6253883838694402	0.40071089580553204	0.04586440935141486	0.6253883838694402	0.7479647221522377	0.808143706019941
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.0025	0	0	0.0045000000000000005	0.004	0.0011692688258107627	0.0030942269248177153	0.27929701403150436	0.9244415654188717	0.0018067658134861679	0.0030942269248177153	0.9244415654188717	0.010449246880122687	0.0931001508738512	0.7134379850727174
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0	0.0478022651324061	0.012850134687434608	0.7474295171209487	0.012850134687434608	0.5675444137471419	0.6667778782655045	0.06519018662875016	0.6667778782655045	0.7092309392278767	NA
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.004	0	0	0	0	8.431573796268784e-4	1.1223756570691727e-4	0.586057446753919	4.3488237055494143e-4	NA	0.586057446753919	0.006649015604989411	NA	0.6304275015358904	NA
Bacteroidales (OTU 38)	Kruskal-Wallis rank sum test	0	0	0	0	0.0165	NA	0.3034399471999345	0.30750859871040553	NA	NA	0.3034399471999345	0.00773483694794201	0.009552870854920178	0.00773483694794201	0.00773483694794201
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0	0.0065	NA	NA	NA	NA	NA	NA	0.0033480401558377256	0.0054587833456686725	0.0010724463182766825	0.0033480401558377256
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.0011399494370579702	0.0011399494370579702	0.48605997462512285	3.655353796113059e-4	0.4504320744024936	0.1846276695398048	0.007404669014758248	0.776814004155482	0.776814004155482	0.3247510810147824
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	4.914094368725105e-5	1.0879247094579085e-6	NA	2.0023612015913054e-5	NA	NA	6.845208295056711e-4	NA	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0	0.0085	NA	NA	NA	NA	NA	NA	9.980992150246027e-5	2.362298751934296e-4	1.1006568659415068e-5	9.980992150246027e-5
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0.009548540571543087	4.3695759125456744e-5	0.2990676373948294	4.3695759125456744e-5	0.09578876418001515	0.2990676373948294	0.001972426393589498	0.2643483603172644	0.44453785376403143	NA
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.0015	0.002	0	0	0	1	0.07099269648220106	0.016844407321467546	0.07099269648220106	0.016844407321467546	1	0.20460731173886568	0.07419056934702739	1	1
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0.006	0	0	0	0	0.37472929460550397	0.005761983101083474	0.37472929460550397	0.037268477119026915	0.37472929460550397	0.9425378416084825	0.04724452941526331	0.37472929460550397	0.9274412785019349	0.9425378416084825
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0	0.0045000000000000005	NA	NA	NA	NA	NA	NA	0.0033480401558377256	0.0054587833456686725	0.0010724463182766825	0.0033480401558377256
Lachnospiraceae (OTU 49)	Kruskal-Wallis rank sum test	5e-4	0.0035	0.0025	0	0	0.05369675976651211	0.05369675976651211	0.9420774792113378	0.012505352671930045	0.0012806395407574875	0.0012806395407574875	0.0563185272540374	0.012505352671930045	0.012505352671930045	NA
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0085	0	0	0	0	0.0014115396066523536	0.0014083297168921557	0.5655092224596886	0.0014083297168921557	0.7806825819144116	0.7955532296346388	0.005577414497849934	0.5844131495074316	0.959042826789865	0.7955532296346388
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0.0035	0.001	0	0	0	0.14755169054833137	0.00440505142696977	0.23848918763377355	3.642276512502885e-4	0.05803627871685051	0.4067744834678951	0.003332036149818236	0.05803627871685051	0.23848918763377355	0.3830233046538268
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.0055	0	0	0	0	2.82713578730756e-4	1.2973194154899394e-4	0.586057446753919	1.2973194154899394e-4	NA	0.586057446753919	0.0029462056085621017	NA	0.6304275015358904	NA
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.0075	0.001	0	0	0	7.262539087103621e-4	5.441436411384756e-4	0.33276651057059997	3.0929476701545934e-4	0.126735957998175	0.6433026474125949	0.00169990265555446	0.05524467836688667	0.24780095384722137	0.27271433212534146
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.003	0.003	0	0	0	0.6600765777025142	1.3043241194795317e-4	1.3043241194795317e-4	0.07330344213766213	0.04357482062458219	0.012263798935687168	0.07330344213766213	0.06434318845117176	0.0374700746719089	0.8301610401121512
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.006	0	0	0	0	0.019560683663864927	1.158382295069252e-5	0.10856013172795491	1.5332640924609826e-4	0.16536377454801876	NA	0.006052958779030964	0.8113636638523745	0.15281408780685116	0.21920697968497813
Lachnospiraceae (OTU 58)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0.0646404979730951	0.017742593119673678	0.7474295171209487	0.017742593119673678	0.5675444137471419	0.6667778782655045	0.06494921862181835	0.6667778782655045	0.7092309392278767	NA
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0.02493911540103049	0.03850455693996114	0.8574033304393419	0.02493911540103049	0.8574033304393419	0.8574033304393419	0.025991228901072364	0.8574033304393419	0.8574033304393419	0.8574033304393419
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.43943653238968766	0.12403584160537759	0.5436497000310203	0.03626766806269859	0.2819298194403824	0.45197164829766123	0.03626766806269859	0.2510312349652571	0.28879208735340495	0.43943653238968766
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.005	0	0	0	0	0.004159447706810023	0.002232425953882951	0.9142491311438123	0.002232425953882951	0.7486023181378264	0.5289312923365128	0.004159447706810023	0.4631939290156721	0.4631939290156721	0.2752765102163656
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.03901928554432432	0.00540851874691872	0.9704247181218485	0.003629786102223728	0.25723253818580694	0.2578029623486016	0.055743886189718816	0.9704247181218485	1	0.2783580694412421
