otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Porphyromonadaceae (OTU 6)	43.620397022209985	8.790491578638138e-8	6	Kruskal-Wallis rank sum test	5e-4	0	0.147	0.219	0.244	0.001	0.1545	1.0831249479451236e-5
Porphyromonadaceae (OTU 8)	43.0442732672969	1.1431397867494709e-7	6	Kruskal-Wallis rank sum test	0	0	0.016	0.025	0.0305	0	0.026000000000000002	1.0831249479451236e-5
Porphyromonadaceae (OTU 21)	45.69387621327601	3.406427326520846e-8	6	Kruskal-Wallis rank sum test	0	0	0.068	0.0965	0.0655	0.001	0.037	1.0831249479451236e-5
Porphyromonadaceae (OTU 80)	43.16866823129931	1.0801349527121619e-7	6	Kruskal-Wallis rank sum test	0	0	0.004	0.009000000000000001	0.011	0	0.005	1.0831249479451236e-5
Porphyromonadaceae (OTU 44)	42.38537724150685	1.5431317739710233e-7	6	Kruskal-Wallis rank sum test	0	0	0.012	0.0175	0.013000000000000001	0	0.0085	1.1696938846700357e-5
Bacteroidales (OTU 38)	41.39964009546072	2.4153827903419084e-7	6	Kruskal-Wallis rank sum test	0	0	0.011	0.02	0.0165	0	0.0095	1.5257167958993054e-5
Bacteroides (OTU 1)	40.70154127308751	3.315288929731249e-7	6	Kruskal-Wallis rank sum test	0.539	0.6185	0.069	0.05	0.076	0.718	0.0795	1.5310974583472078e-5
Porphyromonadaceae (OTU 40)	40.49786117012811	3.6358514842018125e-7	6	Kruskal-Wallis rank sum test	0	0	0.018	0.022	0.0335	0	0.0195	1.5310974583472078e-5
Porphyromonadaceae (OTU 48)	40.90514656820692	3.0229553509777985e-7	6	Kruskal-Wallis rank sum test	0	0	0.014	0.0165	0.010499999999999999	0	0.013	1.5310974583472078e-5
Porphyromonadaceae (OTU 14)	39.93939498034572	4.681784629092051e-7	6	Kruskal-Wallis rank sum test	0	0	0.053	0.0535	0.059	0.001	0.047	1.7743963744258872e-5
