otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	1RM1	p.value.adj
Porphyromonadaceae (OTU 25)	49.94559303590867	3.7065595987042095e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.036	2.29806695119661e-8
Lachnospiraceae (OTU 125)	50.000000000000064	3.6108654048905424e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	2.29806695119661e-8
Porphyromonadaceae (OTU 190)	50.000000000000064	3.6108654048905424e-10	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	2.29806695119661e-8
Porphyromonadaceae (OTU 825)	50.00000000000002	3.6108654048906194e-10	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	2.29806695119661e-8
Porphyromonadaceae (OTU 44)	38.63447127393839	8.28887852013972e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.014	3.4260697883244176e-6
Porphyromonadaceae (OTU 48)	38.642515094732445	8.257242586955125e-8	4	Kruskal-Wallis rank sum test	0	0	0	0	0.014	3.4260697883244176e-6
Lachnospiraceae (OTU 30)	36.38483099927411	2.411370664412332e-7	4	Kruskal-Wallis rank sum test	0	0.007	0	0	0.005	8.543141782489406e-6
Porphyromonadaceae (OTU 80)	32.63999999999987	1.4153437877113272e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.001	3.5100525935240914e-5
Porphyromonadaceae (OTU 87)	32.63999999999987	1.4153437877113272e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.003	3.5100525935240914e-5
Bacteria (OTU 108)	32.65306122448968	1.4066610323313613e-6	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	3.5100525935240914e-5
Lachnospiraceae (OTU 46)	32.39981276660496	1.5848790822774111e-6	4	Kruskal-Wallis rank sum test	0	0.004	0	0	0.001	3.573181930952709e-5
Porphyromonadaceae (OTU 8)	31.475186947654706	2.4487418935653697e-6	4	Kruskal-Wallis rank sum test	0	0	0	0	0.02	5.0607332467017646e-5
