genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.011	0.001	0.001	0.0045000000000000005	0.008063308071926628	0.0020181461259479194	0.5081052018502192	0.039727229663395036	0.384034263587588	0.08222590846798326
Akkermansia	Kruskal-Wallis rank sum test	0.0025	0.138	0.1555	0.081	0.019183426752966505	0.008160270795584366	0.7805662957864961	0.18514018373901756	0.2856628786818782	0.22575953458306403
Alistipes	Kruskal-Wallis rank sum test	0	0	0	0.002	0.536101864250067	NA	0.5340986327149703	0.06474133807409291	0.039869884408533784	0.039869884408533784
Anaeroplasma	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.008924492061473732	0.014251643310532545	NA	0.06293645460621415	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.013999999999999999	NA	NA	NA	7.800425598315561e-4	2.441555728632825e-5	1.1228616169026781e-4
Butyricicoccus	Kruskal-Wallis rank sum test	0.001	0	0.002	0.001	0.0018880668016423765	0.7295471414896656	0.0018880668016423765	0.9426247231619743	0.0018880668016423765	0.7295471414896656
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.0325	0.002	0	0.018500000000000003	5.361936835901547e-4	5.361936835901547e-4	0.1639679738553084	0.12947052947052948	0.051490622040789864	0.021219413231155396
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.004	0	0	0.001	1.3863474180892668e-4	0.0012460036195135705	0.2790163132113637	0.15890699574693962	0.007406894192819498	0.05945174083991876
Oscillibacter	Kruskal-Wallis rank sum test	0.008	0.001	0	0.002	0.022591819139671336	5.372482289825575e-4	0.017325735173041062	0.2905786909307355	1	0.12850384164900586
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0115	0	0	0.0026048952206153904	0.3333965583948949	0.0026048952206153904	NA	0.005461628913548513	0.3455570234313006
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.351	0	0.075	0.4615	2.587952825712685e-4	0.03162190774973	0.10421044497590598	0.18115218115218118	5.453533018513624e-4	0.001415270570190272
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.032	0.0135	0.008	0.0135	0.03658075222439993	0.0014461491363879464	0.41204783990608135	0.03658075222439993	0.7118776491849252	0.5772529272945991
Unclassified	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	2.14382313456863e-5	3.550687006113228e-4	0.2790163132113637	0.025845620642028007	0.03304238860935658	0.26452366289443435
