otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Clostridiales (OTU 141)	9.11326137239789	0.0583299991193408	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16390729752534766
Ruminococcaceae (OTU 61)	8.68485048010971	0.06947797206327641	4	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0.16527810756661857
Lachnospiraceae (OTU 75)	8.864552556818131	0.06457564005910416	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 99)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Clostridium (OTU 145)	8.929181929181933	0.06289417718520897	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Lachnospiraceae (OTU 150)	8.73143990929703	0.06817417900047029	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 175)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 190)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 246)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Parabacteroides (OTU 275)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Turicibacter (OTU 299)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Lachnospiraceae (OTU 328)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Turicibacter (OTU 374)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Clostridium (OTU 389)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Clostridium_sensu (OTU 397)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 581)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 591)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 912)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Lactobacillus (OTU 966)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Porphyromonadaceae (OTU 1502)	8.666666666666822	0.06999321993034736	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.16527810756661857
Lachnospiraceae (OTU 64)	8.401274729110147	0.07793686708536877	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.0035	0.18250216375823855
Clostridium (OTU 22)	8.059188675470185	0.08943394190968193	4	Kruskal-Wallis rank sum test	0.0055	0	0.0085	0.0045000000000000005	0.003	0.207693699806782
Clostridium (OTU 126)	7.934160191983298	0.09401998298399605	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21655422310248268
Firmicutes (OTU 96)	7.8035714285713915	0.09904448918626076	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Lachnospiraceae (OTU 162)	7.801169590643234	0.09913921035775503	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Ruminococcaceae (OTU 219)	7.8035714285713915	0.09904448918626076	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Lachnospiraceae (OTU 220)	7.8035714285713915	0.09904448918626076	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Lachnospiraceae (OTU 238)	7.801169590643234	0.09913921035775503	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Akkermansia (OTU 264)	7.8035714285713915	0.09904448918626076	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.21764154773850908
Lachnospiraceae (OTU 151)	7.591216525193675	0.10775364645154228	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.23471918335568512
Lachnospiraceae (OTU 85)	7.388356241189227	0.11673427541644496	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2523256260924695
Lachnospiraceae (OTU 83)	7.267149061653592	0.12242631701771742	4	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.26260912276319537
Lachnospiraceae (OTU 36)	7.223946349278434	0.12451645680050585	4	Kruskal-Wallis rank sum test	0.002	5e-4	0	0	0	0.2650691239465314
Ruminococcaceae (OTU 147)	6.90476190476186	0.1410075345072902	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2956949044518548
Lachnospiraceae (OTU 183)	6.909090909090865	0.14077105534384735	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.2956949044518548
Ruminococcaceae (OTU 37)	6.731535679052943	0.15077392380108473	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.31383313028225784
Lachnospiraceae (OTU 26)	6.5093665966149175	0.1642011678654168	4	Kruskal-Wallis rank sum test	0	0.002	0.003	5e-4	0	0.336792176424687
Oscillibacter (OTU 119)	6.517765567765614	0.16367444503687298	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.336792176424687
Porphyromonadaceae (OTU 7)	6.349999306047104	0.17449043059703015	4	Kruskal-Wallis rank sum test	0.0175	0	0	0	0	0.35274684171054294
Lachnospiraceae (OTU 102)	6.350677643369118	0.17444542939472985	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0.001	0.35274684171054294
Akkermansia (OTU 200)	6.210548413625835	0.18396648809298663	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3692470225294946
Lachnospiraceae (OTU 76)	6.170972291208384	0.18673861570994174	4	Kruskal-Wallis rank sum test	0.001	0.003	0	0	5e-4	0.3721528440744229
Lachnospiraceae (OTU 152)	6.115476190476084	0.19068881960643405	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3747101979678879
Lachnospiraceae (OTU 239)	6.115476190476084	0.19068881960643405	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3747101979678879
Lachnospiraceae (OTU 74)	6.0398552798154475	0.19619156248057773	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3828460351183496
Ruminococcaceae (OTU 169)	5.9814814814814845	0.20053552261849955	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3863519384425302
Coriobacteriaceae (OTU 182)	5.978787878787839	0.20073801783846765	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3863519384425302
Lachnospiraceae (OTU 82)	5.905864271377487	0.20628954902088836	4	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0.39433580459094986
Ruminococcaceae (OTU 106)	5.616964285714128	0.2296379316154783	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.4360017485401987
Lachnospiraceae (OTU 222)	5.482142857142836	0.24130360176883514	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.45507592011438036
