otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Lachnospiraceae (OTU 287)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Bacteria (OTU 293)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 295)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Anaeroplasma (OTU 302)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Akkermansia (OTU 306)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Ruminococcaceae (OTU 335)	4.799999999999682	0.30844104118403715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 343)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 349)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 351)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Porphyromonadaceae (OTU 353)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Ruminococcaceae (OTU 357)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 430)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 437)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 503)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 509)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Akkermansia (OTU 512)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lactobacillaceae (OTU 515)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Coriobacteriaceae (OTU 528)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 530)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Porphyromonadaceae (OTU 547)	4.799999999999682	0.30844104118403715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 563)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 565)	4.799999999999682	0.30844104118403715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Porphyromonadaceae (OTU 577)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridiales (OTU 601)	4.799999999999682	0.30844104118403715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Akkermansia (OTU 606)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 607)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Ruminococcaceae (OTU 625)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Firmicutes (OTU 640)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Porphyromonadaceae (OTU 698)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 722)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Oscillibacter (OTU 752)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 775)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridiales (OTU 815)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 915)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1001)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Clostridiales (OTU 1081)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1160)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1254)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Bacillaceae_ (OTU 1302)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1345)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1602)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Porphyromonadaceae (OTU 1951)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 1992)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Firmicutes (OTU 2038)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 2272)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 2352)	4.799999999999682	0.30844104118403715	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 2429)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 3427)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 5213)	3.833333333333316	0.4290313632295182	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5152043293482675
Lachnospiraceae (OTU 121)	3.687557631013301	0.4499381820325018	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5380111878771617
Lachnospiraceae (OTU 205)	3.3758928571427766	0.4969981695173163	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5843367599764262
Akkermansia (OTU 324)	3.3758928571427766	0.4969981695173163	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5843367599764262
Terrisporobacter (OTU 363)	3.3758928571427766	0.4969981695173163	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5843367599764262
Romboutsia (OTU 428)	3.3758928571427766	0.4969981695173163	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5843367599764262
Clostridiales (OTU 226)	3.3470707070706798	0.50150903563401406	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5871834958881581
Clostridiales (OTU 199)	2.9761904761905535	0.5618177415523494	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6550654994863494
Lachnospiraceae (OTU 180)	2.8845029239765885	0.5773358509242732	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6703775789657883
Alistipes (OTU 18)	2.555952380952366	0.6346454531933954	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7220055560621218
Clostridiales (OTU 137)	2.5927309523810034	0.6281113427382107	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7220055560621218
Lachnospiraceae (OTU 160)	2.563994107744134	0.6332144735428804	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7220055560621218
Lachnospiraceae (OTU 167)	2.593081761006433	0.6280491478570481	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7220055560621218
Anaerotruncus (OTU 234)	2.555952380952366	0.6346454531933954	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7220055560621218
Lachnospiraceae (OTU 120)	2.4919422184185533	0.6460792425766507	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7259650400275154
Lachnospiraceae (OTU 144)	2.2222222222217747	0.6949629742612159	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7259650400275154
