otu	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Porphyromonadaceae (OTU 21)	44.556119571348034	5.733579890055545e-8	6	Kruskal-Wallis rank sum test	0	0	0	0	0.008	0.0185	0	1.2649710632435045e-6
Lachnospiraceae (OTU 73)	43.56848515333391	9.001163333015277e-8	6	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0.001	0.0035	1.8690650920908195e-6
Ruminococcaceae (OTU 98)	43.152437507878645	1.088155387191877e-7	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.0035	0	2.133993620437403e-6
Oscillibacter (OTU 45)	42.34810429069213	1.5695259534221262e-7	6	Kruskal-Wallis rank sum test	0.004	0	0	0	0	0	0.001	2.9160140082000553e-6
Porphyromonadaceae (OTU 122)	40.97250126017136	2.9320095722811675e-7	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006999999999999999	0	5.17499689507626e-6
Lachnospiraceae (OTU 116)	40.58074993743052	3.5018359764888246e-07	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	0.002	5.886419522383596e-6
Lachnospiraceae (OTU 110)	38.95240311806077	7.313015943686578e-7	6	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0.001	1.1734066491460737e-5
Lachnospiraceae (OTU 24)	38.23889295478101	1.008796387769261e-6	6	Kruskal-Wallis rank sum test	0.0085	0.0015	0.001	0	0	0.0015	0	1.5482831516632572e-5
Firmicutes (OTU 129)	37.938445867595995	1.1549181626245244e-6	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	1.698692130860238e-5
Lachnospiraceae (OTU 11)	37.6363424515514	1.323041842438344e-6	6	Kruskal-Wallis rank sum test	0.023	0.0075	0	0	0	0.001	0.010499999999999999	1.8681350815229415e-5
Enterobacteriaceae (OTU 2)	37.230373083895046	1.5878496765190377e-6	6	Kruskal-Wallis rank sum test	0.0015	0.0015	0.067	0.0555	0.0245	0.001	0	2.1558112915816165e-5
Bacteria (OTU 108)	37.14026083114704	1.653425975531339e-6	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	5e-4	2.1617013680094912e-5
Bacteria (OTU 43)	36.994788457728845	1.7650127270836718e-6	6	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0.002	2.2251767595019147e-5
Lachnospiraceae (OTU 20)	36.79749034448906	1.928396481757016e-6	6	Kruskal-Wallis rank sum test	0.010499999999999999	0.006500000000000001	0	0	0	0.002	0.009	2.3473239933111265e-5
Butyricicoccus (OTU 56)	35.91421500235894	2.8644962302588223e-6	6	Kruskal-Wallis rank sum test	0.002	0.0015	0	0	0	0	0.001	3.261829578326982e-5
Porphyromonadaceae (OTU 80)	35.94737020641467	2.822317185998255e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.006	0.002	3.261829578326982e-5
Porphyromonadaceae (OTU 15)	35.655931254053456	3.215237767541699e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0.008	0.052500000000000005	0	3.546809162319437e-5
Lachnospiraceae (OTU 31)	35.04093213914032	4.231519897643533e-6	6	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0.001	4.267790068194763e-5
Lachnospiraceae (OTU 63)	35.15324237979538	4.024672392205514e-6	6	Kruskal-Wallis rank sum test	0.0035	0	0	0	0	0.001	0.003	4.267790068194763e-5
Lachnospiraceae (OTU 81)	35.053499817717814	4.2078587156788285e-6	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.005	4.267790068194763e-5
Ruminococcaceae (OTU 52)	34.34275517282165	5.775963507588589e-6	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	5e-4	5.663653106052144e-5
Porphyromonadaceae (OTU 67)	33.93830472103003	6.914469996603585e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	6.25848181743863e-5
Clostridiales (OTU 173)	33.942857142857115	6.900491591453245e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	6.25848181743863e-5
Porphyromonadaceae (OTU 246)	33.95652173913041	6.858702041689668e-6	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	6.25848181743863e-5
Ruminococcaceae (OTU 92)	32.358286512541795	1.3929305147293291e-5	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	1.229261179248633e-4
Lachnospiraceae (OTU 41)	32.21243661595946	1.4856547773853008e-5	6	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	0	1.2486574676595505e-4
Lachnospiraceae (OTU 47)	32.23729489622767	1.4694294015529085e-5	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.007	0.007	1.2486574676595505e-4
Clostridiales (OTU 35)	31.17263086076878	2.3496049210574448e-5	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.0015	1.9288617142634374e-4
Porphyromonadaceae (OTU 175)	30.929292929292934	2.6149495515689536e-5	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	2.0979027084178198e-4
Lachnospiraceae (OTU 30)	30.84523928117359	2.7133359040258905e-5	6	Kruskal-Wallis rank sum test	5e-4	0.006500000000000001	0	0	0	0.001	0.004	2.128461275824754e-4
Ruminococcaceae (OTU 50)	30.504657631284925	3.150939422745231e-5	6	Kruskal-Wallis rank sum test	0.0025	0	0	0	0	0	0.001	2.418003513541449e-4
Lachnospiraceae (OTU 90)	29.548855994140403	4.7881364968425874e-5	6	Kruskal-Wallis rank sum test	0.0015	0	0	0.0015	0	0	0	3.5961961348626243e-4
Lachnospiraceae (OTU 62)	28.837800375398643	6.529063975030044e-5	6	Kruskal-Wallis rank sum test	0.0015	5e-4	0	0	0	0.0025	0.0045000000000000005	4.801582464970012e-4
Porphyromonadaceae (OTU 7)	28.11607801801858	8.934889954573458e-5	6	Kruskal-Wallis rank sum test	0	0.004	0	0	0	0.052500000000000005	0.059500000000000004	6.4367676611519e-4
Acetatifactor (OTU 79)	27.352695755271395	1.243526903589529e-4	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0	0.001	8.779299939342075e-4
Acetatifactor (OTU 55)	27.13884632115876	1.3638615473574525e-4	6	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0.0015	0.004	9.258521658022706e-4
Lachnospiraceae (OTU 128)	27.17191065659543	1.344531204248797e-4	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.001	9.258521658022706e-4
Porphyromonadaceae (OTU 190)	27.046795808307653	1.419134259386735e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	9.451969689877686e-4
Bacteroides (OTU 1)	25.998945757363543	2.227431480741422e-4	6	Kruskal-Wallis rank sum test	0.23299999999999998	0.5525	0.05450000000000001	0.628	0.3745	0.109	0.101	0.0014560802087068927
Lachnospiraceae (OTU 33)	25.903292074113242	2.3206944292651047e-4	6	Kruskal-Wallis rank sum test	0.003	0	0	0.001	0.001	5e-4	0.0035	0.0014894638791465126
Lachnospiraceae (OTU 49)	25.656634687237503	2.5793274266595705e-4	6	Kruskal-Wallis rank sum test	5e-4	0.003	0.001	0	0	0	0	0.001557225370384298
Lachnospiraceae (OTU 74)	25.677008559859505	2.55692889213465e-4	6	Kruskal-Wallis rank sum test	0.001	5e-4	0	0	0	0.001	0.002	0.001557225370384298
Clostridiales (OTU 97)	25.75643867121034	2.4714220451785887e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.0025	0.001557225370384298
Lachnospiraceae (OTU 125)	25.63553487158296	2.6027279561663906e-4	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.001557225370384298
Lachnospiraceae (OTU 84)	25.532474755163168	2.720067732572057e-4	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.002	0.0016003065159965603
Peptostreptococcaceae (OTU 12)	25.455793349453394	0.00028107428911911566	6	Kruskal-Wallis rank sum test	0	0	0.0055	0.002	0.0015	0	0	0.0016265446567057021
Lachnospiraceae (OTU 70)	25.394822162186074	2.88496160274807e-4	6	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0.0025	0.0016425668480162397
Ruminococcaceae (OTU 59)	25.326516512871358	2.9704039952169436e-4	6	Kruskal-Wallis rank sum test	0.002	0	0	0	0	5e-4	0	0.0016643692227167953
Lachnospiraceae (OTU 58)	25.172220071407136	3.1726971687874675e-4	6	Kruskal-Wallis rank sum test	0.003	0	0	0	0	0	0	0.0017499407821593375
Akkermansia (OTU 3)	25.104164649667705	3.266180950694379e-4	6	Kruskal-Wallis rank sum test	0.14800000000000002	0.006500000000000001	0.2565	0.11599999999999999	0.133	0.0195	0.004	0.001773787500915563
Lachnospiraceae (OTU 4)	24.862014848494635	3.621346740079532e-4	6	Kruskal-Wallis rank sum test	0.08499999999999999	0.03	0.003	0.006500000000000001	5e-4	0.0335	0.0505	0.0019368718170425375
Clostridiales (OTU 208)	24.678571428571342	3.915483079526595e-4	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.0020629336224968478
Lachnospiraceae (OTU 46)	23.800190346228266	5.683450774926658e-4	6	Kruskal-Wallis rank sum test	0.002	0.002	0	0	0	0	0.005	0.002950379593454574
Ruminococcaceae (OTU 65)	23.37073727706533	6.813583230857025e-4	6	Kruskal-Wallis rank sum test	0.001	0	0.0015	0	0	5e-4	0	0.003485789681873231
Clostridiales (OTU 107)	22.309859154929658	0.0010638494504386354	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.005289279662039976
Bacteroidales (OTU 334)	22.314285714285784	0.0010618814679896056	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.005289279662039976
Firmicutes (OTU 155)	21.93277310924381	0.0012453093621474234	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0061054750671950065
Lachnospiraceae (OTU 64)	21.75697310603718	0.0013399624911581286	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.006999999999999999	0.0064795446490249235
Ruminococcaceae (OTU 101)	21.574638232967423	0.0014455778171063038	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0	0.006895796884304395
Lachnospiraceae (OTU 32)	21.514732264521214	0.0014820256696775162	6	Kruskal-Wallis rank sum test	0.004	0.002	0	0	0	0.002	0.008	0.00697540081861551
Ruminococcaceae (OTU 106)	21.407457326554017	0.0015495558750164588	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0	0.007197279261589604
Lachnospiraceae (OTU 140)	21.084730593607425	0.0017713982617436758	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.008120825797344383
Lachnospiraceae (OTU 29)	20.882230550365648	0.001926163501787782	6	Kruskal-Wallis rank sum test	0.0055	0	5e-4	0.0015	0	0.0015	0.004	0.008717124565783167
Lachnospiraceae (OTU 34)	20.84760145881151	0.001953922187444066	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.00873081686288298
Ruminococcaceae (OTU 118)	20.794290910681003	0.0019974223845405457	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.008813626271785157
Ruminococcaceae (OTU 147)	19.990062934746568	0.00278069671106323	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.012118344925991608
Porphyromonadaceae (OTU 194)	19.353233830845816	0.0036068602055029817	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.015527093323689664
Ruminococcaceae (OTU 60)	18.893909280640234	0.004346606400557265	6	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.001	0.018051200698784877
Ruminococcaceae (OTU 61)	18.900949265579687	0.0043342260565849685	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.001	0.018051200698784877
Lachnospiraceae (OTU 75)	18.91274192799471	0.004313564594088	6	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.0015	5e-4	0.018051200698784877
Lachnospiraceae (OTU 148)	18.655096626151728	0.0047875638062839666	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.019651279344398143
Clostridium (OTU 51)	18.565129068764644	0.004964717831016599	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.0025	0.02014419993504436
Lachnospiraceae (OTU 82)	18.28994740303516	0.005547018065849775	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0.001	0.0015	0.02225110655960194
Lachnospiraceae (OTU 77)	17.94165852566917	0.006379659301958967	6	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.002	0.025303592512264217
Lachnospiraceae (OTU 131)	17.302521008403414	0.008233433919690196	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03172464906616989
Clostridiales (OTU 154)	17.291925465838563	0.00826818049316609	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03172464906616989
Ruminococcaceae (OTU 219)	17.291925465838563	0.00826818049316609	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.03172464906616989
Turicibacter (OTU 5)	17.122972706613936	0.008841769452748335	6	Kruskal-Wallis rank sum test	0.0055	0.0345	0.056499999999999995	0.026	0.019	0.025	0.012499999999999999	0.03356069480451787
Lachnospiraceae (OTU 17)	16.82341680140532	0.009954598700313804	6	Kruskal-Wallis rank sum test	0.002	0.0025	0.014	0.0015	0.003	0.0015	0.004	0.03738269511926354
Clostridium (OTU 126)	16.71432346345578	0.010392525630457112	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	5e-4	0.0386164373426459
Lachnospiraceae (OTU 68)	16.58519310469282	0.010934921697655274	6	Kruskal-Wallis rank sum test	0	0	0.002	5e-4	0	0	0.0015	0.04020861832575325
Pseudoflavonifractor (OTU 69)	16.097578666426617	0.013239696709089201	6	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0	0	0.0025	0.04818157668359266
Ruminococcaceae (OTU 37)	16.020684912000004	0.013643373053992332	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.04914398661284993
Lachnospiraceae (OTU 71)	15.945682589208287	0.014048499477638232	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.050092124400063595
Clostridiales (OTU 115)	15.72543350628802	0.015306059465950822	6	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	5e-4	0.001	0.054030389914806395
Lachnospiraceae (OTU 133)	15.513923159185229	0.016614913177987106	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.058069944077519295
Bacteroides (OTU 237)	15.315419501133805	0.017940339102787202	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06208764414984198
Lachnospiraceae (OTU 121)	15.225252675276108	0.01857527723892807	6	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	5e-4	5e-4	0.06366090160525834
Lachnospiraceae (OTU 243)	15.140786749482203	0.019189524777974486	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.06513367544831725
Ruminococcaceae (OTU 153)	15.072624201195625	0.019699320950807772	6	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.06622724091081089
Clostridiales (OTU 91)	14.815263802179004	0.02174325058826133	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	5e-4	0.07240912695902121
Anaeroplasma (OTU 89)	14.768568904872438	0.022135154313589627	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.07302532217473962
Firmicutes (OTU 96)	14.564576285887748	0.02392756916511473	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.07820770291931019
Lachnospiraceae (OTU 161)	14.047665354634605	0.02910822390456526	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.09426791778267464
Lachnospiraceae (OTU 123)	13.902012882447794	0.030750093711105812	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.09867984618200319
Lachnospiraceae (OTU 36)	13.453955940922075	0.03636750928501377	6	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0	5e-4	0.11565523223071945
Clostridiales (OTU 141)	13.330292162966467	0.03808063646958559	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12002200601574743
Blautia (OTU 132)	13.09414027232272	0.041565113198153904	6	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	0	0.12984499963671087
Clostridiales (OTU 179)	12.781958920907531	0.04663212752889959	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14190638808363412
Lachnospiraceae (OTU 185)	12.783673469387862	0.04660278283303673	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14190638808363412
Clostridiales (OTU 214)	12.788819875776504	0.046514805231962664	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.14190638808363412
Lachnospiraceae (OTU 103)	12.687124298553602	0.04828241699720503	6	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0.002	0.14567259145310577
Lachnospiraceae (OTU 72)	11.856951644835283	0.06523718688256495	6	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	5e-4	0.16164186850750695
Oscillibacter (OTU 119)	11.445868067938086	0.07553583293211916	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0.16164186850750695
Lachnospiraceae (OTU 149)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Streptococcus (OTU 166)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 180)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 189)	11.037815126050468	0.08721471769018041	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Acetatifactor (OTU 206)	11.167388167388223	0.08333883143026516	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 211)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Clostridiales (OTU 226)	11.01731092436965	0.08784288848532112	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Fusobacterium (OTU 231)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Akkermansia (OTU 250)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Clostridiales (OTU 251)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 253)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 258)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Akkermansia (OTU 264)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Acidaminococcus (OTU 267)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Firmicutes (OTU 270)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 271)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 272)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 276)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Alistipes (OTU 277)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 278)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Turicibacter (OTU 299)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 312)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 314)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 316)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Akkermansia (OTU 324)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 328)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 330)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Erysipelotrichaceae (OTU 344)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 353)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 355)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Bacteroides (OTU 361)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 362)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 372)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Bacteria (OTU 390)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Blautia (OTU 398)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 410)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Lachnospiraceae (OTU 417)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Clostridium (OTU 424)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Subdoligranulum (OTU 469)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 470)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 473)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 497)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 508)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 542)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 570)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Clostridium (OTU 572)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 588)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 589)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 610)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 615)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 618)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Sutterella (OTU 628)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
Porphyromonadaceae (OTU 655)	10.999999999999673	0.08837643235679558	6	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.16164186850750695
