genus	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-M1
Acetatifactor	Kruskal-Wallis rank sum test	0	0.0025	0	0.002	0.002	0.001	0	0.005	0	0.048806928284278565	0.4796475671594299	0.08919859221703469	0.027367899191951556	0.7251557745436074	0.08919859221703469	0.08919859221703469	0.5953184619962333	0.2279462122634492	0.773479085540932	0.08919859221703469	0.4633242828600558	0.34276450182352874	0.4633242828600558	0.925839861447589	1	0.42642132635111224	0.773479085540932	0.3345877511627714	0.4633242828600558	0.4633242828600558	0.027367899191951556	0.4633242828600558	0.048806928284278565	0.17784714946045824	0.2279462122634492	0.1801108693488234	0.372953336710136	1	0.08919859221703469	0.6726683639474396	0.0640810423364119	0.17784714946045824	0.13251759961683007	1	0.08919859221703469
Akkermansia	Kruskal-Wallis rank sum test	0	0.003	0.1075	0.008	0.0015	5e-4	0.038	0.0025	5e-4	0.10777162602930465	0.10777162602930465	0.10777162602930465	0.005004381079145256	0.10777162602930465	0.20470269796394513	0.10777162602930465	0.7512526406626362	0.19021336137021663	0.10777162602930465	0.5863108932377422	0.5249362429245815	0.16821976951745887	0.10777162602930465	0.4843265968312474	0.2440674022793441	0.20731167034259057	0.7341008773337917	0.35531910264184585	0.4728323420053654	0.3045397961030909	0.10777162602930465	0.8117949109745827	0.25387270034095805	0.10777162602930465	0.8117949109745827	0.680307101842294	0.3107944472584466	0.7659824919993022	0.10777162602930465	0.12528673832943815	0.005004381079145256	0.12528673832943815	0.7512526406626362	0.25387270034095805	0.12528673832943815
Alistipes	Kruskal-Wallis rank sum test	0	0.101	0	0.084	0.067	0.034	0	0.1225	0	0.006057032413188357	0.288599580093863	0.002393031249636435	0.005980129329307243	0.5201940161729072	0.002393031249636435	0.014220365241614756	0.3956043956043956	0.004153955454848084	0.8067274486668561	0.01723588100854017	0.288599580093863	0.0037980667849961663	0.4131859859651954	0.704069157247464	0.7260612163530403	0.288599580093863	1	0.288599580093863	0.35457302059801155	0.3956043956043956	0.009460224818940283	0.6675404433750424	0.0037980667849961663	0.24372835094696504	0.2441296364206019	0.24372835094696504	0.3956043956043956	0.5201940161729072	0.004153955454848084	0.9219773065888001	0.005314151694073142	0.009460224818940283	0.01723588100854017	1	0.006922459898928928
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	5e-4	0	0.002	0	0.08570116148194892	NA	0.08354497973790986	0.08570116148194892	1	0.08354497973790986	0.08354497973790986	0.8880925659543416	0.08354497973790986	0.8880925659543416	0.08570116148194892	0.9829520898102015	0.08354497973790986	0.9829520898102015	0.976972527769701	NA	0.664688690237606	NA	0.664688690237606	0.66386371147361245	0.7212489528109258	0.03300512489359352	0.1437946924786761	0.03300512489359352	0.1437946924786761	0.241149026656079	0.25462527529403745	0.4627673720080847	NA	0.08570116148194892	NA	0.08570116148194892	0.08354497973790986	0.08570116148194892	NA	0.03300512489359352
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0.015	0	0.012	0.02	0.0165	0	0.0095	0	6.503589951664351e-4	0.4400265246633956	2.505528150313871e-4	6.031001756482833e-4	0.9188671013690379	2.505528150313871e-4	7.808841340086528e-4	0.5742437957145385	4.3970111565329583e-4	0.5668917968366673	0.003220930862946635	0.8635347644210492	7.808841340086528e-4	0.9408338207603697	1	1	0.24680537091125385	NA	0.24680537091125385	0.24680537091125385	0.32963047436501913	0.003220930862946635	0.2684617939258923	7.808841340086528e-4	0.24680537091125385	0.06736152265261988	0.5083647576280883	0.43478260869565216	1	7.546448595015611e-4	0.4400265246633956	6.559267784438259e-4	7.808841340086528e-4	0.005902927536022602	1	0.007084982720846314
Bacteroides	Kruskal-Wallis rank sum test	0.5405	0.0625	0.619	0.069	0.05	0.076	0.718	0.0805	0.31	3.639829709961899e-4	0.18747388893643208	1.0179255548213241e-4	6.040729332261719e-4	0.9424984495031384	8.534562310306018e-6	0.001123876123876124	0.18533141021727584	5.567188229726929e-5	0.18533141021727584	0.008597005287273097	1	0.001123876123876124	0.9424984495031384	0.3756980914350766	0.39707825523446955	0.18533141021727584	0.6136363636363635	0.18533141021727584	0.23076923076923078	0.3673469387755102	0.008597005287273097	0.3636129849991898	0.001123876123876124	0.5873285037294279	0.16612798965740144	0.6422668240850059	0.3673469387755102	0.05722856368788248	0.0290529664493334	0.014359971579222917	0.024937991070714184	0.021909978566325317	0.12552153728624318	0.31999999999999995	0.12552153728624318
Bifidobacterium	Kruskal-Wallis rank sum test	0.0335	0.0015	0	0.008	0.0025	0	0.016	0	0.0635	0.00178279158542812	0.0010500848316914377	0.003965926956213838	0.08091528992969935	0.01991844681991149	0.0010500848316914377	0.00998483484989626	0.19621526116126803	0.00178279158542812	0.24494563907959613	0.01425631164534391	0.13446527277087153	0.27704227382305907	0.01397582667390157	0.06638128164538333	0.8458148386257579	0.19621526116126803	0.010623662059007603	0.27704227382305907	0.3014213643681637	0.17134663808609793	0.006396258492374948	0.08398834979219484	0.11363625305210719	0.010561646807635404	0.0165595737171948	0.7733104807328735	0.20981156755200428	0.24829127093278386	0.0010500848316914377	0.0010500848316914377	0.00178279158542812	0.0018960155343477187	0.006396258492374948	0.47058823529411764	0.006396258492374948
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0.0175	0.001	0.017	0.0095	0.01	0	0.0325	0	4.2775043859073205e-4	0.06159626516856231	4.1841833161736545e-4	6.162499704440977e-4	0.9587946249961927	4.1841833161736545e-4	0.0030695374051668547	0.04742729055958814	0.007111304157407272	0.03745540717719834	0.0044824489799638	0.1482185875440855	0.005998027689929703	0.1482185875440855	0.6248284039379228	1	0.162064029135336	0.4699239815929775	0.16827109747674038	0.2379174327688771	0.3428571428571428	0.0044824489799638	0.01726673049716365	0.0044824489799638	0.011752615926462305	0.009866232708666338	0.005998027689929703	0.3428571428571428	0.6042307257479718	0.0011698450401160557	0.2845108442013538	0.001434995661426029	0.009866232708666338	0.011752615926462305	0.8374048125253668	0.005203947407711694
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0	0.001	0.002	0.002	0	0.04647061762462559	0.7341360464466257	0.17347622141164531	0.04647061762462559	0.9837433632400913	0.18477099864909488	0.3148544643501457	0.4244627649178547	0.6950540918338882	0.5295255283418364	0.043861226561802164	0.963723548467968	0.15215231674619084	0.9837433632400913	0.45493173176405594	0.18477099864909488	0.6950540918338882	0.4925055914301062	0.5805468788369699	0.6950540918338882	0.5243622091849474	0.043861226561802164	0.40013835720763163	0.15215231674619084	0.2785430150328507	0.2533205519775418	0.3205294627605699	1	1	0.09406191529799968	0.7341360464466257	0.10033989241812506	0.45493173176405594	0.07984822606427894	0.36979519793120036	0.07984822606427894
Clostridium XlVb	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.0015	0.0015	0	0.0035	0	0.0966439582837542	1	0.0966439582837542	0.0346549749866571	0.2590595002820787	0.0346549749866571	0.06984281323417654	0.4846084719404047	0.0966439582837542	0.7532084543478333	0.0966439582837542	0.502947428369614	0.10528893563897786	1	1	1	0.4846084719404047	1	0.38164945546175766	0.4846084719404047	0.5818469747346806	0.0346549749866571	0.0346549749866571	0.0346549749866571	0.24870770411659174	0.0966439582837542	0.38164945546175766	0.372953336710136	1	0.14946523728749397	1	0.055660990618219844	0.12121430706507946	0.14946523728749397	1	0.0346549749866571
