genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Bacteroides	68.9848666095043	7.824111731804055e-12	8	Kruskal-Wallis rank sum test	0.586	0.001	0.515	0.011	0.003	0.002	0.012	0.722	0.5275000000000001	1.9560279329510137e-10
Enterobacteriaceae Unclassified	69.83622009457744	5.297538193920353e-12	8	Kruskal-Wallis rank sum test	0.177	0.674	0.002	0.512	0.843	0.7484999999999999	0.8835	0.14700000000000002	0.0395	1.9560279329510137e-10
Peptostreptococcaceae Unclassified	64.38595451096641	6.382041262084026e-11	8	Kruskal-Wallis rank sum test	0.016	0.139	0	0.08	0.020999999999999998	0.0905	0.003	0.0015	0	1.0636735436806712e-9
Lactobacillus	61.225275095019924	2.6783082499080506e-10	8	Kruskal-Wallis rank sum test	0.025	0.136	0.0225	0.223	0.0965	0.14450000000000002	0.051500000000000004	0.0215	0.0195	3.3478853123850633e-9
Butyricicoccus	46.44483720565949	1.95617973074708e-7	8	Kruskal-Wallis rank sum test	0	0	0.0025	0	0	0	0	0	0	1.3972712362479143e-6
Olsenella	46.69826326251975	1.750459335185223e-7	8	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	0	1.3972712362479143e-6
Turicibacter	46.94372091204187	1.5717350402486712e-7	8	Kruskal-Wallis rank sum test	0.07	0	0.0315	0	0	0	0	0.041999999999999996	0.019	1.3972712362479143e-6
Chitinophagaceae Unclassified	43.499999999999666	7.070846115277015e-7	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0	4.419278822048134e-6
Porphyromonadaceae Unclassified	40.79578588753723	2.276112648832815e-6	8	Kruskal-Wallis rank sum test	0	0.001	0	0.005	0	5e-4	0.002	0.0375	0.348	1.2645070271293416e-5
Lachnospiraceae Unclassified	39.31324990901714	4.299358666415052e-6	8	Kruskal-Wallis rank sum test	0.046	0.003	0.11049999999999999	0.002	0.0025	0	0.001	0.035	0.023	2.1496793332075257e-5
