genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Clostridiales Unclassified	12.880545617173519	0.011874461320278489	4	Kruskal-Wallis rank sum test	0.01	0.020999999999999998	0.002	0.002	0.0025	0.633154957037539
Pseudoflavonifractor	12.094531974050046	0.016661972553619446	4	Kruskal-Wallis rank sum test	0.007	0.003	0.009	0	0	0.633154957037539
Acetatifactor	4.970598591549287	0.2903275896353802	4	Kruskal-Wallis rank sum test	0.018000000000000002	0.021	0.069	0.0105	0.010499999999999999	0.702801347233586
Acidaminococcus	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Actinobacillus	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Aerococcus	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Aestuariispira	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Akkermansia	5.3431079894644515	0.2538684675251338	4	Kruskal-Wallis rank sum test	0.007	0.077	0.04	0.05	0.005	0.702801347233586
Alloprevotella	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Anaeroplasma	6.253124999999997	0.18102542932857135	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0.702801347233586
Bacteroidales Unclassified	5.433962264150949	0.24559552172610866	4	Kruskal-Wallis rank sum test	0.002	0.016	0	0.0075	0.001	0.702801347233586
Bacteroides	8.05263157894737	0.08966914749923365	4	Kruskal-Wallis rank sum test	0.122	0.089	0.069	0.132	0.1785	0.702801347233586
Bacteroidetes Unclassified	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Barnesiella	2.9166666666666745	0.5718664923800099	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Bilophila	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Brachybacterium	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Bradyrhizobium	2.9166666666666745	0.5718664923800099	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Burkholderia	8.09689655172415	0.08809254653912367	4	Kruskal-Wallis rank sum test	0	0	0	0.0015	0	0.702801347233586
Butyricicoccus	7.765714285714282	0.1005473403407189	4	Kruskal-Wallis rank sum test	0.005	0.001	0.009	0	5e-4	0.702801347233586
Butyrivibrio	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Carnobacteriaceae Unclassified	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Clostridium IV	3.300657894736858	0.5088280269843509	4	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.702801347233586
Clostridium sensu stricto	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Clostridium XI	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Clostridium XlVb	4.57332942555685	0.3339408400404293	4	Kruskal-Wallis rank sum test	0	0.004	0	0.0035	0.001	0.702801347233586
Collinsella	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Coriobacteriaceae Unclassified	5.109333333333329	0.27626205959558275	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.702801347233586
Corynebacterium	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Curvibacter	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Cystobacter	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Dialister	9.367826086956525	0.05253513307173097	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.702801347233586
Dorea	3.7499999999999996	0.4408955296791695	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Enterobacteriaceae Unclassified	3.569999999999993	0.46731481488551874	4	Kruskal-Wallis rank sum test	0.035	0.064	0.008	0.124	0.07550000000000001	0.702801347233586
Enterorhabdus	3.2222797927461264	0.5213399115942504	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.702801347233586
Erysipelotrichaceae Unclassified	8.798317094774147	0.06634310577625056	4	Kruskal-Wallis rank sum test	0.001	0.009	0.001	0.014	0.002	0.702801347233586
Firmicutes Unclassified	6.330307467057083	0.1758013617435147	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.702801347233586
Flavobacteriaceae Unclassified	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Flavonifractor	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Fusicatenibacter	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Janthinobacterium	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Lachnospiraceae Unclassified	4.5165935030728805	0.3405844516949606	4	Kruskal-Wallis rank sum test	0.372	0.293	0.672	0.2615	0.42400000000000004	0.702801347233586
Lactobacillus	3.530465320456545	0.4732611711255839	4	Kruskal-Wallis rank sum test	0.016	0.016	0.006	0.0245	0.0095	0.702801347233586
Mannheimia	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Mucispirillum	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Neisseriaceae Unclassified	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Oscillibacter	4.614516129032249	0.32918393953231784	4	Kruskal-Wallis rank sum test	0.004	0.004	0.024	0.006	0	0.702801347233586
Parasutterella	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Pasteurellaceae Unclassified	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Peptostreptococcaceae Unclassified	7.556997219647818	0.10922206113575257	4	Kruskal-Wallis rank sum test	0.001	0.003	0	0.041999999999999996	0	0.702801347233586
Porphyromonadaceae Unclassified	9.374934152765594	0.05238148546612361	4	Kruskal-Wallis rank sum test	0.057	0.201	0.015	0.099	0.0195	0.702801347233586
Prevotella	4.529647058823537	0.33904656629646146	4	Kruskal-Wallis rank sum test	0.002	0	0	0	5e-4	0.702801347233586
Proteus	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Pseudomonas	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Roseburia	2.7999999999999634	0.5918327134598619	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.702801347233586
Ruminococcaceae Unclassified	9.106860158311347	0.058483283950068236	4	Kruskal-Wallis rank sum test	0.022	0.032	0.041	0.0145	0.0695	0.702801347233586
