otu	statistic	p.value	parameter	method	WM	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Bacteroides (OTU 1)	50.98254681695161	9.260502358851096e-9	7	Kruskal-Wallis rank sum test	0.586	0.515	0.011	0.003	0.002	0.012	0.721	0.5275000000000001	8.902077563469625e-7
Enterobacteriaceae (OTU 2)	50.195829554995754	1.3220907272479643e-8	7	Kruskal-Wallis rank sum test	0.177	0.002	0.511	0.843	0.7484999999999999	0.881	0.14700000000000002	0.0395	8.902077563469625e-7
Porphyromonadaceae (OTU 8)	51.48537454060423	7.373613479871065e-9	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	5e-4	0.013	0.0235	8.902077563469625e-7
Lactobacillus (OTU 9)	46.39984577642003	7.307472060579978e-8	7	Kruskal-Wallis rank sum test	0.007	0.005	0.195	0.086	0.1315	0.038	0.0015	0.006	2.952218712474311e-6
Lachnospiraceae (OTU 49)	46.73435318580119	6.289100481241841e-8	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.952218712474311e-6
Lachnospiraceae (OTU 20)	42.79872792322105	3.647797951982627e-7	7	Kruskal-Wallis rank sum test	0	0.010499999999999999	0.001	0	0	0	0	0	1.2280919771674843e-5
Peptostreptococcaceae (OTU 12)	38.65533682767163	2.2737384333778317e-6	7	Kruskal-Wallis rank sum test	0.016	0	0.08	0.020999999999999998	0.0905	0.003	0.0015	0	6.561359479176029e-5
Lachnospiraceae (OTU 30)	37.97041070221788	3.069674749477068e-6	7	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0	0	6.889714437715196e-5
Erysipelotrichaceae (OTU 39)	38.183319454231025	2.7964422150218864e-6	7	Kruskal-Wallis rank sum test	0.001	0.0115	0	0	0	0	0	0.0055	6.889714437715196e-5
Porphyromonadaceae (OTU 6)	37.05452714676981	4.5804116327733335e-6	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.001	0.0195	0.14300000000000002	9.252431498202134e-5
Porphyromonadaceae (OTU 14)	36.11453261084722	6.897290313613909e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.0075	1.2665933121363724e-4
Butyricicoccus (OTU 56)	35.430550401978955	9.281683248187674e-6	7	Kruskal-Wallis rank sum test	0	0.0025	0	0	0	0	0	0	1.442230781641469e-4
Lachnospiraceae (OTU 120)	35.59001797971047	8.66152810869412e-6	7	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.0025	0	1.442230781641469e-4
Porphyromonadaceae (OTU 7)	34.66698618550886	1.2916799935869638e-5	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.05600000000000001	1.8637097050326192e-4
Lachnospiraceae (OTU 62)	33.87838070628767	1.8151075963113427e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	2.4443448963659415e-4
Lachnospiraceae (OTU 16)	32.41222763430941	3.405635717479172e-5	7	Kruskal-Wallis rank sum test	0.005	0.0025	0	0	0	0	0.017	0.001	4.299615093317454e-4
Alistipes (OTU 18)	32.18476190476194	3.7534331833815177e-5	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0.001	0	0	4.459961782606274e-4
Turicibacter (OTU 5)	32.04570104750609	3.983116238350888e-5	7	Kruskal-Wallis rank sum test	0.07	0.0315	0	0	0	0	0.041999999999999996	0.019	4.4699415563715516e-4
Lachnospiraceae (OTU 4)	31.61919925835797	4.7777417858492016e-5	7	Kruskal-Wallis rank sum test	0	0.0195	0.001	0	0	5e-4	0	0	5.079493898639678e-4
Lachnospiraceae (OTU 32)	30.586728763181256	7.408731499997143e-5	7	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0	0	0	7.198988331110706e-4
Olsenella (OTU 114)	30.562841169634705	7.484096779867567e-5	7	Kruskal-Wallis rank sum test	0	0.002	0	0	0	0	0	0	7.198988331110706e-4
Clostridium (OTU 268)	29.999999999999712	9.495972508135335e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	7.377640179397453e-4
Chitinophagaceae (OTU 523)	29.999999999999712	9.495972508135335e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.377640179397453e-4
Lachnospiraceae (OTU 990)	29.999999999999712	9.495972508135335e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.377640179397453e-4
Ruminococcaceae (OTU 1700)	29.999999999999712	9.495972508135335e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0	7.377640179397453e-4
Bacteroidales (OTU 4703)	29.999999999999712	9.495972508135335e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	7.377640179397453e-4
Porphyromonadaceae (OTU 10)	29.62331201517228	1.1131599632320842e-4	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.001	0.059000000000000004	8.328085650847445e-4
Lachnospiraceae (OTU 75)	28.023084797117406	2.1778450892955727e-4	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.004	0.0015711596715632346
Lachnospiraceae (OTU 74)	27.76798825256982	2.4222533608759132e-4	7	Kruskal-Wallis rank sum test	0	5e-4	0	0	0	0	0	0	0.0016872247548170155
Lachnospiraceae (OTU 11)	26.405719233147785	4.261306724748666e-4	7	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0	0	0	0	0.002869279861330768
Lachnospiraceae (OTU 24)	25.595446635137133	5.947256354379251e-4	7	Kruskal-Wallis rank sum test	0	0.009999999999999998	0	0	0	0	0	0	0.0038753089793051895
Bifidobacterium (OTU 28)	24.74521824029404	8.418722724815182e-4	7	Kruskal-Wallis rank sum test	0	0	0.004	0.002	0	5e-4	0.008	0.007	0.005314318720039584
Lachnospiraceae (OTU 17)	23.8183155239351	0.0012262133074329058	7	Kruskal-Wallis rank sum test	0.019	0.0035	0	0	0	0	0.0025	0.004	0.007505911760649908
Clostridium_sensu (OTU 53)	23.17377049180366	0.001589783144700507	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.009445182212632424
Porphyromonadaceae (OTU 25)	22.4214460954497	0.002148278246201232	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.012398634449504254
Lachnospiraceae (OTU 104)	22.298316656243436	0.002256299164933515	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.004	5e-4	0.012660345314349166
Lachnospiraceae (OTU 46)	21.848521038744536	0.0026977218664732644	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Lachnospiraceae (OTU 76)	21.84548736462086	0.002700967136232738	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Lachnospiraceae (OTU 77)	21.84548736462086	0.002700967136232738	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Lachnospiraceae (OTU 88)	21.851555555555482	0.0026944794906397676	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Lachnospiraceae (OTU 102)	21.851555555555482	0.0026944794906397676	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Lachnospiraceae (OTU 110)	21.848521038744536	0.0026977218664732644	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.012990365750452692
Dorea (OTU 134)	21.49360225819014	0.003104316884148863	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.014583070013908612
Lachnospiraceae (OTU 70)	21.22122795666818	0.0034561545926489784	7	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0	0	0	0.0158668915389794
Clostridiales (OTU 91)	20.67347148882468	0.00428471704292502	7	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0	0.01923361872601898
Porphyromonadaceae (OTU 15)	20.103373015873043	0.005350674611669393	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.0230246012282657
Ruminococcaceae (OTU 153)	20.100229885057416	0.005357209196675683	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.0230246012282657
