genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Olsenella	1.9113817013358914	0.38454638863527685	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Peptoniphilus	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Porphyromonadaceae Unclassified	2.1119060569678645	0.3478607480800646	2	Kruskal-Wallis rank sum test	0.003	0.006	NA	0.003	0.5138903631339715	6
Porphyromonas	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Proteobacteria Unclassified	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Rothia	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Ruminococcus	3.0095780721162186	0.2220641364162985	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Sphingomonas	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Terrisporobacter	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Verrucomicrobia Unclassified	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5138903631339715	6
Streptococcus	1.6248943006933645	0.44377076259230136	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5449816382712473	6
Alistipes	1.556935772938488	0.4591088796572893	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5540969237243146	6
Bacteroidetes Unclassified	1.201773201773155	0.548325274846917	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.6327211744067369	6
Burkholderia	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.6327211744067369	6
Roseburia	1.201773201773155	0.548325274846917	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.6327211744067369	6
Butyrivibrio	1.0625053356759382	0.5878681047834037	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.6531867830926708	6
Prevotella	1.09172974672716	0.5793405104263866	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.6531867830926708	6
Bacteroidales Unclassified	0.7636132320238771	0.6826270495831928	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.7239983859215681	6
Corynebacterium	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.7239983859215681	6
Gemmata	0.7884322678841625	0.6742083211896234	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.7239983859215681	6
Phenylobacterium	0.3805052537449691	0.8267502482298649	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.8637689160610528	6
Bifidobacterium	0.26034747774733447	0.8779428848613948	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.9037647344161417	6
Chitinophagaceae Unclassified	0.043503821281952695	0.9784829561511112	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.9926265262806653	6
Erysipelotrichaceae Unclassified	0.014801584294653527	0.9926265262806653	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.9926265262806653	6
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Acidaminococcaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Acidaminococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Actinobacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Aestuariispira	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Alloprevotella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Alphaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Anaerofustis	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Anaerotruncus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Atopobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Atopostipes	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Aurantimonadaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacillaceae 1 Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacillales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bacilli Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Barnesiella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Betaproteobacteria Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bifidobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Bilophila	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Brachybacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Brucellaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Burkholderiales Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Butyricimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Campylobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Carnobacteriaceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Catonella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Cloacibacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
