genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Unclassified	13.05803571428571	0.0014604395058730596	2	Kruskal-Wallis rank sum test	0	0.018000000000000002	0	0.052575822211430145
Clostridiales Unclassified	10.88588588588589	0.0043267311925941606	2	Kruskal-Wallis rank sum test	0.003	0.051500000000000004	5e-4	0.0778811614666949
Anaeroplasma	8.142493638676829	0.017056109357628465	2	Kruskal-Wallis rank sum test	0	0.001	0	0.12280398737492496
Butyricicoccus	8.456790123456786	0.014575764989200575	2	Kruskal-Wallis rank sum test	0.004	5e-4	5e-4	0.12280398737492496
Firmicutes Unclassified	9.105058365758756	0.01054051176093344	2	Kruskal-Wallis rank sum test	0	0.0035	0	0.12280398737492496
Lactobacillus	7.1253709198813056	0.02836255584398878	2	Kruskal-Wallis rank sum test	0.016	0.005	0.014	0.17017533506393268
Clostridium XlVb	6.516278135048225	0.03845990274622062	2	Kruskal-Wallis rank sum test	0	0.003	0.0045000000000000005	0.19779378555199176
Porphyromonadaceae Unclassified	5.373520710059173	0.068101206115962	2	Kruskal-Wallis rank sum test	0.1935	0.17149999999999999	0.001	0.28343726652218526
Ruminococcaceae Unclassified	5.294117647058826	0.07085931663054632	2	Kruskal-Wallis rank sum test	0.039	0.07100000000000001	0.016	0.28343726652218526
Bacteroides	4.459558823529413	0.10755215225875692	2	Kruskal-Wallis rank sum test	0.192	0.015	0.23249999999999998	0.3871877481315249
Coriobacteriaceae Unclassified	3.749999999999999	0.15335496684492853	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.4643369965434411
Peptostreptococcaceae Unclassified	3.6610032362459477	0.1603331216007222	2	Kruskal-Wallis rank sum test	0.002	0	0.001	0.4643369965434411
Prevotella	3.5714285714285583	0.16767724875179818	2	Kruskal-Wallis rank sum test	0	0	0	0.4643369965434411
Acetatifactor	2.3054941002949763	0.3157681459173745	2	Kruskal-Wallis rank sum test	0.0145	0.0275	0.026999999999999996	0.5395012243536215
Akkermansia	2.728544776119402	0.25556656163535557	2	Kruskal-Wallis rank sum test	0.0495	0.004	0.07250000000000001	0.5395012243536215
Alistipes	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Bacillus	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Bacteroidales Unclassified	2.2321428571428514	0.3275641292502442	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Bacteroidetes Unclassified	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Barnesiella	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Bifidobacterium	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Blautia	2.0812182741116834	0.3532394451754438	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5395012243536215
Clostridia Unclassified	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Clostridium IV	1.949317738791421	0.37732104736811106	2	Kruskal-Wallis rank sum test	0	0.001	5e-4	0.5395012243536215
Enterorhabdus	1.8636363636363669	0.39383699174893416	2	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0.5395012243536215
Listeria	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Parabacteroides	3.000000000000009	0.22313016014842885	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Pseudoflavonifractor	2.1096124620060768	0.3482599027406988	2	Kruskal-Wallis rank sum test	0.0055	0.001	0.0025	0.5395012243536215
Streptococcus	1.6666666666666403	0.4345982085070839	2	Kruskal-Wallis rank sum test	0	0	0	0.5395012243536215
Turicibacter	1.3311209439528031	0.5139853725651312	2	Kruskal-Wallis rank sum test	0.0145	0.0275	0.0195	0.6167824470781574
Erysipelotrichaceae Unclassified	1.1111111111111098	0.5737534207374332	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.6662942950499224
Clostridium XlVa	0.95326409495549	0.620870938296767	2	Kruskal-Wallis rank sum test	0.013000000000000001	0.0165	0.011	0.6923075919182827
Enterobacteriaceae Unclassified	0.8075305810397523	0.6678008420647484	2	Kruskal-Wallis rank sum test	0.0025	0.001	0.029500000000000002	0.6923075919182827
Lachnospiraceae Unclassified	0.841911764705884	0.6564190604347948	2	Kruskal-Wallis rank sum test	0.346	0.5065	0.4995	0.6923075919182827
Oscillibacter	0.7917916041978981	0.6730768254761083	2	Kruskal-Wallis rank sum test	0.001	0.0085	0.0065	0.6923075919182827
Dorea	0.5849358974358858	0.7464191683437907	2	Kruskal-Wallis rank sum test	0	0	0	0.7464191683437907
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
