day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	15.805421245421243	3.697399553832377e-4	2	Kruskal-Wallis rank sum test	1.466909	3.402295	1.332649	NA	7.394799107664754e-4
30	6.823529411764703	0.032982943793209214	2	Kruskal-Wallis rank sum test	2.7552155000000003	3.4164535	NA	2.8009345	0.032982943793209214
