otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Lachnospiraceae (OTU 29)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0	0.004	0	0.0025967420903427007
Lachnospiraceae (OTU 34)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0	0.013	0	0.0025967420903427007
Lachnospiraceae (OTU 125)	20.363636363636363	3.785232391987999e-5	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.0025967420903427007
Porphyromonadaceae (OTU 8)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0	0.239	0	0.004895157219197065
Lachnospiraceae (OTU 33)	16.159496327387206	3.0974903164911324e-4	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.004895157219197065
Clostridiales (OTU 35)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0	0.014499999999999999	0	0.004895157219197065
Lachnospiraceae (OTU 41)	16.42932384341637	2.706559984859682e-4	2	Kruskal-Wallis rank sum test	0	0.007	0	0.004895157219197065
Bacteria (OTU 43)	16.14255765199162	3.123835413280909e-4	2	Kruskal-Wallis rank sum test	0	0.0055	0	0.004895157219197065
Lachnospiraceae (OTU 73)	16.14255765199162	3.123835413280909e-4	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.004895157219197065
Lachnospiraceae (OTU 85)	16.14255765199162	3.123835413280909e-4	2	Kruskal-Wallis rank sum test	0	0.0035	0	0.004895157219197065
Lachnospiraceae (OTU 95)	16.21052631578948	3.0194576044511586e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.004895157219197065
Bacteria (OTU 108)	16.14255765199162	3.123835413280909e-4	2	Kruskal-Wallis rank sum test	0	0.002	0	0.004895157219197065
Lachnospiraceae (OTU 131)	16.2962962962963	2.8927055013244166e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.004895157219197065
Lachnospiraceae (OTU 71)	13.869110907424387	9.735557631316959e-4	2	Kruskal-Wallis rank sum test	0	0.0075	0	0.014047018868043042
Lachnospiraceae (OTU 4)	13.230395480225996	0.0013398498277899073	2	Kruskal-Wallis rank sum test	0.015	0.1015	0.045	0.015920568541974194
Peptostreptococcaceae (OTU 12)	13.47251856853478	0.0011870793881311992	2	Kruskal-Wallis rank sum test	0.004	0	0	0.015920568541974194
Ruminococcaceae (OTU 54)	13.261794634597589	0.0013189790121706099	2	Kruskal-Wallis rank sum test	0	0.001	0	0.015920568541974194
Acetatifactor (OTU 79)	12.475041322314066	0.001954695873336059	2	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0.019694553373910195
Ruminococcaceae (OTU 92)	12.304619225967532	0.0021285599387915587	2	Kruskal-Wallis rank sum test	0	0.001	0	0.019694553373910195
Firmicutes (OTU 96)	12.289276807980041	0.0021449513575545758	2	Kruskal-Wallis rank sum test	0	0.002	0	0.019694553373910195
Clostridiales (OTU 97)	12.289276807980041	0.0021449513575545758	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.019694553373910195
Clostridiales (OTU 154)	12.304619225967532	0.0021285599387915587	2	Kruskal-Wallis rank sum test	0	0.001	0	0.019694553373910195
Lachnospiraceae (OTU 16)	10.769638694638704	0.004585668660753587	2	Kruskal-Wallis rank sum test	0.0025	0.005	0	0.04027413345531411
Oscillibacter (OTU 57)	10.432876712328785	0.005426622444459709	2	Kruskal-Wallis rank sum test	0	0.004	0	0.045674072240869217
Porphyromonadaceae (OTU 14)	10.056544502617792	0.006550117757129346	2	Kruskal-Wallis rank sum test	0.066	0	0	0.05292495147760511
Ruminococcaceae (OTU 59)	9.75955132562884	0.007598718511505742	2	Kruskal-Wallis rank sum test	0	0.004	0	0.05903619766631384
Lachnospiraceae (OTU 81)	9.568602425015962	0.008359963545275765	2	Kruskal-Wallis rank sum test	0	0.0015	0.001	0.06254491244984091
Lachnospiraceae (OTU 24)	8.912029161603877	0.011608536099980351	2	Kruskal-Wallis rank sum test	0	0.0315	0.0055	0.06594137950103836
Lachnospiraceae (OTU 31)	8.901435406698564	0.011670188230850352	2	Kruskal-Wallis rank sum test	0	0.002	0	0.06594137950103836
Acetatifactor (OTU 55)	9.245577312626612	0.00982535827430738	2	Kruskal-Wallis rank sum test	0	0.007	0	0.06594137950103836
Lachnospiraceae (OTU 70)	8.779341317365274	0.01240481396554187	2	Kruskal-Wallis rank sum test	0.0035	0	0.002	0.06594137950103836
Ruminococcaceae (OTU 98)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Ruminococcaceae (OTU 118)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Firmicutes (OTU 129)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Blautia (OTU 132)	8.861176470588243	0.011907483210378935	2	Kruskal-Wallis rank sum test	0	0.001	0	0.06594137950103836
Acetatifactor (OTU 138)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Lachnospiraceae (OTU 164)	8.842105263157913	0.012021571336618334	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Clostridiales (OTU 214)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06594137950103836
Turicibacter (OTU 5)	8.422222222222231	0.014829881534298277	2	Kruskal-Wallis rank sum test	0.0065	0.052500000000000005	0.034	0.07476351874926619
Lachnospiraceae (OTU 82)	8.39625167336011	0.015023707332869302	2	Kruskal-Wallis rank sum test	0	0.003	5e-4	0.07476351874926619
Lachnospiraceae (OTU 94)	8.376241721854296	0.015174773607524325	2	Kruskal-Wallis rank sum test	0.0015	5e-4	0	0.07476351874926619
Lachnospiraceae (OTU 149)	7.969825206991718	0.018594069308383036	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.08942861905460411
Akkermansia (OTU 3)	7.884419263456089	0.019405288795765675	2	Kruskal-Wallis rank sum test	0.28049999999999997	0.007	0.15	0.09034531803876142
Lachnospiraceae (OTU 84)	7.856388294075668	0.019679178186660904	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.09034531803876142
Ruminococcaceae (OTU 27)	7.751483870967753	0.020738945204876572	2	Kruskal-Wallis rank sum test	0	0.013999999999999999	0	0.09143687444858709
Oscillibacter (OTU 45)	7.701416048550229	0.021264675200900817	2	Kruskal-Wallis rank sum test	0	0.0035	0	0.09143687444858709
Lachnospiraceae (OTU 66)	7.70045307443365	0.021274916332096994	2	Kruskal-Wallis rank sum test	0	0.0055	5e-4	0.09143687444858709
Ruminococcaceae (OTU 106)	7.651324503311257	0.02180399101946788	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.09175846220692732
Bacteroides (OTU 1)	7.24296212549463	0.02674303902824305	2	Kruskal-Wallis rank sum test	0.3795	0.001	0.389	0.10804187767410192
Lachnospiraceae (OTU 30)	7.245179691956654	0.026713403227897656	2	Kruskal-Wallis rank sum test	0.005	0.003	0.0175	0.10804187767410192
Ruminococcaceae (OTU 52)	6.42808912896692	0.04019371798961543	2	Kruskal-Wallis rank sum test	0	0.003	0.002	0.15919864772357484
Clostridium (OTU 51)	6.30064397424105	0.04283833125522575	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.16381491079993038
Clostridiales (OTU 91)	6.293987730061344	0.04298113996235797	2	Kruskal-Wallis rank sum test	0.001	0	0.0025	0.16381491079993038
Lachnospiraceae (OTU 110)	6.240588637919232	0.04414417404016393	2	Kruskal-Wallis rank sum test	5e-4	0.0025	0	0.165131910298391
Erysipelotrichaceae (OTU 39)	5.702024291497984	0.05778580361035753	2	Kruskal-Wallis rank sum test	0.01	5e-4	0.0075	0.1962201918258957
Ruminococcaceae (OTU 60)	5.670917759237196	0.058691587280382276	2	Kruskal-Wallis rank sum test	0	0.0025	0.003	0.1962201918258957
Ruminococcaceae (OTU 101)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Lachnospiraceae (OTU 117)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Lachnospiraceae (OTU 144)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Clostridiales (OTU 179)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Clostridium (OTU 201)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Porphyromonadaceae (OTU 212)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Firmicutes (OTU 279)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.1962201918258957
Lachnospiraceae (OTU 26)	5.555284552845516	0.06218494959619718	2	Kruskal-Wallis rank sum test	5e-4	0.005	0.003	0.19627124716299735
Lachnospiraceae (OTU 63)	5.41487603305787	0.066707491466433	2	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0.2073063580956841
Clostridiales (OTU 115)	5.061198738170336	0.07961128943741032	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.24365879494480128
Lachnospiraceae (OTU 46)	4.668418013856801	0.09688708924109289	2	Kruskal-Wallis rank sum test	0.0015	0.0035	0.0095	0.28364046415508354
Ruminococcaceae (OTU 50)	4.689364461738005	0.09587766425233289	2	Kruskal-Wallis rank sum test	0	0.004	0	0.28364046415508354
Lachnospiraceae (OTU 116)	4.710830704521555	0.09485410048641296	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.28364046415508354
Acetatifactor (OTU 78)	4.365522501906931	0.11272982515277528	2	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0.32530606686943725
Lachnospiraceae (OTU 121)	4.233894736842098	0.12039860068157032	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.3425424977137635
Lachnospiraceae (OTU 83)	4.1999999999999815	0.12245642825298304	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.34355831259864683
Enterobacteriaceae (OTU 2)	3.931895424836614	0.1400231220628155	2	Kruskal-Wallis rank sum test	0.001	0	0.001	0.37397176574704155
Lachnospiraceae (OTU 36)	3.8447896440129425	0.146256284623843	2	Kruskal-Wallis rank sum test	0	0.0055	5e-4	0.37397176574704155
Lachnospiraceae (OTU 90)	3.8616666666666593	0.1450272920362379	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.37397176574704155
Lachnospiraceae (OTU 113)	3.9185979971387677	0.14095719749283914	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.37397176574704155
Clostridium (OTU 126)	3.8888888888888906	0.1430666827544081	2	Kruskal-Wallis rank sum test	0	0	0	0.37397176574704155
Acetatifactor (OTU 165)	3.960000000000015	0.13806923731089177	2	Kruskal-Wallis rank sum test	0	0	0	0.37397176574704155
Lachnospiraceae (OTU 317)	3.9789473684210672	0.13676738934249008	2	Kruskal-Wallis rank sum test	0	0	0	0.37397176574704155
Clostridium (OTU 22)	3.699939357186174	0.15724193403801096	2	Kruskal-Wallis rank sum test	0.0045000000000000005	0.0085	0	0.3964444355254895
